city,distance
Lanzhou,6.438850
Gannan,4.528238
Ngawa,3.918893
Beijing,3.109366
Dingxi,2.996500
Shanghai,2.996500
Tianshui,2.692867
Xining,2.692867
Baiyin,2.445106
Haikou,2.445106
Hong Kong,2.445106
Jiaxing,2.445106
Jiayuguan,2.445106
Jiuquan,2.445106
Shijiazhuang,2.445106
Wuhu,2.445106
Wuxi,2.445106
Xianyang,2.445106
Yantai,2.445106
Yinchuan,2.445106
Zhangye,2.445106
Zhongwei,2.445106
Chengdou,2.423071
Xi'an,2.372234
Hangzhou,2.028196
Wuwei,1.992367
Lhasa,1.961091
Baoji,1.916513
Urumqi,1.907063
Haixi,1.887009
Wuhan,1.876328
Guangzhou,1.865149
Nanjing,1.859356
Hefei,1.853416
Chongqing,1.850129
Zhengzhou,1.828007
Tianjin,1.814151
Jinchang,1.799375
Suzhou,1.793390
Taiyuan,1.747768
Nagqu,1.727256
Pingliang,1.704386
Huangshan,1.698855
Changsha,1.698223
Shenzhen,1.691856
Mianyang,1.688219
Kunming,1.685269
Qingdao,1.685269
Haibei,1.663992
Jinan,1.656318
Longnan,1.656318
Shamen,1.656318
Shenyang,1.648304
Huangnan,1.647724
Ningbo,1.631113
Shizuishan,1.631113
Garze,1.627142
Xuzhou,1.621845
Leshan,1.618035
Qingyang,1.612053
Sanya,1.607529
Haidong,1.601665
Zigong,1.601665
Hohhot,1.590595
Bangbu,1.590595
Taipei,1.578734
Jinhua,1.565942
Sanmenxia,1.565942
Guiyang,1.552041
Hanzhong,1.552041
Langfang,1.552041
Changzhou,1.543582
Weihai,1.542757
Baoding,1.536790
Luoyang,1.536790
Alxa,1.536790
Weinan,1.536790
Neijiang,1.525175
Guilin,1.519859
Harbin,1.519859
Kumul(Hami),1.519859
Dalian,1.519859
Xiangyang,1.519859
Guangyuan,1.500771
Baotou,1.500771
Qionghai,1.497930
Qinhuangdao,1.494024
Fuzhou,1.478805
Nanchang,1.478805
Nanning,1.478805
Ordos,1.478805
Weifang,1.478805
Xilingol,1.478805
Yulin,1.478805
Zhongshan,1.478805
Zhoushan,1.478005
Nantong,1.466429
Changchun,1.452780
Guyuan,1.452780
Turpan,1.452780
Wuzhong,1.452780
Bayannur,1.452780
Ya'an,1.442396
Bortala,1.440364
Huzhou,1.437289
Tangshan,1.434490
Xuancheng,1.430521
Dongguan,1.420549
Kashgar,1.420549
Lvliang,1.420549
Dazhou,1.420549
Nyingchi,1.420549
Shangqiu,1.420549
Shangrao,1.420549
Cangzhou,1.420549
Wenzhou,1.420549
Wuhai,1.420549
Xinyang,1.420549
Yangzhou,1.420549
Yushuzhou,1.420549
Zhenjiang,1.420549
Zhuhai,1.420549
Zhuzhou,1.420549
Zunyi,1.420549
Shaoxing,1.417107
Macau,1.414527
Zhangjiakou,1.413124
Ma'anshan,1.408455
Chengde,1.401290
Deyang,1.392297
Kaifeng,1.386032
Ankang,1.386032
Wanning,1.385230
Jinzhong,1.377478
Fushun,1.377478
Lijiang,1.377478
Linyi,1.377478
Alty,1.377478
Chuzhou,1.377478
Qiqihar,1.377478
Quanzhou,1.377478
Shaoguan,1.377478
Shuozhou,1.377478
Dongying,1.377478
Xiangxi,1.377478
Yan'an,1.377478
Yancheng,1.377478
Yangquan,1.377478
Yingtan,1.377478
Yunfu,1.377478
Zhanjiang,1.377478
Ili(Yili),1.377478
Xingtai,1.373963
Jilin,1.373371
Wenchang,1.368561
Golog,1.337796
Dali,1.337796
Handan,1.335148
Taizhou,1.328098
Chizhou,1.326784
Tai'an,1.319307
Xiaogan,1.317327
Datong,1.311796
Lianyungang,1.309598
Linfen,1.309598
Lishui,1.309598
Luzhou,1.309598
Jiaozuo,1.309598
Nanchong,1.309598
Changji,1.309598
Nantou,1.309598
Liangshanzhou,1.309598
Ningde,1.309598
Puyang,1.309598
Qamdo,1.309598
Qiandongnan,1.309598
Qianxinan,1.309598
Dezhou,1.309598
Jining,1.309598
Qujing,1.309598
Rizhao,1.309598
Tacheng,1.309598
Anqing,1.309598
Aksu,1.309598
Taoyuan,1.309598
Fuxin,1.309598
Tongliao,1.309598
Hualien,1.309598
Ganzhou,1.309598
Anyang,1.309598
Xinxiang,1.309598
Xinzhou,1.309598
Xishuangbanna,1.309598
Xiuqian,1.309598
Xuchang,1.309598
Yanbian,1.309598
Heyuan,1.309598
Yibin,1.309598
Bayingolin,1.309598
Yueyang,1.309598
Huizhou,1.309598
Zhangjiajie,1.309598
Keramay,1.309598
Zhaotong,1.309598
Beihai,1.309598
Taizhou,1.306959
Danzhou,1.306473
Huanggang,1.305885
Shannan,1.303315
Huludao,1.292377
Tongling,1.289728
Suining,1.285549
Foshan,1.280096
Hulunbuir,1.279319
Hengshui,1.271279
Weicu,1.270064
Chengmai,1.269953
Meishan,1.262711
Ezhou,1.260247
Lingshui,1.256822
Dingan,1.255250
Chifeng,1.255221
Dandong,1.248562
Zibo,1.245619
Jinzhou,1.240809
Jiujiang,1.229575
Panzhihua,1.226232
Diqing,1.226232
Ziyang,1.226232
New Taipei,1.225633
Shangluo,1.221474
Ledong,1.219223
Yichang,1.219023
Zaozhuang,1.216188
Huai'an,1.205037
Nanping,1.204951
Fuyang,1.197608
Daqing,1.196647
Anshan,1.195850
Panjin,1.193004
Quzhou,1.190277
Tongchuan,1.187663
Yingkou,1.183411
Ulanqab,1.182484
Huainan,1.177079
Lu'an,1.177079
Kaohsiung,1.176688
Shiyan,1.172147
Daxinganling,1.172147
Baicheng,1.172147
Jingdezhen,1.172147
Anshun,1.172147
Weicu,1.172147
Liupanshui,1.172147
Huangshi,1.172147
Guang'an,1.172147
Jiangmen,1.172147
Baoting,1.171840
Binzhou,1.170730
Xianning,1.167459
Liaocheng,1.164416
Xiuzhou,1.161122
Yuncheng,1.161122
Zhumadian,1.161122
Mudanjiang,1.160893
Liuzhou,1.159685
Dongfang,1.159167
Changjiang,1.159167
Jian,1.158460
Wuzhishan,1.149508
Ngari,1.144388
Changzhi,1.142877
Chaoyang,1.142127
Zhangzhou,1.137007
Benxi,1.135044
Heze,1.133381
Xiangtan,1.131684
Jiamusi,1.131683
Jieyang,1.130298
Meizhou,1.126357
Changde,1.126357
Siping,1.121625
Taichung,1.120644
Yulin,1.118937
Tieling,1.117621
Hinggan,1.117621
Baishan,1.116587
Qingyuan,1.113877
Baoshan,1.113398
Shantou,1.113133
Qiannan,1.113113
Luohe,1.111196
Bazhong,1.107468
Nanyang,1.105394
Pingdingshan,1.105157
Yichun,1.104178
Zhaoqing,1.103806
Hengyang,1.100747
Hezhou,1.100298
Pingdong,1.099107
Longyan,1.097624
Hotan,1.097000
Jingmen,1.097000
Keelung,1.095438
Dehong,1.089304
Bozhou,1.087791
Liaoyang,1.087791
Hebi,1.084666
Tonghua,1.084666
Yuxi,1.084096
Pingxiang,1.083051
Loudi,1.081400
Suihua,1.081253
Qiongzhong,1.080110
Huaibei,1.076722
Yongzhou,1.074384
