city,distance
Shanghai,5.564178
Hangzhou,4.428798
Jinhua,4.418228
Wenzhou,3.696943
Jiaxing,3.362310
Taizhou,3.291545
Shaoxing,3.110664
Quzhou,3.079759
Ningbo,2.966548
Suzhou,2.846286
Beijing,2.831454
Nanjing,2.493283
Wuxi,2.493283
Ningde,2.399837
Fuzhou,2.363569
Huzhou,2.363569
Tianjin,2.279429
Wuhan,2.279429
Changzhou,2.229138
Nantong,2.229138
Shamen,2.229138
Shenzhen,2.229138
Zhoushan,2.229138
Liuzhou,2.170526
Shangrao,2.170526
Shenyang,2.170526
Hong Kong,2.099363
Jinan,2.099363
Nanping,2.099363
Hefei,2.006636
Huangshan,2.006636
Ma'anshan,2.006636
Nanchang,2.006636
Putian,2.006636
Bangbu,2.006636
Xuancheng,2.006636
Yantai,2.006636
Guangzhou,1.945459
Chengdou,1.897073
Dalian,1.865758
Ganzhou,1.865758
Hohhot,1.865758
Huizhou,1.865758
Jian,1.865758
Jilin,1.865758
Jingdezhen,1.865758
Kunming,1.865758
Lanzhou,1.865758
Nanning,1.865758
Taipei,1.865758
Taizhou,1.865758
Taoyuan,1.865758
Wuhu,1.865758
Xiuqian,1.865758
Yancheng,1.865758
Yichang,1.865758
Yingkou,1.865758
Zhaoqing,1.865758
Zhengzhou,1.865758
Zhuhai,1.865758
Sanya,1.840621
Qingdao,1.829329
Xi'an,1.797002
Yangzhou,1.785635
Chongqing,1.770530
Zhenjiang,1.727393
Changsha,1.697995
Macau,1.664409
Harbin,1.653616
Guilin,1.649767
Changchun,1.595806
Lijiang,1.593408
Yingtan,1.591174
Xuzhou,1.572230
Guiyang,1.569172
Urumqi,1.562877
Haikou,1.557640
Taiyuan,1.554916
Lianyungang,1.552463
Zhangjiajie,1.548344
Shijiazhuang,1.529849
Quanzhou,1.502501
Lhasa,1.482068
Huai'an,1.479622
Chizhou,1.478840
Dehong,1.475111
Ngawa,1.472837
Dongguan,1.472427
Langfang,1.460630
Yinchuan,1.458644
Jiujiang,1.456820
Luoyang,1.455744
Weihai,1.451992
Tai'an,1.449916
Xining,1.443993
Beihai,1.443824
Chuzhou,1.435844
Kaohsiung,1.432952
Baoding,1.431139
Qinhuangdao,1.426738
Jining,1.421901
Zhuzhou,1.416155
Foshan,1.403092
Dali,1.401936
Anqing,1.397198
Xiangxi,1.393275
Diqing,1.393025
Linyi,1.392775
New Taipei,1.391864
Zaozhuang,1.385034
Mianyang,1.383695
