city,distance
Guiyang,5.253209
Kunming,4.309003
Anshun,4.000000
Baoji,3.840662
Qujing,3.753615
Wuhan,3.504857
Chengdou,3.253834
Qiandongnan,3.004404
Shanghai,3.004404
Zhaotong,2.898900
Bijie,2.773342
Huaihua,2.773342
Guangzhou,2.613783
Qiannan,2.613783
Qianxinan,2.613783
Shamen,2.613783
Yibin,2.613783
Xi'an,2.411728
Beijing,2.379729
Changsha,2.379729
Chongqing,2.379729
Dali,2.379729
Hefei,2.379729
Lijiang,2.379729
Loudi,2.379729
Nanjing,2.379729
Ngawa,2.379729
Pingxiang,2.379729
Sanya,2.379729
Tongren,2.379729
Xianning,2.379729
Yiyang,2.379729
Yulin,2.379729
Yuxi,2.379729
Zhangjiajie,2.379729
Zhengzhou,2.379729
Zhuhai,2.379729
Zunyi,2.379729
Weicu,1.900291
Shenzhen,1.835618
Suzhou,1.796219
Xishuangbanna,1.795665
Baoshan,1.782894
Tianshui,1.774680
Hangzhou,1.770229
Lanzhou,1.741195
Diqing,1.740095
Leshan,1.732661
Xianyang,1.731392
Nanning,1.721224
Honghe,1.720721
Xiangxi,1.682505
Weifang,1.670832
Yichang,1.649894
Jiaxing,1.613885
Nanchang,1.611563
Tianjin,1.611563
Deyang,1.593841
Foshan,1.593300
Wuxi,1.590359
Hong Kong,1.590118
Jingzhou,1.589761
Guilin,1.584298
Huanggang,1.580589
Dehong,1.577997
Xiangyang,1.577241
Pu'er,1.571093
Xiaogan,1.570330
Xining,1.569341
Huangshi,1.567868
Mianyang,1.566103
Jinan,1.565480
Macau,1.562638
Changzhou,1.545677
Ningbo,1.544921
Hanzhong,1.542430
Wenshan,1.536984
Qingdao,1.536345
Wenzhou,1.529689
Fuzhou,1.528120
Shiyan,1.525772
Guangyuan,1.523725
Garze,1.517146
Ya'an,1.505816
Luzhou,1.502475
Changde,1.501119
Hohhot,1.500346
Weinan,1.494502
Liangshanzhou,1.492056
Zigong,1.492056
Taiyuan,1.489788
Zhuzhou,1.489788
Ezhou,1.489108
Ordos,1.485481
Yichun,1.482209
Zhoushan,1.479925
Luoyang,1.479552
Jingmen,1.479535
Yueyang,1.478541
Haikou,1.478392
Urumqi,1.478392
Zhongshan,1.477564
Jiujiang,1.473464
Zhangzhou,1.469075
Quanzhou,1.468394
Nantong,1.468319
Jinhua,1.465996
Lhasa,1.465549
Meizhou,1.465549
Nanchong,1.465304
Yan'an,1.462354
Dongguan,1.458785
Neijiang,1.458723
Xuzhou,1.457818
Meishan,1.456501
Bayannur,1.452953
Baise,1.452953
Liuzhou,1.452382
Shenyang,1.452382
Shijiazhuang,1.452382
Hechi,1.452382
Enshi,1.451074
Panzhihua,1.450476
Kaifeng,1.444897
Baoding,1.444612
Xinyang,1.442282
Huzhou,1.439105
Yantai,1.437250
Dingxi,1.435028
Sanmenxia,1.435028
Lincang,1.433512
Beihai,1.420169
Jiangmen,1.420169
Shaoxing,1.418872
Yinchuan,1.416751
Suining,1.415455
Xiangtan,1.410069
Longnan,1.407473
Ziyang,1.404688
Suizhou,1.402394
Yangzhou,1.402233
Wanning,1.402013
Harbin,1.400484
Changchun,1.400484
Taipei,1.399204
Gannan,1.394826
Dalian,1.391088
Bangbu,1.391088
Longyan,1.384872
Wuhu,1.382226
Yulin,1.377634
Hezhou,1.377634
Guigang,1.377121
Fangchenggang,1.377121
Xinyu,1.377047
Zhenjiang,1.375645
Lu'an,1.374846
Wuhai,1.374039
Xinxiang,1.373548
Ankang,1.372195
Shangluo,1.372195
Shaoyang,1.371273
Qinzhou,1.370133
Jiaozuo,1.366392
Nujiang,1.362828
Anqing,1.357529
Qionghai,1.357158
Huangshan,1.354957
Hengyang,1.351645
Lvliang,1.349855
Jiuquan,1.349759
Haixi,1.349759
Qinhuangdao,1.348126
Shaoguan,1.348126
Zhanjiang,1.348126
Yingtan,1.348056
Qingyuan,1.343721
Dazhou,1.339449
Huizhou,1.334692
Chizhou,1.333684
Wuzhong,1.332183
Langfang,1.330359
Taizhou,1.329649
Zhaoqing,1.329091
Nyingchi,1.321894
Pingliang,1.321894
Chaozhou,1.321894
Zhangye,1.321894
Huainan,1.310502
Fuzhou,1.309275
Pingdong,1.309275
Anyang,1.309275
Kashgar,1.309275
Shangrao,1.309275
Taizhou,1.309275
Yangjiang,1.309275
Jinzhong,1.309275
Changzhi,1.309275
Zibo,1.309275
Zhumadian,1.302112
Chuzhou,1.293385
Chenzhou,1.293205
Yancheng,1.292963
Pingdingshan,1.285313
Wuwei,1.284518
Guyuan,1.284518
Bazhong,1.284518
Yuncheng,1.284518
Haibei,1.284518
Zhongwei,1.284518
Xiuzhou,1.283147
Guang'an,1.282510
Xuchang,1.281321
Xinzhou,1.280249
Fuyang,1.274890
Shantou,1.274275
Shangqiu,1.273283
Jining,1.269075
Nanping,1.265999
Tongling,1.265291
Nanyang,1.264838
Baotou,1.260698
Lingshui,1.258457
Tangshan,1.256725
Lianyungang,1.254294
Huai'an,1.253932
Luohe,1.252078
Tongchuan,1.249281
Jingdezhen,1.248614
Hulunbuir,1.247800
Laiwu,1.247800
Qamdo,1.247800
Jieyang,1.247800
Jinzhou,1.247800
Weihai,1.247800
Ganzhou,1.247800
Wuzhou,1.247800
Dandong,1.247800
Linyi,1.247800
Jian,1.247800
Mudanjiang,1.247800
Liaocheng,1.247800
Datong,1.247800
Maoming,1.247800
Zaozhuang,1.247800
Bayingolin,1.247800
Ma'anshan,1.247800
Zhangjiakou,1.240296
Putian,1.239196
Dongying,1.236411
Sansha,1.235437
Xuancheng,1.234199
Yongzhou,1.233196
Chengde,1.231170
Linfen,1.225294
Jiayuguan,1.225294
Kumul(Hami),1.225294
Xiuzhou,1.225294
Yangquan,1.225294
Qingyang,1.225294
Jincheng,1.225294
Hsinchu,1.225294
Nagqu,1.225294
Sanming,1.223958
Tai'an,1.220095
Ningde,1.217483
Handan,1.215215
Kinmen,1.213570
Quzhou,1.212394
Heyuan,1.210210
Zhoukou,1.205798
Puyang,1.202179
Kaohsiung,1.199080
Chongzuo,1.199080
Taichung,1.199080
Chifeng,1.199080
Bozhou,1.198650
Shanwei,1.190347
Dezhou,1.186602
Lishui,1.186386
Xingtai,1.185901
Huaibei,1.182269
Cangzhou,1.182074
Baoting,1.181661
Shizuishan,1.181394
Alxa,1.181394
Liaoyang,1.168246
Xiuqian,1.168246
Jilin,1.168246
Yilan,1.168246
Binzhou,1.162077
Jiyuan,1.158957
Linxia,1.156911
Qiqihar,1.156803
Ulanqab,1.152890
Shuozhou,1.151452
Wuzhishan,1.149201
Yunfu,1.146617
Huludao,1.146296
Hebi,1.145813
New Taipei,1.135884
Rizhao,1.134089
Ledong,1.130398
Heze,1.128613
Wenchang,1.124395
Yanbian,1.123526
Baiyin,1.119053
Turpan,1.119053
Daqing,1.119053
Tainan,1.119053
Benxi,1.119053
Hegang,1.119053
Laibin,1.119053
Tonghua,1.119053
Tongliao,1.103634
Hengshui,1.099429
Dongfang,1.097239
Dingan,1.097239
Golog,1.095843
Anshan,1.094918
Jinchang,1.094362
Nantou,1.091294
Xilingol,1.086716
Panjin,1.082679
Suihua,1.082280
Fushun,1.072535
Hualien,1.072435
Changhua,1.068621
Keramay,1.068621
Shannan,1.068621
Chiayi,1.068621
Chaoyang,1.068621
Yingkou,1.059746
Changji,1.059670
Ili(Yili),1.059670
Danzhou,1.059003
Yunlin,1.055943
Alty,1.047427
Yichun,1.027312
Songyuan,1.027312
Tieling,1.027312
Huangnan,1.027312
Daxinganling,1.027312
Penghu,1.027312
Baishan,1.027312
Hinggan,1.027312
Yushuzhou,1.019037
Tacheng,1.019037
Miaoli,1.019037
Aksu,1.019037
Chengmai,1.018420
Jiamusi,1.018074
Keelung,1.015590
Siping,1.009927
Taidong,1.006321
Haidong,1.006149
Kezilsu,0.994934
Fuxin,0.993732
Baicheng,0.982147
Heihe,0.981405
Hotan,0.971177
Ngari,0.955797
Jixi,0.950851
Liaoyuan,0.939627
Bortala,0.935475
Changjiang,0.926628
Qiongzhong,0.926628
Shuangyashan,0.920587
Qitaihe,0.890045
