city,distance
Shamen,6.273747
Zhangzhou,4.408492
Shanghai,4.034428
Fuzhou,3.337422
Sanming,2.958994
Guangzhou,2.895186
Beijing,2.867860
Quanzhou,2.867860
Ganzhou,2.761719
Nanping,2.727621
Meizhou,2.610764
Hangzhou,2.459046
Shenzhen,2.428152
Nanjing,2.319117
Suzhou,2.319117
Wuhan,2.319117
Fuzhou,2.274966
Nanchang,2.274966
Putian,2.274966
Quzhou,2.224869
Heyuan,2.166480
Sanya,2.166480
Shangrao,2.166480
Zhengzhou,2.166480
Dongguan,2.095576
Jiaxing,2.095576
Jinhua,2.095576
Jiujiang,2.095576
Kunming,2.095576
Chongqing,2.003177
Hong Kong,2.003177
Huizhou,2.003177
Jian,2.003177
Jiangmen,2.003177
Nantong,2.003177
Ningde,2.003177
Shantou,2.003177
Tianjin,2.003177
Wuhu,2.003177
Wuxi,2.003177
Dalian,1.862767
Foshan,1.862767
Guiyang,1.862767
Huzhou,1.862767
Jieyang,1.862767
Jinan,1.862767
Jingdezhen,1.862767
Changsha,1.862767
Pingxiang,1.862767
Qingdao,1.862767
Shanwei,1.862767
Shaoguan,1.862767
Wenzhou,1.862767
Chaozhou,1.862767
Xi'an,1.862767
Ya'an,1.862767
Yancheng,1.862767
Yichun,1.862767
Zhuhai,1.862767
Changzhou,1.779398
Ningbo,1.778397
Chengdou,1.754805
Zhoushan,1.692816
Kinmen,1.664386
Hefei,1.626917
Shaoxing,1.613406
Yangzhou,1.591925
Taipei,1.585296
Taizhou,1.583639
Shenyang,1.562926
Shijiazhuang,1.546836
Zhenjiang,1.545470
Guilin,1.544942
Nanning,1.543024
Huangshan,1.531270
Ili(Yili),1.517849
Taichung,1.513311
Haikou,1.508544
Taizhou,1.499025
Macau,1.494859
Harbin,1.486148
Taoyuan,1.479115
Zhongshan,1.477812
Tangshan,1.473048
Langfang,1.470258
Yingtan,1.462832
Changchun,1.460062
Dali,1.447365
Baoding,1.440381
Lijiang,1.437337
Qinhuangdao,1.435923
Kaohsiung,1.429663
Urumqi,1.425324
Xuzhou,1.420082
Yantai,1.415460
Qingyuan,1.414395
Taiyuan,1.406351
Lanzhou,1.405556
Lianyungang,1.403936
Zhangjiajie,1.400566
Zhaoqing,1.398196
Wuzhou,1.395687
Luoyang,1.394228
Xuancheng,1.378809
Yunlin,1.377748
Garze,1.368456
Kaifeng,1.363413
Zhangjiakou,1.361035
Chengde,1.350053
Hohhot,1.346326
Lhasa,1.346115
Huai'an,1.344097
Chizhou,1.343452
Ngawa,1.338496
Tai'an,1.336469
Nyingchi,1.331549
Liuzhou,1.330960
Zhuzhou,1.330960
Yichang,1.329823
Yinchuan,1.326763
Wanning,1.325166
Xianning,1.324847
Weihai,1.321258
Lishui,1.319405
