city,distance
Changsha,5.699613
Huaihua,3.822944
Zhuzhou,3.663951
Beijing,3.576026
Shanghai,3.480698
Xiangtan,3.460576
Wuhan,2.995384
Guiyang,2.959718
Yichun,2.959718
Shaoyang,2.882352
Qiandongnan,2.794602
Shenzhen,2.794602
Chongqing,2.745543
Guangzhou,2.691966
Kunming,2.691966
Xiangxi,2.691966
Chengdou,2.632659
Hangzhou,2.632659
Zhengzhou,2.632659
Hengyang,2.565802
Jinhua,2.565802
Tongren,2.565802
Yiyang,2.565802
Shamen,2.488457
Yueyang,2.488457
Anyang,2.395366
Jiaxing,2.395366
Nanchang,2.395366
Pingxiang,2.395366
Tianjin,2.395366
Zhangjiajie,2.395366
Jiujiang,2.275394
Xi'an,2.275394
Yingtan,2.275394
Changde,2.275394
Dongguan,2.095940
Foshan,2.095940
Guilin,2.095940
Handan,2.095940
Harbin,2.095940
Hefei,2.095940
Hong Kong,2.095940
Jian,2.095940
Jinan,2.095940
Lianyungang,2.095940
Lijiang,2.095940
Liupanshui,2.095940
Liuzhou,2.095940
Nanjing,2.095940
Ningbo,2.095940
Quzhou,2.095940
Shangrao,2.095940
Shenyang,2.095940
Changchun,2.095940
Wenzhou,2.095940
Anshun,2.095940
Wuhu,2.095940
Wuxi,2.095940
Xinxiang,2.095940
Yichang,2.095940
Yongzhou,2.095940
Yunfu,2.095940
Zunyi,2.095940
Suzhou,1.956261
Chenzhou,1.768452
Nanning,1.696491
Sanya,1.683934
Changzhou,1.662732
Xianning,1.655968
Qiannan,1.652390
Fuzhou,1.649377
Zhuhai,1.649377
Xinyu,1.639802
Qingdao,1.637824
Langfang,1.636391
Shaoguan,1.625464
Haikou,1.620264
Dali,1.601198
Baoding,1.599466
Shijiazhuang,1.595410
Qinhuangdao,1.593970
Zhoushan,1.586889
Nantong,1.573552
Luoyang,1.573543
Xining,1.572725
Taiyuan,1.571686
Taipei,1.564469
Dalian,1.549575
Urumqi,1.548974
Huzhou,1.540048
Leshan,1.539264
Ngawa,1.536036
Kaifeng,1.534404
Tangshan,1.526385
Quanzhou,1.522393
Lanzhou,1.517474
Zibo,1.517474
Shaoxing,1.516900
Weicu,1.502317
Zhangjiakou,1.502217
Yangzhou,1.497897
Chengde,1.488850
Hohhot,1.477490
Jingzhou,1.475897
Huanggang,1.467988
Xiangyang,1.465100
Huangshi,1.464200
Zhongshan,1.463663
Xiaogan,1.459135
Zhenjiang,1.456697
Diqing,1.451175
Qujing,1.449501
Beihai,1.448296
Jiaozuo,1.446168
Huangshan,1.444075
Huizhou,1.441443
Xishuangbanna,1.436162
Qianxinan,1.435150
Yantai,1.430953
Deyang,1.428715
Zhangzhou,1.428635
Baoshan,1.427981
Yuxi,1.427498
Jilin,1.421814
Qingyuan,1.421346
Shiyan,1.420586
Cangzhou,1.417646
Taizhou,1.415363
Xianyang,1.414828
Macau,1.411649
Taoyuan,1.410970
Yancheng,1.410970
Ganzhou,1.407870
Mianyang,1.406387
Xinyang,1.399674
Jiangmen,1.398365
Tai'an,1.396638
Taizhou,1.391380
Ezhou,1.388751
Datong,1.388224
Honghe,1.387819
Luohe,1.387259
Bijie,1.381210
Jingmen,1.380421
Weinan,1.380179
Yinchuan,1.377846
Baoji,1.377552
Zhaoqing,1.375731
Lishui,1.374180
Linyi,1.373447
Nanyang,1.373447
Xuchang,1.373447
Garze,1.366780
Huludao,1.366495
