city,distance
Hefei,5.436946
Shanghai,4.874146
Wuhan,3.834852
Nanjing,3.670479
Huanggang,3.276232
Huainan,3.137916
Suzhou,3.011285
Beijing,2.970791
Anqing,2.970791
Wuxi,2.857816
Wuhu,2.720469
Chuzhou,2.618990
Fuyang,2.618990
Changzhou,2.538455
Tongling,2.538455
Xinyang,2.492588
Zhenjiang,2.492588
Bangbu,2.441658
Tianjin,2.441658
Yichang,2.441658
Chizhou,2.384044
Hangzhou,2.384044
Linyi,2.317126
Ningbo,2.317126
Yangzhou,2.317126
Bozhou,2.236204
Guangzhou,2.236204
Huangshan,2.236204
Jinan,2.236204
Xi'an,2.236204
Chengdou,2.131297
Chongqing,2.131297
Jiujiang,2.131297
Luzhou,2.131297
Qingdao,2.131297
Shangrao,2.131297
Shenzhen,2.131297
Xuchang,2.131297
Yancheng,2.131297
Jiaxing,2.032759
Hong Kong,1.990755
Enshi,1.973061
Ezhou,1.973061
Fuzhou,1.973061
Ganzhou,1.973061
Guilin,1.973061
Guiyang,1.973061
Huaibei,1.973061
Huangshi,1.973061
Jingdezhen,1.973061
Jingmen,1.973061
Kunming,1.973061
Lianyungang,1.973061
Luohe,1.973061
Nanchong,1.973061
Ngawa,1.973061
Penghu,1.973061
Puyang,1.973061
Changsha,1.973061
Qinhuangdao,1.973061
Shaoxing,1.973061
Taizhou,1.973061
Xiangyang,1.973061
Xiaogan,1.973061
Xuancheng,1.973061
Zhengzhou,1.973061
Shamen,1.964949
Zhoushan,1.824720
Nantong,1.807108
Huzhou,1.763059
Sanya,1.758279
Xianning,1.711240
Taipei,1.700406
Jinhua,1.681694
Nanchang,1.672288
Jingzhou,1.654332
Lanzhou,1.647855
Dalian,1.646308
Ma'anshan,1.640576
Wenzhou,1.630755
Xiuzhou,1.627739
Xuzhou,1.608011
Shenyang,1.604761
Macau,1.596788
Harbin,1.586853
Shiyan,1.585153
Taizhou,1.570904
Huai'an,1.539126
Yueyang,1.534236
Changchun,1.533541
Lijiang,1.531327
Taoyuan,1.517693
Zhuhai,1.514914
Shijiazhuang,1.508078
Taiyuan,1.508078
Yantai,1.506520
Urumqi,1.503106
Haikou,1.498262
Langfang,1.496846
Nanning,1.492138
Zhangjiajie,1.489659
Zhangjiakou,1.483703
Baoding,1.465890
Zhumadian,1.462560
Suizhou,1.452403
Quanzhou,1.447178
Dali,1.445807
Foshan,1.444612
Hohhot,1.428449
Lhasa,1.428213
Xinxiang,1.427095
Nanping,1.425820
Xiangxi,1.424052
Dongguan,1.419257
Tai'an,1.416635
Yinchuan,1.406447
Quzhou,1.405319
Kaifeng,1.405248
Luoyang,1.405248
Nanyang,1.405248
Tangshan,1.404271
Jinzhou,1.401055
Weihai,1.400262
Xianyang,1.399576
Lishui,1.398181
Rizhao,1.395515
Xining,1.392821
Beihai,1.392664
Yingtan,1.384068
Kaohsiung,1.382546
Hengyang,1.381321
Shangqiu,1.378814
Zaozhuang,1.378814
Chengde,1.372439
Jining,1.372256
Liaocheng,1.368944
Weinan,1.365662
Baoji,1.363089
Dezhou,1.363086
Xiuqian,1.363086
Zhuzhou,1.361726
Jian,1.358325
Zhongshan,1.355770
Leshan,1.353153
Yibin,1.348641
Liuzhou,1.346270
Diqing,1.345342
Cangzhou,1.344941
Ningde,1.337887
Mianyang,1.336638
Pu'er,1.334165
Neijiang,1.332346
New Taipei,1.328567
Shaoguan,1.328308
Zibo,1.327371
Weifang,1.326661
Datong,1.323380
Hengshui,1.323380
Baotou,1.323317
Fangchenggang,1.323007
