city,distance
Zhengzhou,4.967722
Beijing,4.117695
Zhumadian,3.886839
Xuchang,3.695691
Pingdingshan,3.653791
Anyang,3.443755
Wuhan,3.443755
Xinyang,3.305846
Shanghai,3.212159
Luoyang,2.985528
Xi'an,2.891486
Changsha,2.838998
Bozhou,2.781750
Nanjing,2.781750
Guangzhou,2.718468
Nanyang,2.718468
Zhoukou,2.718468
Xinxiang,2.647240
Nanchang,2.564986
Dalian,2.466194
Fuyang,2.466194
Baoding,2.466194
Nantong,2.466194
Sanmenxia,2.466194
Shijiazhuang,2.466194
Suzhou,2.466194
Bangbu,2.339212
Chenzhou,2.339212
Chuzhou,2.339212
Handan,2.339212
Hebi,2.339212
Hengyang,2.339212
Jincheng,2.339212
Jiujiang,2.339212
Kaifeng,2.339212
Sanya,2.339212
Shamen,2.339212
Xiaogan,2.339212
Yichang,2.339212
Yueyang,2.339212
Chizhou,2.149968
Chongqing,2.149968
Harbin,2.149968
Hong Kong,2.149968
Huangshi,2.149968
Jiaxing,2.149968
Jinzhong,2.149968
Liuzhou,2.149968
Lu'an,2.149968
Shangqiu,2.149968
Xingtai,2.149968
Xuzhou,2.149968
Yulin,2.149968
Zhangjiajie,2.149968
Zhenjiang,2.149968
Zhuzhou,2.149968
Tianjin,2.053455
Jiaozuo,1.949553
Jinzhou,1.941238
Hangzhou,1.802209
Zhongshan,1.756744
Chengdou,1.754067
Langfang,1.741204
Shenzhen,1.714768
Qingdao,1.700103
Jinan,1.697835
Qinhuangdao,1.693255
Hefei,1.686000
Shenyang,1.671587
Puyang,1.658813
Xiangyang,1.649404
Wuxi,1.646738
Yinchuan,1.636598
Taiyuan,1.634776
Foshan,1.631600
Xianyang,1.630900
Xianning,1.628702
Tangshan,1.617189
Changzhou,1.598879
Ningbo,1.598070
Zhangjiakou,1.590085
Weinan,1.585032
Kunming,1.582742
Baoji,1.581568
Jingzhou,1.577068
Changchun,1.575797
Chengde,1.575117
Lanzhou,1.568542
Huanggang,1.568042
Urumqi,1.560945
Taipei,1.555623
Jiyuan,1.552967
Fuzhou,1.547415
Xiangtan,1.545535
Hohhot,1.540403
Guiyang,1.532600
Zhoushan,1.528626
Xiangxi,1.524257
Shiyan,1.514077
Changzhi,1.504483
Yantai,1.504388
Cangzhou,1.495642
Haikou,1.493778
Dongguan,1.490826
Yan'an,1.487976
Yangzhou,1.485467
Huzhou,1.485114
Ezhou,1.477967
Nanning,1.477612
Guilin,1.474274
Zhuhai,1.473745
Huaibei,1.472702
Lijiang,1.472514
Tai'an,1.472279
Ordos,1.472014
Jingmen,1.468535
Xining,1.467228
Changde,1.466340
Shaoguan,1.464669
Shangrao,1.463876
Shaoxing,1.463577
Datong,1.462932
Suizhou,1.456342
Taoyuan,1.453235
Enshi,1.440492
Huludao,1.438821
Heze,1.434361
Jining,1.434361
Baotou,1.431471
Yuncheng,1.430661
Huainan,1.429089
Lhasa,1.428005
Jinhua,1.426958
Macau,1.426285
Nanchong,1.423955
Hulunbuir,1.422654
Lianyungang,1.421325
Xiuzhou,1.421325
Dezhou,1.418011
Yancheng,1.416901
Jiuquan,1.411477
Longnan,1.411477
Luzhou,1.411477
Tianshui,1.411477
Wuhu,1.411477
Ya'an,1.411477
Huangshan,1.411477
Loudi,1.410723
