city,distance
Zhengzhou,5.361313
Shanghai,4.453371
Beijing,4.101241
Xi'an,3.733448
Jiaozuo,3.438334
Sanmenxia,3.220042
Kaifeng,3.122657
Wuhan,2.731524
Xinxiang,2.669307
Jiyuan,2.661014
Weinan,2.661014
Pingdingshan,2.652592
Hangzhou,2.570010
Nanjing,2.549677
Shangqiu,2.549677
Nanyang,2.517489
Chengdou,2.494751
Tianjin,2.458394
Shijiazhuang,2.390263
Xuzhou,2.375226
Chongqing,2.359619
Anyang,2.343390
Jincheng,2.308795
Wuxi,2.308795
Guangzhou,2.290269
Xinyang,2.290269
Bangbu,2.250233
Qingdao,2.250233
Suzhou,2.250233
Xuchang,2.250233
Shamen,2.228444
Yuncheng,2.228444
Dalian,2.205231
Jinan,2.205231
Luohe,2.205231
Urumqi,2.205231
Changsha,2.180353
Puyang,2.180353
Hefei,2.153497
Linfen,2.153497
Shenyang,2.153497
Shenzhen,2.153497
Fuzhou,2.124247
Handan,2.124247
Hohhot,2.124247
Lanzhou,2.124247
Shiyan,2.124247
Taiyuan,2.124247
Zhoukou,2.124247
Zunyi,2.124247
Kunming,2.092032
Changzhou,2.092032
Baoding,2.092032
Xining,2.092032
Zhenjiang,2.092032
Jinzhong,2.056038
Lhasa,2.056038
Xiangyang,2.056038
Hong Kong,2.015032
Yan'an,2.015032
Zhumadian,2.015032
Fuyang,1.967018
Guiyang,1.967018
Haikou,1.967018
Jinzhou,1.967018
Xingtai,1.967018
Xiuzhou,1.967018
Zhangjiajie,1.967018
Chuzhou,1.967018
Jiaxing,1.955696
Guilin,1.908393
Heze,1.908393
Jilin,1.908393
Jinhua,1.908393
Jiujiang,1.908393
Nanchong,1.908393
Ngawa,1.908393
Qinhuangdao,1.908393
Sanya,1.908393
Cangzhou,1.908393
Weihai,1.908393
Changchun,1.908393
Yichang,1.908393
Datong,1.908393
Xianyang,1.868584
Ningbo,1.855334
Haixi,1.831460
Harbin,1.831460
Hebi,1.831460
Chifeng,1.831460
Deyang,1.831460
Huangshan,1.831460
Jining,1.831460
Jiuquan,1.831460
Baise,1.831460
Leshan,1.831460
Dazhou,1.831460
Lianyungang,1.831460
Nanchang,1.831460
Nantong,1.831460
Ordos,1.831460
Rizhao,1.831460
Baoji,1.831460
Shaoxing,1.831460
Suining,1.831460
Suizhou,1.831460
Tai'an,1.831460
Taichung,1.831460
Tianshui,1.831460
Changzhi,1.831460
Guangyuan,1.831460
Wuhu,1.831460
Xiaogan,1.831460
Yangzhou,1.831460
Yantai,1.831460
Yinchuan,1.831460
Yueyang,1.831460
Zibo,1.831460
Zhoushan,1.762382
Langfang,1.738255
Huludao,1.713381
Hulunbuir,1.713381
Huzhou,1.713381
Ili(Yili),1.713381
Jiangmen,1.713381
Jiayuguan,1.713381
Jieyang,1.713381
Hanzhong,1.713381
Dongguan,1.713381
Huizhou,1.713381
Linyi,1.713381
Ma'anshan,1.713381
Meizhou,1.713381
Nagqu,1.713381
Hengshui,1.713381
Nyingchi,1.713381
Hengyang,1.713381
Pu'er,1.713381
Chaoyang,1.713381
Qiandongnan,1.713381
Shangluo,1.713381
Shangrao,1.713381
Taipei,1.713381
Taizhou,1.713381
Taizhou,1.713381
Taoyuan,1.713381
Turpan,1.713381
Xiangxi,1.713381
Binzhou,1.713381
Xinzhou,1.713381
Xiuqian,1.713381
Xuancheng,1.713381
Yangquan,1.713381
Zhangjiakou,1.713381
Zhongshan,1.713381
Huangshi,1.713381
Zhuhai,1.713381
Tangshan,1.614644
Wenzhou,1.580783
Chengde,1.572703
Ankang,1.549804
Macau,1.548846
Yulin,1.512772
Yancheng,1.503484
Lijiang,1.487180
Foshan,1.466983
Tongchuan,1.452865
Nanning,1.450191
Xianning,1.449903
Baotou,1.436700
Dezhou,1.416055
Bozhou,1.410623
Jingzhou,1.408841
Quanzhou,1.407688
Huanggang,1.401633
Weifang,1.399122
Huai'an,1.387585
Nanping,1.387471
Chizhou,1.386898
Changji,1.385469
Kaohsiung,1.376615
Alty,1.366535
Mianyang,1.366047
Liaocheng,1.364404
Dali,1.363693
Dandong,1.363013
Lishui,1.361285
Zhongwei,1.359893
Beihai,1.356056
Yingtan,1.347904
Liuzhou,1.347642
Loudi,1.347642
Fuzhou,1.347219
Zaozhuang,1.346842
Dongying,1.345188
Garze,1.345155
Shannan,1.344580
Xilingol,1.344418
Zhangzhou,1.338944
Qingyang,1.334884
Qiqihar,1.334749
Haibei,1.333763
Tongliao,1.332611
Dingxi,1.329903
Zhuzhou,1.329903
Ezhou,1.329221
Xiangtan,1.327264
Jingdezhen,1.325630
Jian,1.323476
Fushun,1.322781
Ningde,1.322662
Jingmen,1.321587
Ya'an,1.319952
Ulanqab,1.319862
Daqing,1.319456
Anshan,1.318487
Anshun,1.317317
Panjin,1.315028
Anqing,1.314845
Huainan,1.311571
Diqing,1.311149
Yanbian,1.310936
Longyan,1.308818
Benxi,1.308818
New Taipei,1.305266
Qionghai,1.303795
Yingkou,1.303382
Pingliang,1.299782
Bayingolin,1.299703
Enshi,1.298832
Xishuangbanna,1.296751
Weicu,1.295057
Keramay,1.291473
Chongzuo,1.283737
Shaoguan,1.282601
Baoshan,1.282601
Guang'an,1.282601
Kumul(Hami),1.282601
Kashgar,1.282544
Meishan,1.281905
Putian,1.280647
Shuozhou,1.278146
Changde,1.276631
Mudanjiang,1.276120
Lu'an,1.268339
Shantou,1.267119
Nantou,1.267042
Neijiang,1.265155
Liangshanzhou,1.259465
Liaoyang,1.257926
Tongling,1.257596
Ganzhou,1.255350
Qingyuan,1.252748
Huaibei,1.251997
Luzhou,1.251831
Changhua,1.250877
Hinggan,1.247385
Tainan,1.247385
Tieling,1.247385
Jiamusi,1.247385
Wanning,1.247385
Wuhai,1.247385
Wuwei,1.247385
Yiyang,1.247385
Gannan,1.245560
Siping,1.245435
Lvliang,1.245435
Chenzhou,1.245435
Baiyin,1.245435
Zhangye,1.241827
Ziyang,1.241598
Zhaoqing,1.240023
Yichun,1.239351
Yuxi,1.239073
Qiannan,1.237602
Pingdong,1.236178
Zhanjiang,1.235716
Hechi,1.234543
Zigong,1.233035
Guyuan,1.230748
Hezhou,1.229497
Shizuishan,1.228058
Bayannur,1.227650
Suihua,1.225972
Chiayi,1.223548
Dehong,1.223548
Taidong,1.223548
Qamdo,1.223536
Baishan,1.222784
Aksu,1.219855
Sanming,1.219639
Yibin,1.217416
Hualien,1.213354
Xinyu,1.212171
Linxia,1.211581
Honghe,1.209068
Qujing,1.208816
Fuxin,1.204936
Wenchang,1.204677
Haidong,1.198060
Pingxiang,1.198033
Huangnan,1.196729
Yunlin,1.192286
Sansha,1.191461
Yangjiang,1.191461
Liupanshui,1.191461
Wuzhong,1.191461
Yongzhou,1.191461
Panzhihua,1.191461
Laibin,1.191461
Chaozhou,1.191461
Hsinchu,1.189303
Tacheng,1.185276
Tonghua,1.184606
Daxinganling,1.180711
Fuzhou,1.180386
Heyuan,1.178839
Hotan,1.178185
Huaihua,1.177248
Ngari,1.176080
Bortala,1.170461
Miaoli,1.166884
Laiwu,1.163088
Fangchenggang,1.161192
Yilan,1.159293
Bijie,1.158201
Alxa,1.158043
Danzhou,1.156306
Shaoyang,1.154937
Qianxinan,1.152997
Bazhong,1.151531
Songyuan,1.149379
