city,distance
Taiyuan,5.649653
Beijing,4.475206
Jinzhong,4.164138
Yulin,3.481414
Shijiazhuang,3.148423
Shanghai,3.102286
Xi'an,3.053277
Xinzhou,3.000870
Datong,2.882843
Linfen,2.882843
Yan'an,2.814934
Yangquan,2.814934
Changzhi,2.650695
Tianjin,2.650695
Jinan,2.545327
Lanzhou,2.545327
Nanjing,2.545327
Baoding,2.545327
Changsha,2.410288
Shamen,2.410288
Yuncheng,2.410288
Changchun,2.209862
Chengde,2.209862
Chongqing,2.209862
Dongying,2.209862
Hangzhou,2.209862
Hong Kong,2.209862
Jiuquan,2.209862
Ordos,2.209862
Sanmenxia,2.209862
Sanya,2.209862
Suzhou,2.209862
Tangshan,2.209862
Tieling,2.209862
Ulanqab,2.209862
Weinan,2.209862
Wuwei,2.209862
Wuzhong,2.209862
Xilingol,2.209862
Xining,2.209862
Anyang,2.209862
Yinchuan,2.209862
Zhangjiakou,2.209862
Zhengzhou,2.209862
Zhongwei,2.209862
Guangzhou,1.830062
Shiyan,1.803108
Langfang,1.802080
Chengdou,1.800612
Wuhan,1.759920
Qingdao,1.758091
Qinhuangdao,1.750769
Shuozhou,1.743760
Shenzhen,1.738977
Dalian,1.736115
Shenyang,1.727615
Jincheng,1.682752
Xianyang,1.681145
Urumqi,1.664839
Harbin,1.664015
Hohhot,1.653190
Jiaxing,1.641710
Baoji,1.628776
Wuxi,1.617372
Kunming,1.614918
Taipei,1.604034
Hefei,1.579496
Xingtai,1.573220
Changzhou,1.571181
Ningbo,1.570400
Zhuhai,1.552777
Nanchang,1.550223
Yantai,1.549616
Handan,1.545332
Cangzhou,1.540338
Guiyang,1.530193
Fuzhou,1.522696
Jiayuguan,1.521140
Guilin,1.517683
Tai'an,1.515569
Baotou,1.514612
Zhoushan,1.503289
Lijiang,1.503207
Nanning,1.501459
Tongchuan,1.498163
Taoyuan,1.495397
Nantong,1.491315
Kumul(Hami),1.490886
Luoyang,1.488520
Haikou,1.480912
Huludao,1.480139
Jilin,1.473338
Lhasa,1.468200
Chifeng,1.466785
Xuzhou,1.464345
Yangzhou,1.464127
Hulunbuir,1.463035
Huzhou,1.461188
Yichang,1.458257
Dezhou,1.458125
Hengshui,1.453425
Weihai,1.449207
Jining,1.446016
Hanzhong,1.443646
Shaoxing,1.440334
Weifang,1.440178
Ngawa,1.434615
Linyi,1.433031
Macau,1.431605
Zibo,1.430494
Zhenjiang,1.429403
Jiaozuo,1.426470
Foshan,1.421166
Wenzhou,1.421166
Xinxiang,1.419698
Ankang,1.418619
Haixi,1.417847
Jinzhou,1.412888
Zhuzhou,1.411730
Tianshui,1.409229
Xiangtan,1.409093
Jinhua,1.404855
Jinchang,1.404753
Zhangzhou,1.402521
Quanzhou,1.401901
Alxa,1.401579
Shizuishan,1.401579
Bayannur,1.401579
Yancheng,1.401453
Jiujiang,1.398340
Zhangye,1.395877
Siping,1.393157
Xiangxi,1.391384
Dandong,1.389036
Zaozhuang,1.381052
Zhangjiajie,1.381052
Haibei,1.380698
Kaifeng,1.380468
Shangluo,1.379965
Gannan,1.379361
Chaoyang,1.379268
Lianyungang,1.378058
Suining,1.378058
Turpan,1.378058
Nanyang,1.376205
Huangshan,1.374516
Yueyang,1.372513
Qiqihar,1.372064
Dali,1.362829
Hengyang,1.361449
Xiangyang,1.359633
Fushun,1.359420
