city,distance
Nanjing,5.482944
Shanghai,5.038474
Wuhu,3.912244
Anshan,3.410216
Hefei,3.194302
Changzhou,3.105179
Beijing,3.039677
Suzhou,2.942249
Chizhou,2.796872
Zhenjiang,2.796872
Huangshan,2.780315
Wuxi,2.709025
Xuancheng,2.669730
Hangzhou,2.627376
Anqing,2.408863
Tongling,2.408863
Wuhan,2.408863
Chuzhou,2.372324
Yangzhou,2.332216
Huzhou,2.287570
Ningbo,2.287570
Xi'an,2.287570
Dongying,2.236923
Guangzhou,2.236923
Hong Kong,2.236923
Jinan,2.236923
Bangbu,2.236923
Chongqing,2.177907
Shangrao,2.177907
Shenyang,2.116133
Huai'an,2.106266
Jiaxing,2.106266
Tianjin,2.106266
Xuzhou,2.106266
Harbin,2.012943
Huainan,2.012943
Jingdezhen,2.012943
Lanzhou,2.012943
Lishui,2.012943
Nanchang,2.012943
Nantong,2.012943
Qingdao,2.012943
Shamen,2.012943
Xiangtan,2.012943
Xiuzhou,2.012943
Zaozhuang,2.012943
Zhuhai,2.012943
Foshan,1.871209
Fuzhou,1.871209
Guiyang,1.871209
Changsha,1.871209
Baoji,1.871209
Heze,1.871209
Hohhot,1.871209
Changzhi,1.871209
Huangshi,1.871209
Jian,1.871209
Kunming,1.871209
Leshan,1.871209
Lhasa,1.871209
Luoyang,1.871209
Nanping,1.871209
Chengdou,1.871209
Qinhuangdao,1.871209
Rizhao,1.871209
Sanming,1.871209
Shaoguan,1.871209
Changchun,1.871209
Taiyuan,1.871209
Taizhou,1.871209
Taizhou,1.871209
Wenzhou,1.871209
Xiaogan,1.871209
Yancheng,1.871209
Yantai,1.871209
Yingtan,1.871209
Yunlin,1.871209
Zhoushan,1.871209
Dalian,1.850044
Shenzhen,1.796324
Sanya,1.779212
Shaoxing,1.753115
Taipei,1.719976
Yingkou,1.708816
Jinhua,1.700834
Liaoyang,1.697004
Macau,1.614034
Zhengzhou,1.610189
Lianyungang,1.603659
Guilin,1.600261
Panjin,1.578157
Lu'an,1.569540
Jinzhou,1.565766
Lijiang,1.547180
Xiuqian,1.545353
Taoyuan,1.533264
Fushun,1.532429
Urumqi,1.518378
Langfang,1.514135
Haikou,1.513435
Nanning,1.507186
Zhangjiajie,1.504657
Benxi,1.503214
Tai'an,1.501479
Jining,1.495700
Dandong,1.489693
Shijiazhuang,1.487185
Baoding,1.482468
Fuyang,1.476619
Huludao,1.466664
Quanzhou,1.461329
Shantou,1.448881
Ngawa,1.433253
Dongguan,1.432865
Yinchuan,1.419809
Xianyang,1.419526
Tangshan,1.419476
Datong,1.419138
Quzhou,1.418659
Jiujiang,1.418081
Chaoyang,1.416822
Weihai,1.413506
Xining,1.405924
Beihai,1.405764
Zhangjiakou,1.398552
Yichang,1.398368
Kaohsiung,1.395456
Tieling,1.389955
Chengde,1.386959
Weinan,1.384650
Zibo,1.383672
Dezhou,1.380905
Bozhou,1.375301
Cangzhou,1.372207
Dali,1.366025
Liuzhou,1.358508
Xiangxi,1.357800
Diqing,1.357563
Linyi,1.357326
Qiqihar,1.355539
Fuxin,1.355539
Huaibei,1.353780
Xianning,1.353658
Huanggang,1.352644
Ningde,1.349973
Kaifeng,1.349041
Mianyang,1.348700
Binzhou,1.348182
Xinyang,1.341480
Taichung,1.341423
New Taipei,1.340484
Weifang,1.338544
Baotou,1.335139
Jieyang,1.334272
Jilin,1.333640
Shangqiu,1.329107
Zhongshan,1.327389
Jiuquan,1.326461
Yanbian,1.323306
Jingzhou,1.317799
Nyingchi,1.315308
Garze,1.310122
Yan'an,1.310005
Xiangyang,1.309185
Tongliao,1.306429
Zhuzhou,1.306010
Jinzhong,1.299253
Chiayi,1.298756
Hulunbuir,1.298238
Ganzhou,1.297834
Ordos,1.295379
Nanyang,1.289006
Longyan,1.288978
Garze,1.288094
Yichun,1.280742
Putian,1.280500
Nantou,1.278819
Daqing,1.277910
Pingdong,1.277353
Zhanjiang,1.276860
Anshun,1.273644
Shiyan,1.273526
Zhangzhou,1.272826
Nagqu,1.272682
Baishan,1.269911
Chifeng,1.269911
Wanning,1.269161
Suihua,1.266459
Haixi,1.265910
Jiaozuo,1.265801
Baoshan,1.265358
Jiangmen,1.264721
Xishuangbanna,1.263683
Shannan,1.262996
Huizhou,1.261980
Xinzhou,1.259663
Changde,1.256689
Mudanjiang,1.255832
Jincheng,1.253457
Yueyang,1.253443
Hualien,1.252999
Handan,1.251737
Xinyu,1.251737
Sanmenxia,1.248584
Ezhou,1.247881
Changhua,1.246441
Hanzhong,1.246388
Qionghai,1.245851
Tainan,1.245001
Qiandongnan,1.244841
Jingmen,1.241151
Liaocheng,1.238865
Zhoukou,1.238694
Pingxiang,1.236666
Qingyuan,1.236617
Yuncheng,1.232886
Zunyi,1.230409
Tianshui,1.229232
Ankang,1.227689
Luohe,1.227671
Xinxiang,1.227671
