city,distance
Shanghai,5.450153
Hong Kong,5.032270
Zhuhai,4.626502
Guangzhou,3.583782
Beijing,3.298534
Shenzhen,3.298534
Zhongshan,2.629180
Hangzhou,2.481878
Suzhou,2.454822
Taoyuan,2.449391
Jiangmen,2.319000
Taipei,2.303322
Dongguan,2.269892
Wuhan,2.269892
Nanjing,2.261047
Shamen,2.251983
Chengdou,2.242688
Foshan,2.202882
Ningbo,2.181133
Xi'an,2.157889
Jiaxing,2.126488
Kaohsiung,2.105763
Wuxi,2.105763
Tianjin,2.076059
Zhoushan,2.076059
Fuzhou,2.025129
Changzhou,2.009637
Kunming,2.005941
Dongying,1.985335
Harbin,1.985335
Huizhou,1.985335
Changsha,1.938710
Nanning,1.938710
Qingdao,1.938710
Sanya,1.938710
Jinan,1.911841
Anyang,1.881735
New Taipei,1.881735
Yangzhou,1.881735
Nantong,1.880805
Chongqing,1.847329
Haikou,1.847329
Wenzhou,1.847329
Huzhou,1.833138
Jiujiang,1.806894
Lijiang,1.806894
Pu'er,1.806894
Zhengzhou,1.806894
Shaoxing,1.800435
Dalian,1.757305
Guiyang,1.757305
Hefei,1.757305
Lhasa,1.757305
Liaocheng,1.757305
Nanchang,1.757305
Pingdong,1.757305
Quanzhou,1.757305
Shaoguan,1.757305
Taiyuan,1.757305
Zhaoqing,1.757305
Jinhua,1.745337
Zhenjiang,1.716246
Huangshan,1.698753
Ezhou,1.691863
Guilin,1.691863
Changchun,1.691863
Hengyang,1.691863
Heyuan,1.691863
Qingyuan,1.691863
Shenyang,1.691863
Shijiazhuang,1.691863
Taichung,1.691863
Wanning,1.691863
Yantai,1.691863
Yunfu,1.691863
Taizhou,1.659160
Sansha,1.651908
Taizhou,1.626299
Yancheng,1.602426
Dali,1.590601
Hohhot,1.590601
Alty,1.590601
Huai'an,1.590601
Hualien,1.590601
Diqing,1.590601
Huangshi,1.590601
Changde,1.590601
Chiayi,1.590601
Jieyang,1.590601
Changzhi,1.590601
Jingdezhen,1.590601
Chizhou,1.590601
Linyi,1.590601
Liuzhou,1.590601
Luzhou,1.590601
Miaoli,1.590601
Mudanjiang,1.590601
Nantou,1.590601
Qinhuangdao,1.590601
Sanmenxia,1.590601
Sanming,1.590601
Ganzhou,1.590601
Shangrao,1.590601
Shantou,1.590601
Tainan,1.590601
Tangshan,1.590601
Urumqi,1.590601
Xiangxi,1.590601
Xining,1.590601
Yangjiang,1.590601
Yichang,1.590601
Yunlin,1.590601
Zaozhuang,1.590601
Zhangjiajie,1.590601
Zhangzhou,1.590601
Zhanjiang,1.590601
Langfang,1.575732
Xuzhou,1.562990
Lanzhou,1.545412
Lianyungang,1.543454
Baoding,1.541465
Wuhu,1.522190
Xuancheng,1.513138
Nanping,1.471307
Ngawa,1.464725
Zhangjiakou,1.450941
Yinchuan,1.450687
Quzhou,1.449487
Luoyang,1.447820
Weihai,1.444108
Tai'an,1.442054
Lishui,1.441895
Bangbu,1.440129
Chengde,1.438467
Beihai,1.436029
Chuzhou,1.428134
Yingtan,1.426890
Keelung,1.423256
Jining,1.414340
Ma'anshan,1.400864
Jian,1.399545
Hsinchu,1.397432
Leshan,1.397213
Anqing,1.389896
Meishan,1.382321
Ningde,1.377858
Mianyang,1.376533
Cangzhou,1.371893
Xianyang,1.368492
Weifang,1.365955
Rizhao,1.365371
Baotou,1.362409
Maoming,1.359555
Chaozhou,1.359555
Shanwei,1.357702
Zhuzhou,1.355879
Jiuquan,1.353374
Zibo,1.350422
Yanbian,1.350090
Xishuangbanna,1.349614
Hezhou,1.346287
Datong,1.344322
Chenzhou,1.343622
Lu'an,1.336677
Weinan,1.336050
Meizhou,1.334413
Baoji,1.333588
Kaifeng,1.329328
Xiangyang,1.327311
Tongling,1.326084
Xiuqian,1.325672
Hulunbuir,1.324007
Huludao,1.323935
Wuzhou,1.321938
Ordos,1.321033
Jinzhou,1.319734
Taidong,1.317269
Longyan,1.314377
Suining,1.313975
Yueyang,1.313975
Jinzhong,1.313866
Garze,1.313458
Jilin,1.311126
Xianning,1.308635
Dezhou,1.306295
Deyang,1.305519
Yilan,1.293761
Panjin,1.291537
Xinzhou,1.291034
Suihua,1.290970
Haixi,1.290399
Baoshan,1.289825
Fuyang,1.288085
Chifeng,1.284970
Huaibei,1.284516
Ulanqab,1.282624
Huainan,1.280820
Xiuzhou,1.276986
Xinxiang,1.276679
Changhua,1.276492
Handan,1.276373
Xinyu,1.275676
Jingzhou,1.275093
Putian,1.272325
Xiaogan,1.270618
Baishan,1.269911
Qionghai,1.269563
Huanggang,1.269186
Fangchenggang,1.267780
Shiyan,1.267441
Daqing,1.266728
Yan'an,1.266421
Jiaozuo,1.262309
Anshan,1.262309
Hengshui,1.261811
Weicu,1.261540
Pingxiang,1.260027
Nyingchi,1.257993
Yuncheng,1.256103
Dandong,1.252848
Binzhou,1.252520
Qiandongnan,1.248622
Xingtai,1.247709
Chongzuo,1.247562
Shangqiu,1.246879
Ya'an,1.245865
Xilingol,1.245094
Fuzhou,1.240522
Yibin,1.237664
Qiqihar,1.236796
Xiangtan,1.236692
Yiyang,1.233362
Yulin,1.233362
Ili(Yili),1.233362
Fushun,1.226513
Bozhou,1.225292
Xinyang,1.223063
Anshun,1.221928
Nanyang,1.220779
Jiayuguan,1.219616
Nagqu,1.218946
Nanchong,1.218003
Baishan,1.212314
Qinzhou,1.212083
Shannan,1.210057
Yingkou,1.209817
Yuxi,1.208357
Hanzhong,1.206871
Zhumadian,1.206753
Jingmen,1.203197
Penghu,1.201575
Baise,1.200703
Tianshui,1.198679
Kashgar,1.198679
Neijiang,1.196933
Shuozhou,1.195686
Zunyi,1.195686
Yangquan,1.192926
Liangshanzhou,1.191839
Huaihua,1.191481
Ankang,1.189330
Yulin,1.188318
Turpan,1.184337
Enshi,1.184307
Honghe,1.179804
Qujing,1.179564
Kinmen,1.178984
Hinggan,1.178660
Panzhihua,1.178660
Liupanshui,1.178660
Qiannan,1.178660
Yongzhou,1.178660
Benxi,1.177123
Linfen,1.177123
Ziyang,1.175826
Yichun,1.175222
Tongliao,1.173278
Keramay,1.171288
Bayingolin,1.171288
Zigong,1.168144
Shaoyang,1.167164
Jiamusi,1.167164
Chaoyang,1.166704
Guigang,1.166666
Laiwu,1.165024
Zhongwei,1.165024
Loudi,1.162829
Hebi,1.162096
Shangluo,1.162041
Haibei,1.160574
Zhangye,1.160574
Wenchang,1.158700
Heze,1.157579
Luohe,1.156481
Wuhai,1.153372
Pingdingshan,1.153372
Danzhou,1.153372
Guangyuan,1.152747
Suizhou,1.151679
Puyang,1.150253
Liaoyang,1.148283
Gannan,1.148283
Daxinganling,1.145588
Zhoukou,1.145588
Siping,1.145319
Bayannur,1.144295
Heihe,1.144222
Lvliang,1.143258
Tieling,1.142800
Xuchang,1.139913
Hechi,1.139169
Dazhou,1.136919
Dehong,1.133808
Tongchuan,1.131398
Jincheng,1.130571
Wuwei,1.124816
Fuxin,1.124535
Laibin,1.124214
Lingshui,1.123669
Shizuishan,1.116096
Changji,1.114823
Qamdo,1.111131
Baoting,1.107696
Tonghua,1.106808
Jiyuan,1.098245
Jixi,1.098245
Lincang,1.093029
Hotan,1.093029
Liaoyuan,1.093029
Songyuan,1.093029
Guang'an,1.088987
Haidong,1.087415
Aksu,1.087415
Bortala,1.087415
Alxa,1.087415
Chengmai,1.087225
Baiyin,1.081331
Qianxinan,1.081331
Jinchang,1.081331
Wenshan,1.079441
Linxia,1.079141
Ledong,1.079141
Dingan,1.076431
Dingxi,1.074684
Ngari,1.071854
Kumul(Hami),1.068429
Bazhong,1.068199
Tongren,1.067350
Baicheng,1.067350
Shuangyashan,1.067350
Qitaihe,1.066641
Bijie,1.065719
Hegang,1.059155
Qingyang,1.058542
Zhaotong,1.053980
Golog,1.049850
Pingliang,1.049850
Wuzhong,1.045210
Wuzhishan,1.035453
Dongfang,1.026137
Huangnan,1.013890
Guyuan,1.009952
Changjiang,1.004995
Nujiang,0.999785
Tacheng,0.989309
Longnan,0.987989
Yushuzhou,0.987989
Qiongzhong,0.945024
Kezilsu,0.929747
