city,distance
Guangzhou,5.499862
Zhanjiang,4.353034
Yangjiang,3.814181
Dongguan,3.634750
Foshan,3.455843
Jiangmen,3.422904
Shenzhen,3.316983
Zhaoqing,3.005589
Zhuhai,2.948917
Beijing,2.887199
Shanghai,2.887199
Hong Kong,2.819086
Jinan,2.819086
Yulin,2.819086
Zhongshan,2.819086
Nanning,2.742562
Changsha,2.413331
Chengdou,2.413331
Fangchenggang,2.413331
Haikou,2.413331
Jieyang,2.413331
Kunming,2.413331
Lijiang,2.413331
Sanya,2.413331
Fuzhou,2.212420
Guiyang,2.212420
Hangzhou,2.212420
Heyuan,2.212420
Beihai,2.212420
Laiwu,2.212420
Nanping,2.212420
Qingyuan,2.212420
Sanming,2.212420
Shamen,2.212420
Suzhou,2.212420
Weifang,2.212420
Wenchang,2.212420
Wuxi,2.212420
Wuzhou,2.212420
Xiangyang,2.212420
Yunfu,2.212420
Zhangjiajie,2.212420
Wuhan,1.874241
Huizhou,1.823246
Macau,1.789437
Shaoguan,1.781641
Nanjing,1.763373
Tianjin,1.717128
Shantou,1.712342
Chongqing,1.706012
Xi'an,1.696487
Guilin,1.678374
Taipei,1.659234
Nanchang,1.628839
Qingdao,1.627200
Ningbo,1.615866
Zhengzhou,1.615866
Yangzhou,1.604984
Diqing,1.596554
Tai'an,1.594954
Qinzhou,1.587309
Jiaxing,1.579443
Hezhou,1.569660
Dalian,1.569651
Shanwei,1.564146
Hefei,1.562538
Zhuzhou,1.561727
Shenyang,1.555092
Xiangxi,1.553778
Dali,1.548779
Chenzhou,1.545488
Guigang,1.544336
Liuzhou,1.541577
Hengyang,1.539989
Chongzuo,1.537566
Meizhou,1.533316
Changzhou,1.514056
Zibo,1.513072
Chaozhou,1.506757
Taiyuan,1.504413
Changchun,1.500826
Harbin,1.498384
Wenzhou,1.498384
Shijiazhuang,1.492094
Taoyuan,1.492094
Quanzhou,1.488184
Jining,1.486937
Ganzhou,1.486857
Qionghai,1.485944
Dezhou,1.482445
Langfang,1.475324
Urumqi,1.472854
Baise,1.467004
Leshan,1.461599
Ngawa,1.458689
Jinhua,1.453961
Zhoushan,1.450912
Lanzhou,1.450543
Baoding,1.445243
Qinhuangdao,1.440755
Nantong,1.439755
Shangrao,1.433988
Danzhou,1.432654
Wanning,1.432654
Zunyi,1.432654
Shiyan,1.429101
Linyi,1.427853
Liangshanzhou,1.424102
Anshun,1.423024
Yantai,1.420042
Yingtan,1.415058
Hohhot,1.412773
Huzhou,1.411655
Weicu,1.411377
Xiangtan,1.410132
Yueyang,1.403200
Jiujiang,1.398128
Huangshan,1.395513
Shaoxing,1.392182
Yichang,1.390111
Liaocheng,1.389890
Qiandongnan,1.387164
Xuzhou,1.385893
Tangshan,1.385312
Xianyang,1.383537
Taizhou,1.381537
Zaozhuang,1.381294
Lhasa,1.378540
Longyan,1.378540
Cangzhou,1.377001
Hechi,1.376182
Sansha,1.373019
Yinchuan,1.372314
Zhangzhou,1.369076
Zhenjiang,1.369076
