city,distance
Chengdou,6.391514
Leshan,4.943250
Shanghai,3.183846
Ya'an,3.012783
Beijing,2.955842
Chongqing,2.825414
Zhuhai,2.748551
Yibin,2.553893
Haikou,2.490928
Mianyang,2.490928
Hangzhou,2.417967
Ngawa,2.338418
Guangyuan,2.329982
Liangshanzhou,2.329982
Shamen,2.329982
Zigong,2.329982
Dazhou,2.216315
Deyang,2.216315
Garze,2.216315
Guang'an,2.216315
Jinan,2.216315
Kunming,2.216315
Nanchong,2.216315
Nanning,2.216315
Qingdao,2.216315
Shenzhen,2.216315
Xi'an,2.216315
Xuzhou,2.216315
Dongying,2.045709
Guangzhou,2.045709
Hefei,2.045709
Hezhou,2.045709
Hohhot,2.045709
Hong Kong,2.045709
Huizhou,2.045709
Luzhou,2.045709
Nanjing,2.045709
Neijiang,2.045709
Panzhihua,2.045709
Qamdo,2.045709
Qiannan,2.045709
Qionghai,2.045709
Sanya,2.045709
Shaoxing,2.045709
Shenyang,2.045709
Suining,2.045709
Suzhou,2.045709
Tianjin,2.045709
Wanning,2.045709
Weicu,2.045709
Weihai,2.045709
Xiuzhou,2.045709
Ziyang,2.045709
Wuhan,1.921761
Lijiang,1.849939
Lhasa,1.840852
Guiyang,1.787797
Changsha,1.749899
Urumqi,1.722004
Macau,1.713633
Zhengzhou,1.712050
Ningbo,1.711197
Wuxi,1.706000
Jiaxing,1.664272
Lanzhou,1.658365
Shijiazhuang,1.643029
Dali,1.624889
Zhongshan,1.611859
Nyingchi,1.593523
Dalian,1.593523
Changzhou,1.591833
Fuzhou,1.588525
Nanchang,1.588525
Taipei,1.586825
Xining,1.583372
Guilin,1.566860
Baoji,1.550606
Bazhong,1.546267
Taiyuan,1.546267
Yinchuan,1.544051
Harbin,1.541804
Yichang,1.541804
Huangshan,1.532471
Diqing,1.522531
Zhoushan,1.522185
Dongguan,1.517305
Nantong,1.509909
Changchun,1.509106
Wenzhou,1.494339
Langfang,1.493041
Hanzhong,1.487984
Huzhou,1.479033
Zunyi,1.470736
Shiyan,1.463196
Taoyuan,1.463196
Baotou,1.463196
Baoding,1.462241
Luoyang,1.459267
Xianyang,1.459267
Baoshan,1.459267
Qinhuangdao,1.457647
Yangzhou,1.446751
Yantai,1.445103
Wuzhou,1.440362
Jinhua,1.437713
Chuzhou,1.437713
Qiandongnan,1.435510
Xiangyang,1.432953
Zhuzhou,1.417542
Jiangmen,1.415739
Beihai,1.411968
Foshan,1.408198
Taizhou,1.406141
Xiangxi,1.406141
Zhenjiang,1.401991
Tangshan,1.400922
Ankang,1.400282
Liuzhou,1.400032
Ordos,1.400032
Xishuangbanna,1.393611
Zhaotong,1.389628
Jiujiang,1.386839
Tianshui,1.386839
Wenchang,1.382799
Tai'an,1.382262
Zhangjiakou,1.380537
Gannan,1.380531
Huaihua,1.379673
Zhangzhou,1.374946
Quanzhou,1.374349
Jiuquan,1.372057
Enshi,1.372057
Zhangjiajie,1.372057
Chengde,1.369240
Qingyang,1.363926
Ganzhou,1.363926
Taizhou,1.363663
Weinan,1.358219
Chongzuo,1.356934
Lianyungang,1.355195
Jingzhou,1.355195
Zibo,1.355195
New Taipei,1.345758
Bangbu,1.345525
Nanyang,1.341131
Weifang,1.335676
Bijie,1.335479
Sanmenxia,1.335479
Yuxi,1.335479
Sansha,1.327946
Yancheng,1.325103
Datong,1.324172
Liupanshui,1.324172
Dehong,1.324172
Dandong,1.324172
Yueyang,1.324172
Handan,1.324172
Danzhou,1.319442
Qinzhou,1.315065
Zhanjiang,1.312325
Anshan,1.311582
Tongren,1.311582
Yulin,1.311582
Anshun,1.311582
Cangzhou,1.308784
Baise,1.301680
Longyan,1.300916
Jining,1.300394
Loudi,1.297342
Dezhou,1.297342
Hulunbuir,1.297342
Huangshi,1.297342
Qingyuan,1.297342
Jingdezhen,1.297342
Shangrao,1.297342
Huanggang,1.297342
Jilin,1.297342
Yulin,1.297342
Yuncheng,1.297342
Jian,1.297342
Fangchenggang,1.294537
Zaozhuang,1.294223
Yan'an,1.286322
Huangshi,1.286013
Chengmai,1.282204
Jincheng,1.280895
Linyi,1.280895
Jieyang,1.280895
Honghe,1.280895
Xinxiang,1.280895
Bayingolin,1.280895
Zhaoqing,1.280895
Ningde,1.276703
Ma'anshan,1.276703
Shannan,1.276703
Taichung,1.276703
Bayannur,1.276703
Binzhou,1.276283
Ulanqab,1.274857
Huaibei,1.272686
Fushun,1.270434
Wuhu,1.269756
Lingshui,1.268819
Dingan,1.267217
Huludao,1.265067
Xuancheng,1.263451
Pingdingshan,1.261324
Jiayuguan,1.261324
Shantou,1.261324
Suizhou,1.261324
Tainan,1.261324
Golog,1.261324
Jiaozuo,1.261324
Changji,1.261324
Jinzhong,1.261324
Ili(Yili),1.261324
Keramay,1.261324
Changde,1.261324
Nanping,1.261324
Haixi,1.261324
Nagqu,1.258567
Guigang,1.254435
Shangqiu,1.253399
Rizhao,1.250277
Qujing,1.249296
Xiuqian,1.246610
Anqing,1.241858
Quzhou,1.236957
Chenzhou,1.236957
Shangluo,1.236957
Turpan,1.236957
Nantou,1.236957
Pingdong,1.236957
Xiangtan,1.236957
Xiaogan,1.236957
Fuzhou,1.236957
Xinzhou,1.236957
Huai'an,1.236957
Heze,1.236957
Anyang,1.236957
Puyang,1.236957
Zhongwei,1.236957
Zhoukou,1.236957
Jinzhou,1.236957
Chizhou,1.233700
Ledong,1.230510
Lu'an,1.230164
Hechi,1.229672
Chifeng,1.229443
Heyuan,1.228684
Liaocheng,1.225557
Liaoyang,1.220366
Xilingol,1.216129
Benxi,1.216087
Nujiang,1.215645
Lishui,1.213391
Laibin,1.212264
Hengshui,1.208226
Yangjiang,1.207292
Tieling,1.204784
Suihua,1.204171
Alty,1.204171
Tacheng,1.204171
Jingmen,1.204171
Aksu,1.204171
Tongchuan,1.204171
Tonghua,1.204171
Tongling,1.204171
Pingxiang,1.204171
Wenshan,1.204171
Daqing,1.204171
Hsinchu,1.204171
