city,distance
Hohhot,4.841055
Beijing,4.804973
Baotou,4.495607
Wuhai,3.829918
Shanghai,3.701360
Ordos,3.631806
Alxa,2.935091
Jinchang,2.852232
Xi'an,2.852232
Lanzhou,2.756975
Yinchuan,2.756975
Dalian,2.643169
Huizhou,2.643169
Yulin,2.643169
Jinhua,2.497845
Qujing,2.497845
Shamen,2.497845
Shenyang,2.497845
Changsha,2.283241
Chengde,2.283241
Datong,2.283241
Guilin,2.283241
Hangzhou,2.283241
Harbin,2.283241
Leshan,2.283241
Shenzhen,2.283241
Shizuishan,2.283241
Tianjin,2.283241
Tianshui,2.283241
Xining,2.283241
Yueyang,2.283241
Zhangjiakou,2.283241
Zhangye,2.283241
Zhongwei,2.283241
Zhoushan,2.283241
Suzhou,2.024081
Ulanqab,1.991475
Guangzhou,1.882906
Hong Kong,1.866642
Langfang,1.853299
Xilingol,1.851784
Chengdou,1.851746
Hulunbuir,1.843002
Nanjing,1.841305
Kunming,1.826389
Wuhan,1.808737
Qingdao,1.806805
Baoding,1.806076
Jinan,1.804244
Shijiazhuang,1.800907
Qinhuangdao,1.799073
Jiaxing,1.795497
Wuxi,1.766425
Taiyuan,1.733198
Wuwei,1.728986
Tangshan,1.713442
Changzhou,1.711473
Ningbo,1.710546
Chongqing,1.706675
Zhengzhou,1.696785
Chifeng,1.683671
Weifang,1.670729
Jiuquan,1.668586
Sanya,1.664573
Hinggan,1.659027
Changchun,1.658065
Taipei,1.644486
Qianxinan,1.643124
Xianyang,1.618337
Nantong,1.617136
Urumqi,1.608567
Hefei,1.607862
Nanchang,1.587975
Yantai,1.587338
Dongying,1.583358
Huzhou,1.581771
Cangzhou,1.577605
Jiayuguan,1.573500
Weinan,1.573164
Dongguan,1.571174
Baoji,1.569751
Tongliao,1.569148
Guiyang,1.566964
Fuzhou,1.559103
Yan'an,1.557762
Shaoxing,1.557362
Tai'an,1.551632
Shiyan,1.548726
Haikou,1.547447
Lijiang,1.538677
Yangzhou,1.537339
Taoyuan,1.530496
Nanning,1.527357
Huludao,1.514516
Zhuhai,1.513497
Lhasa,1.502019
Jinzhong,1.501354
Wuzhong,1.498444
Xuzhou,1.497984
Luoyang,1.494999
Zhenjiang,1.493971
Dezhou,1.491477
Weihai,1.482147
Xinzhou,1.481663
Huangshan,1.480699
Jining,1.478809
Wenzhou,1.474448
Ngari,1.467757
Shuozhou,1.467757
Ngawa,1.466887
Macau,1.463741
Kashgar,1.462300
Mudanjiang,1.462300
Handan,1.452596
Zibo,1.450700
Taizhou,1.450527
Haixi,1.447698
Jinzhou,1.444180
Jilin,1.443175
Yingkou,1.440949
Gannan,1.439236
Hengshui,1.433765
Zhangzhou,1.431724
Fushun,1.431333
Quanzhou,1.431077
Lvliang,1.430742
Jiujiang,1.428984
Yichang,1.425457
Taizhou,1.425348
Heyuan,1.421697
Anshan,1.419478
Dandong,1.419269
Liupanshui,1.416408
Xingtai,1.415585
Zaozhuang,1.410935
Zhangjiajie,1.410935
Haibei,1.408991
Yancheng,1.406977
Qiqihar,1.401555
Linyi,1.400624
Jiaozuo,1.399686
Xinxiang,1.399215
Anyang,1.397790
Hanzhong,1.397085
Dingxi,1.396983
Linxia,1.394060
Foshan,1.392918
Dali,1.391920
Kaifeng,1.388878
Daqing,1.384702
Xiangtan,1.382092
Xiuqian,1.382092
Changzhi,1.382092
Panjin,1.379826
Bangbu,1.377595
Yanbian,1.375322
Liuzhou,1.374970
Ankang,1.373633
Huai'an,1.373005
Baiyin,1.372566
Quzhou,1.372564
Shangrao,1.372252
Shantou,1.371152
Diqing,1.368840
Liaoyang,1.368095
Zhuzhou,1.367173
Meishan,1.365349
Benxi,1.362720
Lianyungang,1.362626
Xianning,1.359407
Nanping,1.358735
Lishui,1.354444
Xiangyang,1.354026
Longyan,1.351632
Honghe,1.350371
Tieling,1.348543
Binzhou,1.348401
Guyuan,1.348095
Xiangxi,1.348082
Kaohsiung,1.346951
Yangquan,1.345482
Wuhu,1.344740
Yuncheng,1.344440
Liaocheng,1.341727
Xuancheng,1.337670
Shangluo,1.337360
Mianyang,1.336253
Jian,1.333824
Beihai,1.330502
Nanchong,1.327817
Kumul(Hami),1.327817
Shanwei,1.325965
Sanmenxia,1.323747
Baicheng,1.321757
Xinyang,1.321737
Rizhao,1.320821
Hengyang,1.319963
New Taipei,1.319898
Zhongshan,1.318967
Tongchuan,1.318256
Jiamusi,1.313767
Guangyuan,1.313767
Dazhou,1.313767
Baise,1.313767
Yibin,1.313767
Jingdezhen,1.313767
Zhanjiang,1.313767
Huainan,1.313767
Suihua,1.313465
Chaoyang,1.312218
Chuzhou,1.310211
Fuxin,1.305798
Chizhou,1.304367
Changde,1.302580
Heze,1.300687
Pu'er,1.297987
Linfen,1.297987
Ganzhou,1.296166
Hezhou,1.296042
Meizhou,1.291445
Puyang,1.291445
Anqing,1.285228
Siping,1.285228
Taichung,1.283939
Ili(Yili),1.281312
Jingzhou,1.279973
Baishan,1.278617
Jieyang,1.277242
Anshun,1.274600
Wenshan,1.274600
Baoshan,1.274437
Shangqiu,1.273005
Nagqu,1.271679
Luohe,1.271552
Xuchang,1.271552
Yiyang,1.271043
Yingtan,1.269817
Xishuangbanna,1.268583
Longnan,1.268045
Garze,1.263960
Nanyang,1.263960
Qiandongnan,1.263960
Fuyang,1.263960
Yichun,1.262371
Pingliang,1.259239
Shaoguan,1.259132
Qionghai,1.259132
Jixi,1.259132
Wanning,1.259132
Ma'anshan,1.259132
Guang'an,1.259132
Daxinganling,1.259132
Jincheng,1.259132
Yuxi,1.259132
Zhumadian,1.259132
Deyang,1.259115
Loudi,1.258506
Haidong,1.258412
Huangnan,1.256944
Pingdong,1.255748
Zunyi,1.255748
Huanggang,1.252263
Huaihua,1.249723
Pingdingshan,1.248651
Jiangmen,1.247902
Keramay,1.244899
Dehong,1.242968
Xiuzhou,1.240998
Ya'an,1.240998
Bozhou,1.240998
Ningde,1.240998
Nantou,1.238986
Heihe,1.237262
Tonghua,1.236932
Hebi,1.236932
Hualien,1.236932
Pingxiang,1.234833
Xiaogan,1.232686
Yichun,1.230592
Chaozhou,1.226109
Yongzhou,1.223579
Nyingchi,1.223579
Zhaoqing,1.221158
Liangshanzhou,1.218672
