city,distance
Chengdou,5.905142
Shanghai,4.416165
Deyang,3.913884
Ngawa,3.460576
Beijing,3.455234
Guangyuan,3.260474
Chongqing,3.102495
Hong Kong,2.778164
Xi'an,2.778164
Nanchong,2.666512
Suining,2.525520
Baoji,2.504701
Leshan,2.460035
Shenzhen,2.460035
Hanzhong,2.383278
Guangzhou,2.354247
Hangzhou,2.354247
Suzhou,2.354247
Lanzhou,2.322967
Lijiang,2.322967
Yibin,2.288969
Nanjing,2.209968
Wuhan,2.209968
Guiyang,2.162663
Meishan,2.162663
Ankang,2.162663
Xining,2.162663
Zigong,2.162663
Ziyang,2.162663
Changsha,2.107452
Garze,2.107452
Guilin,2.107452
Hefei,2.107452
Liangshanzhou,2.107452
Luzhou,2.107452
Neijiang,2.107452
Panzhihua,2.107452
Shenyang,2.107452
Tianjin,2.107452
Ya'an,2.107452
Bazhong,2.107452
Nanning,2.040300
Ningbo,2.040300
Sanya,2.040300
Shamen,2.040300
Taipei,2.040300
Dalian,1.952608
Foshan,1.952608
Fuzhou,1.952608
Guang'an,1.952608
Haikou,1.952608
Kaohsiung,1.952608
Kunming,1.952608
Lhasa,1.952608
Longnan,1.952608
Shijiazhuang,1.952608
Tianshui,1.952608
Urumqi,1.952608
Wuxi,1.952608
Xiangyang,1.952608
Yichang,1.952608
Yinchuan,1.952608
Zhangjiajie,1.952608
Zhengzhou,1.952608
Jiaxing,1.948487
Changzhou,1.849927
Enshi,1.818962
Dali,1.818962
Hotan,1.818962
Jiaozuo,1.818962
Dongguan,1.818962
Jiayuguan,1.818962
Jinzhou,1.818962
Jiujiang,1.818962
Daqing,1.818962
Changchun,1.818962
Qamdo,1.818962
Qingdao,1.818962
Qinhuangdao,1.818962
Baoding,1.818962
Taoyuan,1.818962
Dazhou,1.818962
Wenzhou,1.818962
Wuzhou,1.818962
Xishuangbanna,1.818962
Xuzhou,1.818962
Yichun,1.818962
Diqing,1.818962
Zhuhai,1.818962
Zibo,1.818962
Bozhou,1.818962
Zhoushan,1.756525
Nantong,1.740199
Gannan,1.707392
Huzhou,1.699315
Shaoxing,1.671176
Yangzhou,1.648140
Jinan,1.646984
Jinhua,1.623601
Langfang,1.610625
Zhenjiang,1.598397
