city,distance
Taipei,4.755888
Taichung,4.701926
Hsinchu,4.495327
Taoyuan,4.099814
New Taipei,3.599279
Nantou,3.427358
Changhua,3.200275
Kaohsiung,3.159595
Tainan,3.138482
Shanghai,2.998288
Chiayi,2.944972
Yunlin,2.823862
Keelung,2.673171
Beijing,2.579110
Pingdong,2.579110
Yilan,2.579110
Hong Kong,2.391713
Fuzhou,2.305594
Taidong,2.305594
Chengdou,2.194238
Hangzhou,2.194238
Hualien,2.194238
Nanjing,2.194238
Changsha,2.026885
Chongqing,2.026885
Dalian,2.026885
Guangzhou,2.026885
Macau,2.026885
Shenzhen,2.026885
Tai'an,2.026885
Weifang,2.026885
Yuncheng,2.026885
Suzhou,1.794031
Shamen,1.698358
Jiaxing,1.612119
Wuxi,1.588643
Tianjin,1.582628
Changzhou,1.544056
Ningbo,1.543302
Zhoushan,1.478440
Penghu,1.472020
Nantong,1.466857
Dongguan,1.459730
Qingdao,1.457148
Jinan,1.451617
Kinmen,1.446231
Huzhou,1.437700
Sanya,1.434520
Xi'an,1.431854
Shijiazhuang,1.431419
Hefei,1.429176
Huai'an,1.426893
Shaoxing,1.417507
Wuhan,1.410532
Zhuhai,1.409416
Quanzhou,1.405998
Yangzhou,1.400899
Ningde,1.390775
Langfang,1.390450
Harbin,1.389770
Jinhua,1.383130
Leshan,1.378253
Ngawa,1.375665
Zhongshan,1.371590
Kunming,1.366012
Zhenjiang,1.364797
Baoding,1.363700
Qinhuangdao,1.359703
Guilin,1.358652
Taiyuan,1.357192
Foshan,1.354263
Nanning,1.354184
Huangshan,1.353712
Zhengzhou,1.353296
Chaozhou,1.349960
Wenzhou,1.348486
Shenyang,1.345696
Jining,1.345127
Putian,1.344397
Linfen,1.342618
Nanping,1.339419
Zibo,1.331901
Taizhou,1.328449
Wuhu,1.314987
Xiuqian,1.314987
Tangshan,1.310215
Taizhou,1.307299
Nanchang,1.305280
Jilin,1.304275
Lianyungang,1.304275
Luoyang,1.304275
Yantai,1.304275
Dandong,1.301955
Sanmenxia,1.297273
Baoji,1.292570
Ya'an,1.292570
Zhangjiakou,1.292368
Yancheng,1.291829
Deyang,1.288951
Chengde,1.282462
Changchun,1.281320
Lanzhou,1.280730
Lijiang,1.279774
Sanming,1.277323
Zhuzhou,1.270922
Mianyang,1.270750
Xiangtan,1.268784
Xuzhou,1.266076
Guiyang,1.264093
Kaifeng,1.263107
Shangrao,1.262496
Urumqi,1.260004
Sansha,1.259609
Hohhot,1.259355
Haikou,1.256598
Zhangzhou,1.256390
Xiangxi,1.254408
Huizhou,1.252988
Hezhou,1.252988
Zhangjiajie,1.250541
Linyi,1.243258
Yichang,1.243258
Weinan,1.243080
Yan'an,1.241709
Dongying,1.241709
Datong,1.241709
Yueyang,1.239049
Garze,1.238326
Yingkou,1.236062
Jinzhong,1.234741
Liuzhou,1.233516
Xuancheng,1.233166
Hengyang,1.230026
Cangzhou,1.229278
Changde,1.214917
Shantou,1.214171
Lhasa,1.206949
Chizhou,1.204807
Nanchong,1.203570
Yinchuan,1.199241
Longyan,1.197724
Meishan,1.197624
Laiwu,1.196571
Baotou,1.196571
Jiangmen,1.194724
Huludao,1.190633
Quzhou,1.190559
Jiujiang,1.190151
Ma'anshan,1.188336
Weihai,1.186927
Lishui,1.185432
Liangshanzhou,1.184695
Benxi,1.184695
Bangbu,1.184238
Neijiang,1.182992
Xining,1.181577
Beihai,1.181464
Dezhou,1.180007
Hulunbuir,1.179540
Zhaoqing,1.178801
Chuzhou,1.177907
Loudi,1.176488
Yingtan,1.175271
Qinzhou,1.174621
Daqing,1.174621
Anshan,1.171444
Yiyang,1.171100
Zaozhuang,1.169771
Suining,1.169733
Qingyuan,1.169614
Xinzhou,1.163956
Ziyang,1.162370
Chifeng,1.159025
Jingdezhen,1.158301
Jian,1.156657
Dandong,1.155436
Zigong,1.154862
Dali,1.153267
Rizhao,1.152625
Handan,1.152026
Anqing,1.150059
Xishuangbanna,1.147758
Ordos,1.147356
Diqing,1.147230
Jinzhou,1.146727
Shaoguan,1.145704
Guang'an,1.145165
Panjin,1.145016
Pingdingshan,1.145016
Shanwei,1.145016
Yichun,1.145016
Bortala,1.145016
Xiangyang,1.142141
Yibin,1.141149
Hengshui,1.140150
Guangyuan,1.139810
Yanbian,1.136571
Jiaozuo,1.136571
Luzhou,1.135299
Zunyi,1.133271
Chenzhou,1.132011
Huaihua,1.131011
Jieyang,1.130553
Dazhou,1.128736
Shiyan,1.128734
Ankang,1.128734
Jiuquan,1.128734
Xingtai,1.128624
Xilingol,1.126484
Qiqihar,1.119688
Xinxiang,1.118194
