city,distance
Harbin,5.884361
Beijing,4.102838
Shanghai,3.986355
Yanbian,3.920426
Qingdao,3.370590
Jilin,3.225901
Jixi,3.177484
Changchun,2.969775
Shenyang,2.824749
Jiamusi,2.705401
Tianjin,2.671264
Dalian,2.634847
Daqing,2.506948
Baishan,2.506948
Xi'an,2.506948
Guangzhou,2.455435
Qiqihar,2.397176
Qitaihe,2.397176
Daxinganling,2.329530
Urumqi,2.329530
Heihe,2.247754
Jiangmen,2.247754
Qinhuangdao,2.247754
Shamen,2.247754
Hangzhou,2.141787
Hong Kong,2.141787
Huzhou,2.141787
Kunming,2.141787
Linfen,2.141787
Meizhou,2.141787
Songyuan,2.141787
Xishuangbanna,2.141787
Suzhou,2.106433
Suihua,2.027110
Chaoyang,1.982048
Chengdou,1.982048
Bangbu,1.982048
Foshan,1.982048
Guiyang,1.982048
Haikou,1.982048
Hohhot,1.982048
Hulunbuir,1.982048
Anshan,1.982048
Kaohsiung,1.982048
Liaoyuan,1.982048
Macau,1.982048
Nanjing,1.982048
Ningbo,1.982048
Shijiazhuang,1.982048
Tonghua,1.982048
Weihai,1.982048
Wuhai,1.982048
Wuhan,1.982048
Yichun,1.982048
Yingkou,1.982048
Zhengzhou,1.982048
Zhenjiang,1.982048
Jiaxing,1.860003
Wuxi,1.828823
Changzhou,1.769984
Shenzhen,1.741638
Langfang,1.738542
Jinan,1.716232
Baoding,1.696922
Zhoushan,1.684294
Weifang,1.683022
Yantai,1.675816
Nantong,1.669277
Siping,1.663555
Chongqing,1.659943
Sanya,1.659943
Taiyuan,1.632429
Taipei,1.632404
Hegang,1.628097
Changsha,1.619150
Tangshan,1.614892
Shaoxing,1.605662
Tieling,1.604792
Taizhou,1.594498
Zhangjiakou,1.587865
Shuangyashan,1.585145
Yangzhou,1.584386
Huludao,1.583526
Jinzhou,1.583526
Chengde,1.572938
Jinhua,1.561695
Hefei,1.552351
Rizhao,1.549649
Fushun,1.532994
Huangshan,1.524294
Dandong,1.522031
Wenzhou,1.517670
Nanchang,1.504245
Xianyang,1.501035
Fuzhou,1.494476
Cangzhou,1.493678
Linyi,1.492416
Taizhou,1.492338
Zibo,1.489577
Lanzhou,1.483615
Guilin,1.476492
Hinggan,1.472693
Nanning,1.472693
Tai'an,1.470375
Weinan,1.462094
Dongying,1.461668
Datong,1.461052
Liaoyang,1.460681
Xuzhou,1.460391
Baoji,1.459146
Lijiang,1.458736
Benxi,1.454555
Taoyuan,1.451381
Yinchuan,1.449561
Turpan,1.446762
Yancheng,1.446281
Zhuhai,1.436086
Changji,1.433525
Diqing,1.431862
Chifeng,1.431862
Panjin,1.431862
Tongliao,1.431862
Baotou,1.429672
Lhasa,1.425747
Jinzhong,1.425148
Xining,1.420877
Luoyang,1.419421
Dezhou,1.416245
Alty,1.413265
Zhongshan,1.411712
Shangrao,1.409615
Dongguan,1.408105
Yan'an,1.407112
Lianyungang,1.405266
Jining,1.404818
Xinzhou,1.398324
Zhangjiajie,1.394727
Ngawa,1.394055
Yuncheng,1.392905
Pingdong,1.387870
Dali,1.384660
Ili(Yili),1.384308
Baicheng,1.383819
Handan,1.381142
Wuhu,1.380600
Pu'er,1.379102
Ordos,1.374434
Xuancheng,1.373149
Kaifeng,1.372173
Ganzhou,1.372173
Heyuan,1.366959
Hengshui,1.364107
Jiujiang,1.359779
Quanzhou,1.357420
Tainan,1.347879
Xingtai,1.347641
Yichang,1.346885
Zhangzhou,1.345891
Xilingol,1.344590
Zaozhuang,1.343425
Heze,1.343385
Nanping,1.343385
Fuxin,1.343385
Xiangyang,1.343385
Bayingolin,1.341903
Huai'an,1.338718
Chizhou,1.338078
Jiaozuo,1.333224
Keramay,1.333131
Xinxiang,1.332796
Bayannur,1.332606
Anyang,1.331503
Yangjiang,1.327226
Anshun,1.324041
Kashgar,1.323619
Quzhou,1.320526
Lishui,1.314222
Weicu,1.313952
Qionghai,1.310382
Beihai,1.309347
Hanzhong,1.308790
Shantou,1.308725
Ma'anshan,1.304802
Ningde,1.304802
Sanming,1.304802
Jieyang,1.304802
Ulanqab,1.304802
Changzhi,1.304802
Hsinchu,1.304802
Chuzhou,1.302781
Yingtan,1.301745
Laiwu,1.298855
Qiandongnan,1.292942
Huizhou,1.292141
Leshan,1.291413
Chiayi,1.290936
Ankang,1.288186
Zhaoqing,1.286891
Binzhou,1.286612
Yangquan,1.283954
Jingdezhen,1.280959
Liaocheng,1.280534
Shizuishan,1.280142
Guangyuan,1.280142
Zhuzhou,1.280142
Jian,1.278948
Zunyi,1.277380
Mianyang,1.275547
Longyan,1.274876
Liuzhou,1.274815
Taichung,1.273277
Shaoguan,1.271104
Anqing,1.270886
Jiuquan,1.270305
Taidong,1.267767
Xiangxi,1.267639
Kumul(Hami),1.267251
Yulin,1.262497
Xinyang,1.262314
New Taipei,1.260636
Aksu,1.256955
Baoshan,1.256733
Yuxi,1.256359
Shangluo,1.256233
Alxa,1.254537
Chaozhou,1.253155
Shuozhou,1.247061
Sanmenxia,1.244214
Loudi,1.243737
Liangshanzhou,1.243737
Tongling,1.243737
Luohe,1.243737
Hotan,1.243737
Yibin,1.243737
Yulin,1.243737
Guang'an,1.243737
Qiannan,1.243535
Changde,1.234655
Puyang,1.234655
Xiuzhou,1.234554
Tianshui,1.234112
Yueyang,1.233546
Nantou,1.231877
Lvliang,1.226600
Lu'an,1.226244
Honghe,1.225521
Qujing,1.225263
Jingzhou,1.224167
Wanning,1.223316
Zhongwei,1.222926
Tongchuan,1.220498
Tacheng,1.220272
Shangqiu,1.217791
Xiuqian,1.216975
Xuchang,1.216462
Huainan,1.215695
Zhanjiang,1.213894
Deyang,1.212688
Wenchang,1.210298
Fuyang,1.209512
Garze,1.209512
Nanyang,1.209512
Yichun,1.208056
Xianning,1.207534
Jincheng,1.204884
Bortala,1.204575
Gannan,1.200407
Huanggang,1.198796
Nanchong,1.198796
Pingdingshan,1.195485
Xiangtan,1.193782
Hezhou,1.190976
Hualien,1.190488
Dehong,1.190275
Jiayuguan,1.190219
Maoming,1.189311
Ya'an,1.188468
Bozhou,1.188468
Haixi,1.187185
Shiyan,1.186623
Hebi,1.184739
Pingxiang,1.182813
Huaibei,1.182203
Xiaogan,1.180843
Nyingchi,1.180699
Xinyu,1.174712
Qianxinan,1.173677
Yongzhou,1.172484
Putian,1.171870
Luzhou,1.167977
Huangshi,1.166835
Hengyang,1.163217
Danzhou,1.161484
Shanwei,1.156385
Yunlin,1.156027
Huaihua,1.152799
Yiyang,1.149977
Dazhou,1.149977
Zhumadian,1.149977
Baise,1.149889
Keelung,1.147054
Chenzhou,1.146156
Yichun,1.145016
Fuzhou,1.144837
Enshi,1.140872
Qingyang,1.136143
Chengmai,1.132529
Meishan,1.131508
Zhoukou,1.130606
Wuzhou,1.130340
Liupanshui,1.129021
Kinmen,1.128265
Lincang,1.127851
Tongren,1.126989
Yilan,1.124984
Qinzhou,1.122940
Bijie,1.122761
Ezhou,1.122645
Lingshui,1.122075
Dingan,1.120822
Haibei,1.118806
Neijiang,1.118438
Wenshan,1.117585
Chongzuo,1.117453
Jingmen,1.117195
Yunfu,1.115071
Wuzhong,1.114437
Penghu,1.111586
Sansha,1.111586
Pingliang,1.110614
Zigong,1.109805
Suining,1.106579
Zhangye,1.104872
Changhua,1.103533
Ziyang,1.099988
Baiyin,1.099593
Shannan,1.099593
Jiyuan,1.099593
Panzhihua,1.093911
Qamdo,1.093911
Nagqu,1.093787
Ledong,1.092009
Zhaotong,1.090315
Dingxi,1.085134
Shaoyang,1.082073
Jinchang,1.081028
Guigang,1.081028
Miaoli,1.077364
Huangnan,1.073608
Suizhou,1.072643
Fangchenggang,1.065825
Guyuan,1.059820
Bazhong,1.058204
Baoting,1.053843
Wuwei,1.045316
Linxia,1.044982
Longnan,1.044982
Hechi,1.044982
Dongfang,1.043583
Changjiang,1.043583
Kezilsu,1.038685
Wuzhishan,1.035748
Nujiang,1.032422
Ngari,1.021165
Haidong,1.015553
Golog,1.015553
Yushuzhou,1.015553
Qiongzhong,0.979067
Laibin,0.959782
