city,distance
Lhasa,6.517230
Haixi,4.401597
Xining,3.759102
Shanghai,3.432013
Lanzhou,3.229555
Ngari,2.879613
Xi'an,2.816605
Nyingchi,2.746451
Shannan,2.666667
Beijing,2.573055
Qamdo,2.386505
Chengdou,2.376654
Jiuquan,2.300754
Tianjin,2.300754
Yushuzhou,2.300754
Chongqing,2.245005
Garze,2.189853
Nanjing,2.189853
Suzhou,2.189853
Tianshui,2.189853
Wuhan,2.189853
Haibei,2.023143
Hefei,2.023143
Bangbu,2.023143
Kaifeng,2.023143
Luoyang,2.023143
Sanmenxia,2.023143
Taiyuan,2.023143
Weinan,2.023143
Baoji,2.023143
Zhengzhou,2.023143
Kunming,1.871489
Hangzhou,1.869398
Diqing,1.809628
Guangzhou,1.804489
Nanning,1.758410
Urumqi,1.750980
Jiaxing,1.729649
Wuxi,1.702654
Hong Kong,1.699143
Shamen,1.680308
Changzhou,1.651541
Ningbo,1.650678
Hohhot,1.620825
Xuzhou,1.613863
Dazhou,1.611322
Shenzhen,1.611322
Xianyang,1.606805
Haidong,1.605910
Huangnan,1.603521
Zhangye,1.591035
Yinchuan,1.588422
Kashgar,1.580810
Lijiang,1.580473
Zhoushan,1.576692
Jiayuguan,1.563661
Nantong,1.563526
Chuzhou,1.558500
Gannan,1.558271
Changsha,1.543136
Changchun,1.542402
Huzhou,1.530442
Sanya,1.526839
Wuwei,1.523813
Jinan,1.519209
Nujiang,1.519209
Qingdao,1.519209
Shenyang,1.519209
Yangzhou,1.519209
Zhuzhou,1.512273
Dingxi,1.508860
Shaoxing,1.507580
Bayingolin,1.506809
Linxia,1.505450
Fuzhou,1.491756
Ya'an,1.490804
Taipei,1.483009
Baiyin,1.480415
Dalian,1.478736
Jinhua,1.468756
Yan'an,1.467893
Ngawa,1.461407
Harbin,1.457793
Leshan,1.457793
Macau,1.457793
Zhenjiang,1.448100
Huangshan,1.435626
Wenzhou,1.429750
Xiuzhou,1.425958
Hezhou,1.412470
Jingzhou,1.412470
Kumul(Hami),1.412470
Langfang,1.412470
Guilin,1.412470
Mianyang,1.412470
Shijiazhuang,1.412470
Wuhu,1.412470
Chongzuo,1.412470
Zhongwei,1.412470
Foshan,1.412470
Jinchang,1.408289
Taizhou,1.407246
Hanzhong,1.388482
Taizhou,1.383535
Nanchang,1.381273
Jinzhong,1.370489
Yancheng,1.366219
Ankang,1.365316
Baoding,1.362005
Qinhuangdao,1.358018
Jiujiang,1.353342
Pingxiang,1.353342
Qionghai,1.353342
Guangyuan,1.353342
Golog,1.353342
Deyang,1.349810
Pingliang,1.349429
Taoyuan,1.342093
Hengyang,1.341187
Jingdezhen,1.341187
Liangshanzhou,1.341187
Liaocheng,1.341187
Ma'anshan,1.341187
Baotou,1.341187
Anshan,1.341187
Dongying,1.341187
Dali,1.341187
Qujing,1.341187
Rizhao,1.341187
Shangqiu,1.341187
Shangrao,1.341187
Baoshan,1.341187
Tangshan,1.341187
Xiangxi,1.341187
Xinzhou,1.341187
Chengde,1.341187
Yantai,1.341187
Dandong,1.341187
Zhangjiajie,1.341187
Zhongshan,1.341187
Datong,1.341187
Zigong,1.341187
Ziyang,1.341187
Zunyi,1.341187
Zhuhai,1.339919
Yulin,1.336493
Guiyang,1.335235
Shangluo,1.329475
Haikou,1.326876
Lianyungang,1.323118
Longnan,1.319119
Shizuishan,1.303083
Xuancheng,1.300777
Ordos,1.300731
Laiwu,1.298855
Qingyang,1.290889
Zhangjiakou,1.290846
Tongchuan,1.289518
Quanzhou,1.286654
Yichang,1.286285
Xianning,1.281629
Jiangmen,1.274834
Beihai,1.274834
Turpan,1.274834
Jiaozuo,1.273693
Huai'an,1.269839
Nanping,1.269743
Yuncheng,1.269398
Chizhou,1.269263
Dongguan,1.264536
Nanchong,1.256468
Quzhou,1.253459
Meishan,1.249989
Weihai,1.249435
Tai'an,1.247897
Lishui,1.247777
Xinxiang,1.246718
Huanggang,1.243767
Alxa,1.242175
Xiangyang,1.241693
Jieyang,1.240037
Jinzhou,1.240037
Xiaogan,1.237406
Yingtan,1.236525
Huangshi,1.235877
Kaohsiung,1.235311
Neijiang,1.234058
Cangzhou,1.233881
Anqing,1.233506
Huainan,1.231033
Jining,1.227089
Lu'an,1.221968
Jian,1.215937
Guang'an,1.211677
Shiyan,1.209571
Weicu,1.207005
Liuzhou,1.206268
Linyi,1.205336
Weifang,1.204014
Xilingol,1.204014
Ningde,1.199534
Zaozhuang,1.199534
New Taipei,1.192036
Changji,1.191300
Huludao,1.189341
Yibin,1.188594
Bayannur,1.186706
Wuzhong,1.186706
Guyuan,1.186706
Lvliang,1.186691
Linfen,1.186646
Ezhou,1.186414
Puyang,1.184755
Baishan,1.184755
Enshi,1.184755
Laibin,1.184755
Shantou,1.184755
Ili(Yili),1.184755
Alty,1.184755
Wuhai,1.184755
Anyang,1.184755
