city,distance
Chengdou,6.095906
Chongqing,4.099951
Dazhou,3.508702
Suining,3.457030
Beijing,3.443704
Shanghai,3.299598
Guang'an,3.165559
Mianyang,3.069390
Bazhong,2.767804
Guangyuan,2.734912
Deyang,2.622883
Guangzhou,2.479720
Ankang,2.479720
Wuhan,2.479720
Xinyang,2.479720
Xi'an,2.420318
Zigong,2.420318
Guiyang,2.351377
Hangzhou,2.351377
Kunming,2.351377
Shenzhen,2.351377
Leshan,2.304882
Ngawa,2.297653
Garze,2.268088
Luoyang,2.268088
Nanchang,2.268088
Ya'an,2.268088
Yibin,2.268088
Zunyi,2.268088
Changsha,2.160240
Hong Kong,2.160240
Jinan,2.160240
Liaoyang,2.160240
Lijiang,2.160240
Meishan,2.160240
Nanning,2.160240
Shamen,2.160240
Shiyan,2.160240
Tianjin,2.160240
Tongling,2.160240
Xiangyang,2.160240
Zhengzhou,2.160240
Daqing,1.997842
Diqing,1.997842
Enshi,1.997842
Fuzhou,1.997842
Haikou,1.997842
Hefei,1.997842
Changde,1.997842
Huaihua,1.997842
Jinchang,1.997842
Jinhua,1.997842
Lanzhou,1.997842
Lu'an,1.997842
Luzhou,1.997842
Neijiang,1.997842
Ningbo,1.997842
Panzhihua,1.997842
Qionghai,1.997842
Shaoxing,1.997842
Shenyang,1.997842
Suizhou,1.997842
Suzhou,1.997842
Weinan,1.997842
Baoding,1.997842
Xinxiang,1.997842
Yancheng,1.997842
Yantai,1.997842
Yichang,1.997842
Zhaotong,1.997842
Ziyang,1.997842
Nanjing,1.816395
Lhasa,1.815496
Liangshanzhou,1.794718
Urumqi,1.699796
Jiaxing,1.695360
Wuxi,1.684201
Qingdao,1.661485
Sanya,1.639951
Shijiazhuang,1.622799
Changzhou,1.620251
Langfang,1.608116
Dali,1.605101
Dalian,1.574487
Nyingchi,1.574487
Hanzhong,1.570787
Taipei,1.567948
Qinhuangdao,1.567130
Xining,1.564576
Puyang,1.554803
Guilin,1.548452
Zhoushan,1.548150
Zhenjiang,1.542566
Foshan,1.542466
Nantong,1.535454
Baoji,1.532576
Taiyuan,1.528337
Yinchuan,1.526172
Harbin,1.523976
Huangshan,1.514858
Zhuhai,1.512488
Hohhot,1.510081
Huzhou,1.503536
Dongying,1.502613
Tangshan,1.501755
Dongguan,1.500037
Changchun,1.492023
Xiangxi,1.488471
Anshun,1.479251
Zhangjiakou,1.478354
Wenzhou,1.477586
Xianyang,1.469541
Chengde,1.465407
Yangzhou,1.463334
Zhumadian,1.458120
Baotou,1.447131
Taoyuan,1.447131
Zhongshan,1.447131
Macau,1.443287
Baoshan,1.443287
Jiujiang,1.442952
Huizhou,1.441912
Qiandongnan,1.440540
Xuzhou,1.439330
Tongren,1.431624
Chizhou,1.423950
Chuzhou,1.422200
Jingmen,1.421356
Xiaogan,1.410676
Anshan,1.409608
Zhuzhou,1.402458
Dezhou,1.400316
Beihai,1.397003
Cangzhou,1.396376
Taizhou,1.391298
Weicu,1.389959
Liuzhou,1.385317
Ordos,1.385317
Wanning,1.385122
Taizhou,1.384465
Hebi,1.379653
Sanmenxia,1.379653
Qiannan,1.379476
Xishuangbanna,1.379030
Tai'an,1.375989
Xianning,1.375749
Wuwei,1.373039
Tianshui,1.372399
Datong,1.367821
Jiaozuo,1.366608
Gannan,1.366221
Zhangjiajie,1.365909
Qamdo,1.362144
Shangrao,1.362115
Kaifeng,1.360940
Jiuquan,1.357922
Luohe,1.355590
Yan'an,1.352485
Weihai,1.351807
Qingyang,1.349956
Quanzhou,1.349956
Ganzhou,1.349956
Huludao,1.346721
Fuyang,1.345160
Wuhu,1.344983
Jingzhou,1.341402
Lianyungang,1.341402
Zibo,1.341402
Jiangmen,1.338838
Jinzhong,1.336304
Chongzuo,1.335706
Nanyang,1.333689
Shangluo,1.332776
Hulunbuir,1.332548
Huanggang,1.332217
New Taipei,1.332157
Yulin,1.331688
Meizhou,1.329460
Zhangye,1.328835
Yuxi,1.325674
Huangshi,1.323168
Bijie,1.322083
Weifang,1.322083
Xiangtan,1.319784
Jining,1.318414
Zhangzhou,1.314018
Xinzhou,1.312692
Pingdingshan,1.311564
Xingtai,1.311564
Yichun,1.311564
Yiyang,1.311564
Liupanshui,1.311000
Dehong,1.311000
Dandong,1.311000
Handan,1.311000
Huai'an,1.307560
Heyuan,1.307560
Qingyuan,1.307384
Chifeng,1.306424
Yingtan,1.304960
Yingkou,1.297882
Anyang,1.297278
Jian,1.296728
Qinzhou,1.295118
Loudi,1.293728
Zhaoqing,1.293531
Jingmen,1.293208
Qiqihar,1.292202
Honghe,1.291386
Qujing,1.291099
Jinzhou,1.290819
Jilin,1.290016
Jingdezhen,1.284697
