city,distance
Shanghai,5.982285
Beijing,3.673935
Suzhou,3.568025
Changzhou,3.435150
Wuxi,3.363753
Zhenjiang,3.260347
Hangzhou,3.049419
Yangzhou,3.033043
Hefei,2.929645
Nantong,2.721906
Xuzhou,2.696852
Huai'an,2.650583
Shamen,2.632865
Jinan,2.622992
Wuhu,2.622992
Wuhan,2.604843
Ma'anshan,2.592192
Guangzhou,2.576927
Taizhou,2.552213
Chuzhou,2.543076
Xi'an,2.469384
Shenzhen,2.459930
Yancheng,2.445744
Hong Kong,2.442698
Jiaxing,2.432653
Chengdou,2.423171
Bangbu,2.413476
Tianjin,2.374114
Qingdao,2.365041
Huangshan,2.339483
Chongqing,2.324544
Lianyungang,2.266597
Ningbo,2.253362
Changsha,2.249668
Zhengzhou,2.220015
Dalian,2.190573
Fuzhou,2.184668
Huzhou,2.181677
Shenyang,2.169439
Xiuqian,2.151844
Kunming,2.150197
Chizhou,2.131507
Sanya,2.126216
Jinhua,2.096396
Zaozhuang,2.094434
Shaoxing,2.092460
Nanchang,2.082393
Taipei,2.082393
Tai'an,2.067713
Xuancheng,2.061195
Jining,2.056769
Harbin,2.045405
Xiuzhou,2.031155
Taiyuan,2.021248
Anqing,2.016162
Lu'an,1.986407
Wenzhou,1.971738
Zhoushan,1.960687
Guiyang,1.959397
Changchun,1.953005
Lanzhou,1.953005
Guilin,1.939732
Shijiazhuang,1.939732
Tongling,1.939732
Datong,1.914720
Haikou,1.907095
Jiujiang,1.907095
Lijiang,1.907095
Nanning,1.903193
Shangrao,1.860304
Rizhao,1.850717
Urumqi,1.850717
Zibo,1.850717
Dezhou,1.845772
Yinchuan,1.845772
Zhangjiajie,1.840718
Fuyang,1.840718
Luoyang,1.830264
Cangzhou,1.830264
Taizhou,1.830264
Taoyuan,1.824851
Yantai,1.824851
Huainan,1.819305
Quanzhou,1.819305
Bozhou,1.819305
Jingdezhen,1.813619
Macau,1.813619
Xining,1.801788
Huanggang,1.795624
Baoding,1.789281
Kaifeng,1.789281
Qinhuangdao,1.782746
Yichang,1.782746
Xinyang,1.776005
Zhuhai,1.776005
Hohhot,1.761841
Nanping,1.761841
Weifang,1.761841
Weihai,1.761841
Weinan,1.761841
Lhasa,1.754382
Shangqiu,1.754382
Langfang,1.746644
Dongguan,1.746644
Huangshi,1.738600
Huaibei,1.730224
Linyi,1.721481
Dandong,1.721481
Jinzhong,1.702739
Xiangxi,1.692641
Nanyang,1.681978
Quzhou,1.681978
Putian,1.670673
Tangshan,1.670673
Lishui,1.658632
Ngawa,1.658632
Xiangyang,1.658632
Jiaozuo,1.645738
Foshan,1.645738
Baotou,1.645738
Anshan,1.645738
Xianyang,1.631843
Zhangzhou,1.631843
Jilin,1.616753
Haixi,1.616753
Kaohsiung,1.616753
Sanmenxia,1.616753
Diqing,1.616753
Shiyan,1.616753
Jingzhou,1.600210
Jiuquan,1.600210
Taichung,1.600210
Zhoukou,1.600210
Leshan,1.581861
Linfen,1.581861
Liuzhou,1.581861
Longyan,1.581861
Luohe,1.581861
Ningde,1.581861
Tongliao,1.581861
Xinxiang,1.581861
Dali,1.581861
Huizhou,1.581861
Huludao,1.581861
Ganzhou,1.581861
Liaocheng,1.561195
Mianyang,1.561195
Dongying,1.561195
Pingxiang,1.561195
Qiqihar,1.561195
Xinyu,1.561195
Xinzhou,1.561195
Chengde,1.561195
Yingtan,1.561195
Binzhou,1.537438
Heze,1.537438
Handan,1.537438
Nantou,1.537438
Jian,1.537438
Deyang,1.537438
Ulanqab,1.537438
Baoji,1.537438
Yueyang,1.537438
Zhuzhou,1.537438
Zhangjiakou,1.519224
Ezhou,1.509328
Changde,1.509328
Nyingchi,1.509328
Qiandongnan,1.509328
Jiangmen,1.509328
Sanming,1.509328
Sansha,1.509328
Beihai,1.509328
Ili(Yili),1.509328
Tianshui,1.509328
Hulunbuir,1.509328
Xishuangbanna,1.509328
Yibin,1.509328
New Taipei,1.508973
Daxinganling,1.474570
Lvliang,1.474570
Haibei,1.474570
Ordos,1.474570
Anshun,1.474570
Qionghai,1.474570
Fushun,1.474570
Shantou,1.474570
Suizhou,1.474570
Hengyang,1.474570
Xianning,1.474570
Xiaogan,1.474570
Xingtai,1.474570
Jinzhou,1.474570
Yanbian,1.474570
Anyang,1.474570
Liangshanzhou,1.474570
Yuncheng,1.474570
Yunfu,1.474570
Chifeng,1.474570
Zhaoqing,1.474570
Zhongshan,1.474570
Changhua,1.474570
Zunyi,1.474570
Liaoyang,1.428214
Luzhou,1.428214
Panjin,1.428214
Pingdingshan,1.428214
Pingdong,1.428214
Huaihua,1.428214
Qingyang,1.428214
Dingxi,1.428214
Garze,1.428214
Hinggan,1.428214
Shaoguan,1.428214
Ankang,1.428214
Hualien,1.428214
Taidong,1.428214
Chongzuo,1.428214
Changzhi,1.428214
Turpan,1.428214
Jinchang,1.428214
Wanning,1.428214
Xiangtan,1.428214
Hsinchu,1.428214
Laiwu,1.428214
Miaoli,1.428214
Nagqu,1.428214
Xuchang,1.428214
Baishan,1.428214
Yan'an,1.428214
Alty,1.428214
Enshi,1.428214
Yichun,1.428214
Yiyang,1.428214
Yunlin,1.428214
Gannan,1.428214
Zhanjiang,1.428214
Zhongwei,1.428214
Jiamusi,1.428214
Jixi,1.428214
Zigong,1.428214
Ziyang,1.428214
Jieyang,1.392448
Heyuan,1.355373
Shanwei,1.355373
Dingan,1.355373
Chaozhou,1.355373
Benxi,1.355373
Shuozhou,1.355373
Siping,1.355373
Songyuan,1.355373
Suining,1.355373
Meishan,1.355373
Alxa,1.355373
Bayingolin,1.355373
Changji,1.355373
Daqing,1.355373
Ledong,1.355373
Liupanshui,1.355373
Tieling,1.355373
Puyang,1.355373
Tongren,1.355373
Fuxin,1.355373
Weicu,1.355373
Heihe,1.355373
Hengshui,1.355373
Wenchang,1.355373
Dazhou,1.355373
Wuhai,1.355373
Baoshan,1.355373
Wuwei,1.355373
Bazhong,1.355373
Qianxinan,1.355373
Chiayi,1.355373
Mudanjiang,1.355373
Haidong,1.355373
Honghe,1.355373
Keramay,1.355373
Jiayuguan,1.355373
Qinzhou,1.355373
Hanzhong,1.355373
Yichun,1.355373
Fuzhou,1.355373
Baicheng,1.355373
Baise,1.355373
Zhangye,1.355373
Chaoyang,1.355373
Jincheng,1.355373
Baiyin,1.355373
Zhaotong,1.355373
Lingshui,1.355373
Hebi,1.355373
Loudi,1.355373
Qingyuan,1.333913
Hezhou,1.322836
Suihua,1.318756
Handan,1.311000
Ya'an,1.299639
Yingkou,1.295077
Xilingol,1.295043
Tainan,1.293465
Nanchong,1.269350
Yuxi,1.259249
Keelung,1.256159
Yulin,1.252899
Shangluo,1.246729
Neijiang,1.246482
Yangjiang,1.245886
Yilan,1.241918
Yangquan,1.238700
Qiannan,1.234581
Shizuishan,1.234476
Guang'an,1.234475
Qujing,1.228011
Penghu,1.225610
Kashgar,1.222597
Kinmen,1.217667
Tongchuan,1.211525
Shannan,1.208670
Guangyuan,1.198635
Chenzhou,1.198285
Meizhou,1.196183
Shaoyang,1.189829
Bayannur,1.186348
Zhumadian,1.182585
Wuzhong,1.181445
Fangchenggang,1.181041
Maoming,1.172463
Wuzhou,1.155416
Dehong,1.155185
Linxia,1.153876
Pu'er,1.150085
Tonghua,1.147678
Guigang,1.147572
Yongzhou,1.144661
Panzhihua,1.143058
Yulin,1.141024
Danzhou,1.135335
Hechi,1.132567
Baoting,1.128090
Wenshan,1.119871
Jiyuan,1.119725
Bijie,1.115456
Lincang,1.112882
Hotan,1.112882
Liaoyuan,1.112882
Laibin,1.112178
Kumul(Hami),1.110902
Qamdo,1.109962
Chengmai,1.107655
Bortala,1.107063
Aksu,1.107063
Pingliang,1.103180
Huangnan,1.095757
Wuzhishan,1.086634
Shuangyashan,1.086273
Guyuan,1.085953
Qitaihe,1.083741
Hegang,1.077786
Tacheng,1.074634
Ngari,1.070766
Golog,1.068152
Dongfang,1.043615
Longnan,1.041153
Nujiang,1.034372
Yushuzhou,1.024453
Changjiang,1.022426
Kezilsu,0.977797
Qiongzhong,0.960421
