city,distance
Shanghai,4.835676
Beijing,3.935421
Guangzhou,3.781208
Beihai,3.583857
Liuzhou,3.520333
Chongzuo,3.499486
Guilin,3.467434
Qinzhou,3.233951
Baise,3.154189
Fangchenggang,3.112571
Shenzhen,3.006876
Guigang,2.890404
Wuhan,2.856907
Yulin,2.849222
Hezhou,2.813434
Wuzhou,2.784097
Hechi,2.762234
Changsha,2.748719
Kunming,2.696270
Chengdou,2.691252
Hangzhou,2.686188
Laibin,2.675918
Shamen,2.632779
Guiyang,2.579596
Chongqing,2.533956
Nanjing,2.527072
Haikou,2.512999
Hong Kong,2.468039
Xi'an,2.468039
Fuzhou,2.381279
Nanchang,2.371546
Zhuhai,2.371546
Suzhou,2.361576
Taipei,2.295896
Haixi,2.283782
Jinhua,2.283782
Tianjin,2.271265
Sanya,2.185453
Zhanjiang,2.185453
Foshan,2.168846
Huizhou,2.168846
Zhengzhou,2.168846
Dongguan,2.132909
Taiyuan,2.113323
Wuxi,2.113323
Harbin,2.070024
Zhaoqing,2.070024
Hefei,2.045802
Qingdao,2.045802
Xiangxi,2.045802
Jiaxing,2.026038
Lijiang,2.019387
Macau,2.019387
Ningbo,2.019387
Quanzhou,2.019387
Dali,1.990252
Nanping,1.957647
Qiandongnan,1.957647
Shenyang,1.957647
Shijiazhuang,1.957647
Urumqi,1.957647
Xining,1.957647
Anshun,1.920437
Honghe,1.920437
Huaihua,1.920437
Lanzhou,1.920437
Maoming,1.920437
Qiannan,1.920437
Yongzhou,1.920437
Zhongshan,1.920437
Zhuzhou,1.920437
Changzhou,1.919690
Changchun,1.876776
Jinan,1.876776
Jingdezhen,1.876776
Shaoxing,1.876776
Shizuishan,1.876776
Zhenjiang,1.876776
Hengyang,1.823334
Hohhot,1.823334
Dalian,1.823334
Jieyang,1.823334
Lhasa,1.823334
Mianyang,1.823334
Ningde,1.823334
Pingxiang,1.823334
Dezhou,1.823334
Ganzhou,1.823334
Taizhou,1.823334
Wenzhou,1.823334
Xinyang,1.823334
Yantai,1.823334
Yichun,1.823334
Zhoushan,1.823334
Nantong,1.801794
Huzhou,1.758001
Huangshan,1.752979
Jiangmen,1.752979
Kaohsiung,1.752979
Enshi,1.752979
Meishan,1.752979
Nanchong,1.752979
Qujing,1.752979
Shangrao,1.752979
Shantou,1.752979
Ulanqab,1.752979
Xiangyang,1.752979
Xishuangbanna,1.752979
Xuzhou,1.752979
Yangjiang,1.752979
Yichang,1.752979
Yilan,1.752979
Yunlin,1.752979
Zhangjiajie,1.752979
Zunyi,1.752979
Langfang,1.707758
Yangzhou,1.703287
Baoding,1.667581
Qinhuangdao,1.661608
Huludao,1.644504
Hulunbuir,1.644504
Jian,1.644504
Jiaozuo,1.644504
Guangyuan,1.644504
Fuzhou,1.644504
