city,distance
Shanghai,5.559801
Fuzhou,4.455284
Shamen,4.160760
Beijing,3.606848
Zhangzhou,3.327494
Sanming,3.296632
Quzhou,2.902343
Hangzhou,2.891868
Jinhua,2.859403
Shangrao,2.789043
Longyan,2.633208
Nanjing,2.633208
Quanzhou,2.616582
Ningde,2.599405
Nanchang,2.581631
Yingtan,2.524139
Suzhou,2.476823
Jiaxing,2.458725
Shaoxing,2.409156
Guangzhou,2.382048
Jinan,2.382048
Fuzhou,2.321799
Wuxi,2.321799
Putian,2.287834
Wuhan,2.287834
Chongqing,2.250511
Changsha,2.208910
Hong Kong,2.208910
Nanning,2.208910
Ningbo,2.208910
Qingdao,2.208910
Shenzhen,2.208910
Tianjin,2.208910
Xi'an,2.208910
Dongguan,2.161650
Hefei,2.161650
Jiujiang,2.161650
Taizhou,2.161650
Chengdou,2.106490
Shantou,2.106490
Shenyang,2.106490
Wenzhou,2.106490
Fuyang,2.039398
Harbin,2.039398
Huangshan,2.039398
Liaocheng,2.039398
Lishui,2.039398
Shangqiu,2.039398
Zhoushan,2.039398
Changzhou,2.024358
Dalian,1.951783
Huizhou,1.951783
Huzhou,1.951783
Jingdezhen,1.951783
Jiuquan,1.951783
Cangzhou,1.951783
Sanya,1.951783
Taiyuan,1.951783
Zhenjiang,1.951783
Zhuzhou,1.951783
Nantong,1.893693
Foshan,1.818245
Guilin,1.818245
Guiyang,1.818245
Handan,1.818245
Jieyang,1.818245
Jingzhou,1.818245
Dali,1.818245
Datong,1.818245
Kinmen,1.818245
Kunming,1.818245
Langfang,1.818245
Chizhou,1.818245
Ma'anshan,1.818245
Maoming,1.818245
Nyingchi,1.818245
Pingxiang,1.818245
Qamdo,1.818245
Rizhao,1.818245
Chaozhou,1.818245
Tongling,1.818245
Xianning,1.818245
Xinxiang,1.818245
Xinyu,1.818245
Xuancheng,1.818245
Yan'an,1.818245
Yangzhou,1.818245
Yichun,1.818245
Yinchuan,1.818245
Yueyang,1.818245
Anqing,1.818245
Chuzhou,1.818245
Zhuhai,1.818245
Dezhou,1.818245
Zibo,1.818245
Taipei,1.776852
Taizhou,1.669181
Macau,1.664017
Zhengzhou,1.659930
Yancheng,1.611771
Baoding,1.605603
Shijiazhuang,1.601516
Qinhuangdao,1.600065
Changchun,1.595446
Lijiang,1.593049
Taoyuan,1.578300
Xuzhou,1.571880
Yantai,1.566220
Urumqi,1.562531
Haikou,1.557297
Lanzhou,1.554102
Lianyungang,1.552122
Zhangjiajie,1.548004
Tangshan,1.531973
