city,distance
Shanghai,6.900140
Suzhou,4.077958
Nanjing,3.417528
Yancheng,2.995447
Wuxi,2.941330
Beijing,2.849755
Taizhou,2.760859
Changzhou,2.684648
Hangzhou,2.665784
Jiaxing,2.528198
Yangzhou,2.486148
Lianyungang,2.430612
Ningbo,2.282552
Hong Kong,2.262022
Zhenjiang,2.259401
Shamen,2.239770
Huzhou,2.191195
Qingdao,2.185353
Huai'an,2.134536
Guangzhou,2.086719
Zhoushan,2.050064
Chengdou,2.031152
Rizhao,2.029189
Tianjin,2.029189
Xuzhou,2.029189
Wuhan,2.009056
Shenzhen,1.987501
Jinan,1.975837
Sanya,1.966575
Hefei,1.963797
Shenyang,1.963797
Shaoxing,1.951187
Xi'an,1.937939
Jinhua,1.923974
Changsha,1.909196
Taipei,1.894459
Dalian,1.893488
Chongqing,1.886770
Huangshan,1.876702
Wenzhou,1.876702
Xiuqian,1.876702
Nanchang,1.858655
Kunming,1.827693
Fuzhou,1.794088
Chuzhou,1.767551
Guilin,1.767551
Changchun,1.767551
Shangrao,1.767551
Taizhou,1.767551
Zhangjiakou,1.767551
Macau,1.766730
Zhengzhou,1.762124
Harbin,1.754575
Linyi,1.737160
Lishui,1.737160
Taiyuan,1.737160
Xuancheng,1.737160
Dongguan,1.701357
Foshan,1.701357
Chizhou,1.701357
Qinhuangdao,1.701357
Tai'an,1.701357
Urumqi,1.701357
Yantai,1.701357
Zhuhai,1.701357
Zibo,1.701357
Lijiang,1.686941
Taoyuan,1.670411
Guiyang,1.659800
Haikou,1.657321
Hohhot,1.657321
Jingdezhen,1.657321
Jiujiang,1.657321
Luohe,1.657321
Quanzhou,1.657321
Quzhou,1.657321
Taichung,1.657321
Weifang,1.657321
Weihai,1.657321
Lanzhou,1.643331
Nanning,1.639506
Zhangjiajie,1.636514
Wuhu,1.617098
Shijiazhuang,1.615867
Hengshui,1.598990
Hulunbuir,1.598990
Jining,1.598990
Jinzhong,1.598990
Fuyang,1.598990
Lhasa,1.598990
Longyan,1.598990
Luoyang,1.598990
Ma'anshan,1.598990
Ngawa,1.598990
Dezhou,1.598990
Alty,1.598990
Anqing,1.598990
Xiangyang,1.598990
Xishuangbanna,1.598990
Yinchuan,1.598990
Yueyang,1.598990
Zhaoqing,1.598990
Nanping,1.559791
Bangbu,1.524796
Xining,1.520386
Beihai,1.520199
Yichang,1.511553
Yingtan,1.509962
Huainan,1.508242
Chaozhou,1.508242
Huangshi,1.508242
Jiangmen,1.508242
Deyang,1.508242
Leshan,1.508242
Liangshanzhou,1.508242
Liaocheng,1.508242
Handan,1.508242
Baicheng,1.508242
Anyang,1.508242
Neijiang,1.508242
Pingdong,1.508242
Qiannan,1.508242
Baotou,1.508242
Qionghai,1.508242
Fuzhou,1.508242
Shangqiu,1.508242
Siping,1.508242
Tianshui,1.508242
Chengde,1.508242
Xiangtan,1.508242
Xingtai,1.508242
Xinxiang,1.508242
Xiuzhou,1.508242
Baishan,1.508242
Zaozhuang,1.508242
Zhanjiang,1.508242
Zhongshan,1.508242
Dongying,1.508242
Kaohsiung,1.508151
Jian,1.479374
Dali,1.473833
Langfang,1.465485
Liuzhou,1.465087
Xiangxi,1.464264
Diqing,1.463988
Ningde,1.455164
Mianyang,1.453686
New Taipei,1.444145
Jieyang,1.436938
Baoding,1.435799
Jiuquan,1.427883
Yanbian,1.424227
Datong,1.414610
Lu'an,1.409310
Shantou,1.409310
Tangshan,1.408893
Zhuzhou,1.404213
Kaifeng,1.401143
Baoji,1.401143
Tongling,1.397539
Ganzhou,1.394766
Ordos,1.391930
Jinzhou,1.390488
Garze,1.383523
Jilin,1.380936
Yichun,1.375044
Nantou,1.372828
Shaoguan,1.371139
Zhangzhou,1.365924
Hezhou,1.362925
Wanning,1.361704
Panjin,1.359223
Suihua,1.358594
Haixi,1.357962
Baoshan,1.357327
Huizhou,1.353441
Huaibei,1.351448
Xinzhou,1.350776
Changde,1.347357
Xianyang,1.344547
Hualien,1.343116
Xinyu,1.341667
Sanming,1.340935
Putian,1.337961
Cangzhou,1.336444
Shiyan,1.332561
Tainan,1.331768
Daqing,1.329355
Anshan,1.326889
Jiaozuo,1.326889
Pingxiang,1.324368
Mudanjiang,1.320033
Yuncheng,1.320033
Yunlin,1.317349
Dandong,1.316439
Qiandongnan,1.311774
Qingyuan,1.308876
Chiayi,1.304888
Yibin,1.299685
Hengyang,1.298613
Weinan,1.295332
Huanggang,1.293087
Qiqihar,1.289626
Bozhou,1.286048
Weicu,1.284828
Xinyang,1.283593
Xiuzhou,1.282914
Nyingchi,1.282343
Anshun,1.282343
Nanyang,1.281078
Jingzhou,1.281078
Jiayuguan,1.279798
Yilan,1.277188
Chifeng,1.273144
Hsinchu,1.268933
Chongzuo,1.267490
Luzhou,1.261501
Sansha,1.259947
Penghu,1.259947
Yingkou,1.259947
Ya'an,1.258367
Kashgar,1.256763
Ili(Yili),1.255132
Keelung,1.255132
Shuozhou,1.253473
Yan'an,1.253473
Zunyi,1.253473
Fushun,1.251786
Sanmenxia,1.250070
Huludao,1.245227
Huaihua,1.244733
Taidong,1.241006
Turpan,1.241006
Binzhou,1.239087
Nagqu,1.237128
Kinmen,1.235130
Benxi,1.233088
Linfen,1.233088
Yichun,1.231002
Meizhou,1.228868
Tongliao,1.228868
Nanchong,1.228868
Chenzhou,1.226686
Keramay,1.226686
Bayingolin,1.226686
Shaoyang,1.222163
Ezhou,1.222163
Jiamusi,1.222163
Shannan,1.219817
Xianning,1.219817
Zhongwei,1.219817
Laiwu,1.219817
Enshi,1.217411
Loudi,1.217411
Haibei,1.214940
Zhangye,1.214940
Jingmen,1.209790
Heze,1.207103
Qinzhou,1.201477
Liaoyang,1.201477
Fangchenggang,1.201477
Yulin,1.201477
Gannan,1.201477
Daxinganling,1.198526
Ulanqab,1.198526
Honghe,1.198526
Zhoukou,1.198526
Tieling,1.195476
Meishan,1.195476
Xiaogan,1.192317
Xuchang,1.192317
Yiyang,1.192317
Heyuan,1.192317
Baise,1.189041
Dazhou,1.189041
Pingdingshan,1.189041
Zhumadian,1.189041
Qujing,1.185639
Bayannur,1.185639
Dehong,1.185639
Xilingol,1.182100
Yuxi,1.182100
Jincheng,1.182100
Pu'er,1.178410
Ankang,1.178410
Yangjiang,1.178410
Zigong,1.178410
Chaoyang,1.174556
Yongzhou,1.174556
Miaoli,1.174556
Lingshui,1.174556
Wuzhou,1.170521
Suizhou,1.170521
Changji,1.168120
Changhua,1.167120
Hanzhong,1.166285
Shizuishan,1.166285
Hechi,1.161825
Suining,1.161825
Puyang,1.157115
Heihe,1.157115
Baoting,1.157115
Hinggan,1.146806
Jiyuan,1.146806
Jixi,1.146806
Fuxin,1.146806
Liaoyuan,1.141120
Wenchang,1.141120
Songyuan,1.141120
Lincang,1.141120
Hotan,1.141120
Wuwei,1.135002
Alxa,1.135002
Yangquan,1.135002
Lvliang,1.135002
Yulin,1.135002
Haidong,1.135002
Aksu,1.135002
Bortala,1.135002
Hebi,1.135002
Jinchang,1.128376
Wuhai,1.128376
Qianxinan,1.128376
Baiyin,1.128376
Dingxi,1.121140
Danzhou,1.121140
Shangluo,1.121140
Panzhihua,1.121140
Ziyang,1.114947
Kumul(Hami),1.113160
Shanwei,1.113160
Tongren,1.113160
Shuangyashan,1.113160
Maoming,1.104250
Bijie,1.104250
Guigang,1.104250
Hegang,1.104250
Guang'an,1.104250
Tonghua,1.104250
Guangyuan,1.094174
Wenshan,1.094139
Golog,1.094139
Pingliang,1.094139
Liupanshui,1.082417
Zhaotong,1.082417
Wuzhong,1.075226
Dongfang,1.068408
Linxia,1.068408
Bazhong,1.068408
Qitaihe,1.068408
Tongchuan,1.068408
Ngari,1.068408
Laibin,1.068408
Yunfu,1.050873
Guyuan,1.050873
Huangnan,1.050873
Dingan,1.050873
Qamdo,1.045669
Wuzhishan,1.043349
Ledong,1.027827
Yushuzhou,1.027115
Qingyang,1.027115
Chengmai,1.027115
Nujiang,1.027115
Longnan,1.027115
Tacheng,1.022511
Kezilsu,1.012493
Changjiang,0.988895
Qiongzhong,0.892670
