city,distance
Urumqi,6.356520
Keramay,4.186779
Shanghai,3.946833
Ili(Yili),3.645589
Turpan,3.318619
Changji,3.194808
Beijing,3.149265
Bortala,2.667633
Tacheng,2.617026
Bayingolin,2.424284
Xi'an,2.424284
Shenzhen,2.335847
Chengdou,2.221622
Chongqing,2.221622
Hangzhou,2.221622
Jiuquan,2.221622
Lanzhou,2.221622
Nanjing,2.221622
Nantong,2.221622
Qingdao,2.221622
Shamen,2.221622
Suzhou,2.095346
Kashgar,2.068031
Guangzhou,2.050229
Hong Kong,2.050229
Macau,2.050229
Anyang,2.050229
Tangshan,2.050229
Aksu,2.050229
Xining,2.050229
Zhangzhou,2.050229
Zhengzhou,2.050229
Zigong,2.050229
Yinchuan,1.939787
Kumul(Hami),1.933647
Shijiazhuang,1.914290
Jiaxing,1.851352
Tianjin,1.823103
Wuxi,1.820460
Hotan,1.809580
Wuhan,1.806067
Ganzhou,1.799792
Taiyuan,1.767399
Changzhou,1.762149
Ningbo,1.761167
Changsha,1.730352
Sanya,1.703171
Hohhot,1.684823
Zhoushan,1.677198
Haixi,1.671520
Kunming,1.671520
Shenyang,1.664494
Jinan,1.649576
Huzhou,1.624961
Dalian,1.605666
Shaoxing,1.599212
Harbin,1.584377
Yangzhou,1.578105
Haikou,1.572607
Luoyang,1.572607
Taipei,1.571590
Guiyang,1.559915
Jiayuguan,1.559915
Jinhua,1.555592
Zhongshan,1.552498
Langfang,1.540844
Zhenjiang,1.532441
Lhasa,1.530985
Changchun,1.530985
Huangshan,1.518479
Hefei,1.516649
Gannan,1.514180
Guilin,1.514180
Wenzhou,1.511906
Baoding,1.508061
Qinhuangdao,1.503175
Jinchang,1.495234
Nanning,1.495234
Taizhou,1.495234
Taizhou,1.486765
Fuzhou,1.474166
Dongguan,1.473428
Baotou,1.473428
Shangqiu,1.473428
Xishuangbanna,1.473428
Baoji,1.473428
Zhangye,1.473428
Zhuhai,1.473428
Xianyang,1.471003
Nanchang,1.457804
Kezilsu,1.447590
Mudanjiang,1.447590
Tai'an,1.447590
Cangzhou,1.447590
Wuzhong,1.447590
Zhongwei,1.447590
Yancheng,1.441046
Weinan,1.433585
Lijiang,1.426061
Zhangjiakou,1.421308
Hulunbuir,1.420932
Changzhi,1.420932
Wuhu,1.420932
Dongying,1.420932
Linyi,1.415587
Ordos,1.415587
Foshan,1.415587
Xuzhou,1.415587
Yichang,1.415587
Haibei,1.415587
Taoyuan,1.414230
Chengde,1.409337
Shangrao,1.404641
Yantai,1.404524
Lianyungang,1.393176
Zhangjiajie,1.389858
Leshan,1.389007
Ngawa,1.386378
Jinzhou,1.372812
Luzhou,1.372812
Mianyang,1.372812
Nanyang,1.372812
Diqing,1.372812
Yanbian,1.372812
Yibin,1.372812
Yueyang,1.372812
Yuncheng,1.372812
Zhaoqing,1.372812
Zibo,1.372812
Xuancheng,1.368429
Yan'an,1.353722
Quanzhou,1.352808
Xinxiang,1.352067
Longyan,1.341085
Neijiang,1.337846
Weifang,1.337601
Huai'an,1.334231
Nanping,1.334126
Chizhou,1.333596
Handan,1.321818
Datong,1.318845
Kaifeng,1.316439
Quzhou,1.316160
Jiujiang,1.315662
Liangshanzhou,1.314430
Hengyang,1.314430
Weihai,1.311724
Shuangyashan,1.310892
Lishui,1.309897
Tianshui,1.309818
Xiangtan,1.309818
Huizhou,1.308854
Bangbu,1.308440
Dandong,1.305380
Keelung,1.305380
Jincheng,1.305380
Huludao,1.305380
Meizhou,1.305380
Hanzhong,1.305380
Jingdezhen,1.305380
Ngari,1.305380
Jining,1.305380
Panjin,1.305380
Pingdingshan,1.305380
Rizhao,1.305380
Sanmenxia,1.305380
Beihai,1.305380
Ankang,1.305380
Chifeng,1.305380
Benxi,1.305380
Suining,1.305380
Taichung,1.305380
Dingxi,1.305380
Alxa,1.305380
Kaohsiung,1.305380
Wuwei,1.305380
Xiuqian,1.305380
Jieyang,1.305380
Jilin,1.305380
Jiamusi,1.305380
Deyang,1.305380
Jian,1.305380
Jingzhou,1.305380
Yulin,1.305380
Jiaozuo,1.305380
Yunfu,1.305380
Yushuzhou,1.305380
Haidong,1.305380
Hinggan,1.305380
Zhoukou,1.305380
Zhumadian,1.305380
Zhuzhou,1.305380
Chuzhou,1.298531
Yingtan,1.297502
Jinzhong,1.289521
Dezhou,1.282227
Ma'anshan,1.275947
Shizuishan,1.275833
Dali,1.270735
Xinzhou,1.267520
Anqing,1.266842
Liuzhou,1.264228
Xiangxi,1.263615
Ningde,1.256833
Zaozhuang,1.256833
Ziyang,1.252681
New Taipei,1.248604
Garze,1.247000
Linxia,1.242646
Hengshui,1.239340
Ya'an,1.239336
Shangluo,1.235129
Xingtai,1.230071
Baiyin,1.225539
Hebi,1.224229
Xilingol,1.223209
Shantou,1.222478
Lu'an,1.222478
Luohe,1.218000
Qiqihar,1.215200
Xiangyang,1.214640
Tongling,1.213612
Nanchong,1.211763
Meishan,1.205736
Fushun,1.205271
Guang'an,1.204833
Jiangmen,1.202797
Daqing,1.202510
Anshan,1.201705
Tongchuan,1.200568
Yichun,1.196612
Puyang,1.196292
Nantou,1.194934
Nagqu,1.193992
Shaoguan,1.193654
Pingdong,1.193654
Zhanjiang,1.193223
Zunyi,1.191674
Yingkou,1.189145
Ulanqab,1.188209
Hezhou,1.187424
Dazhou,1.186661
Wanning,1.186497
Suihua,1.184135
Baoshan,1.183172
Huangnan,1.182932
Fuyang,1.181708
Xuchang,1.179274
Huaibei,1.178703
Qingyuan,1.177350
Huainan,1.175590
Changde,1.175590
Binzhou,1.175039
Yangquan,1.172822
Xiuzhou,1.172360
Hualien,1.172360
Xinyu,1.171255
Sanming,1.170698
Liaocheng,1.169967
Putian,1.168430
Qionghai,1.166100
Shiyan,1.164310
Tainan,1.163705
Pingxiang,1.158050
Xinyang,1.154739
Yunlin,1.152680
Heyuan,1.151589
Qiandongnan,1.148410
Chaoyang,1.147467
Guangyuan,1.147156
Tongliao,1.144367
Chiayi,1.143128
Qingyang,1.142752
Shuozhou,1.141962
Fuzhou,1.141554
Xianning,1.139868
Heze,1.138639
Chaozhou,1.137923
Nyingchi,1.137607
Pingliang,1.134384
Huanggang,1.134061
Huangshi,1.134061
Enshi,1.132872
Shanwei,1.130764
Panzhihua,1.129103
Bozhou,1.128644
Weicu,1.127704
Siping,1.126775
Anshun,1.125790
Bayannur,1.125784
Lvliang,1.124780
Tieling,1.122734
Yilan,1.121814
Baishan,1.121690
Kinmen,1.121643
Linfen,1.120632
Guyuan,1.117828
Hsinchu,1.115441
Chongzuo,1.114325
Longnan,1.112888
Wuhai,1.111400
Zhaotong,1.109537
Penghu,1.108491
Sansha,1.108491
Yangjiang,1.108239
Fuxin,1.106653
Tongren,1.105310
Xiaogan,1.104753
Shannan,1.098263
Huaihua,1.096698
Dehong,1.094161
Taidong,1.093803
Liaoyang,1.092634
Tonghua,1.089481
Jiyuan,1.086362
Loudi,1.086186
Daxinganling,1.086186
Yichun,1.086024
Laiwu,1.083017
Chenzhou,1.082664
Qiannan,1.080923
Shaoyang,1.079139
Ezhou,1.079139
Yongzhou,1.079108
Yuxi,1.078390
Jingmen,1.069481
Pu'er,1.067351
Yiyang,1.065591
Bazhong,1.063396
Fangchenggang,1.062979
Qinzhou,1.062979
Honghe,1.060669
Qujing,1.055399
Baise,1.053234
Songyuan,1.052274
Maoming,1.049762
Jixi,1.049485
Baicheng,1.046576
Wenchang,1.044277
Lingshui,1.041853
Miaoli,1.041853
Suizhou,1.038676
Wuzhou,1.038676
Heihe,1.033473
Golog,1.032507
Hechi,1.031824
Baoting,1.028107
Qianxinan,1.021572
Bijie,1.017058
Qamdo,1.016151
Liaoyuan,1.015460
Lincang,1.015460
Changhua,1.010613
Yulin,1.010613
Danzhou,1.007734
Guigang,1.001156
Hegang,0.994788
Chengmai,0.985865
Qitaihe,0.979569
Liupanshui,0.978229
Wenshan,0.978087
Dingan,0.976982
Wuzhishan,0.964233
Laibin,0.959237
Dongfang,0.957474
Ledong,0.955018
Nujiang,0.925500
Changjiang,0.917772
Qiongzhong,0.867500
