city,distance
Urumqi,5.889797
Ili(Yili),4.311261
Shanghai,3.751462
Turpan,3.751462
Aksu,3.730645
Beijing,3.474086
Hotan,3.092671
Xi'an,2.962191
Kashgar,2.801507
Chengdou,2.665126
Haixi,2.581775
Alty,2.581775
Changji,2.481711
Yinchuan,2.481711
Chongqing,2.353167
Jinan,2.353167
Jiuquan,2.353167
Changsha,2.283241
Cangzhou,2.161751
Guangzhou,2.161751
Guiyang,2.161751
Harbin,2.161751
Hefei,2.161751
Huizhou,2.161751
Keramay,2.161751
Kezilsu,2.161751
Kumul(Hami),2.161751
Kunming,2.161751
Lanzhou,2.161751
Luzhou,2.161751
Nanjing,2.161751
Ningbo,2.161751
Qingyang,2.161751
Sanya,2.161751
Suzhou,2.161751
Taiyuan,2.161751
Tangshan,2.161751
Wuwei,2.161751
Yangzhou,2.161751
Hangzhou,1.960323
Ganzhou,1.948306
Bortala,1.909715
Tianjin,1.879787
Shijiazhuang,1.869672
Jiaxing,1.807205
Tacheng,1.785703
Wuxi,1.777756
Hong Kong,1.773929
Zhengzhou,1.769658
Wuhan,1.766298
Shamen,1.753409
Xining,1.742784
Changzhou,1.722107
Shenzhen,1.656220
Xianyang,1.653156
Hohhot,1.650163
Zhoushan,1.640884
Shenyang,1.630657
Nantong,1.626628
Langfang,1.614710
Qingdao,1.608705
Weinan,1.606046
Baoji,1.602489
Lhasa,1.595711
Huzhou,1.590851
Jiayuguan,1.587695
Nagqu,1.582374
Baoding,1.578746
Dalian,1.574156
Qinhuangdao,1.573392
Shaoxing,1.566163
Leshan,1.550306
Ngawa,1.547032
Haikou,1.542370
Luoyang,1.542370
Taipei,1.539662
Jinhua,1.524304
Yan'an,1.506480
Changchun,1.502312
Zhenjiang,1.502069
Zhongwei,1.498993
Shizuishan,1.489804
Huangshan,1.488652
Guilin,1.486127
Gannan,1.486127
Zhangjiakou,1.483925
Wenzhou,1.482334
Chengde,1.470881
Diqing,1.469121
Xuzhou,1.469121
Zibo,1.469121
Jinchang,1.467872
Nanning,1.467872
Taizhou,1.467872
Tai'an,1.463095
Zhuhai,1.463095
Taizhou,1.458159
Macau,1.454216
Dongguan,1.446852
Fuzhou,1.446852
Baotou,1.446852
Shangqiu,1.446852
Xishuangbanna,1.446852
Zhangye,1.446852
Deyang,1.438223
Jinzhong,1.432718
Nanchang,1.430291
Lijiang,1.429025
Hanzhong,1.422958
