city,distance
Taichung,4.904448
Taipei,4.687064
Chiayi,3.952216
Kaohsiung,3.860483
Shanghai,3.710263
Taoyuan,3.697951
Tainan,3.348333
Changhua,3.325303
New Taipei,3.145184
Hsinchu,2.922490
Yunlin,2.902889
Pingdong,2.892870
Beijing,2.851187
Miaoli,2.851187
Hualien,2.758508
Hong Kong,2.632946
Taidong,2.600603
Yilan,2.444611
Hangzhou,2.309209
Guangzhou,2.197512
Nanjing,2.150733
Tianjin,2.150733
Keelung,2.096121
Suzhou,2.096121
Chengdou,2.029678
Chongqing,1.942878
Dongguan,1.942878
Kinmen,1.942878
Quanzhou,1.942878
Shenzhen,1.942878
Zhengzhou,1.942878
Changsha,1.810515
Fuzhou,1.810515
Lanzhou,1.810515
Liangshanzhou,1.810515
Macau,1.810515
Ningbo,1.810515
Quzhou,1.810515
Shamen,1.810515
Shenyang,1.810515
Shijiazhuang,1.810515
Benxi,1.810515
Wuhan,1.810515
Wuxi,1.810515
Zhangzhou,1.810515
Jiaxing,1.797589
Changzhou,1.713374
Zhoushan,1.632952
Nantong,1.618833
Huzhou,1.583395
Sanya,1.579538
Qingdao,1.571215
Shaoxing,1.558936
Xi'an,1.547307
Yangzhou,1.538873
Jinhua,1.517458
Zhenjiang,1.495420
Penghu,1.491299
Kunming,1.488680
Dalian,1.488587
Huangshan,1.482121
Hefei,1.480378
Wenzhou,1.475859
Langfang,1.465863
Taizhou,1.451892
Jinan,1.443249
Harbin,1.439809
Guilin,1.436889
Baoding,1.436163
Qinhuangdao,1.431731
Foshan,1.428365
Taizhou,1.426666
Nanchang,1.424261
Huai'an,1.420634
Yancheng,1.408261
Changchun,1.395782
Lijiang,1.393948
Taiyuan,1.389697
Zhongshan,1.388313
Ningde,1.380735
Zhuhai,1.380334
Xuzhou,1.377712
Tangshan,1.376967
Guiyang,1.375364
Shangrao,1.373474
Yantai,1.373362
Urumqi,1.370525
Haikou,1.366496
Lianyungang,1.362511
Nanning,1.361400
Zhangjiajie,1.359336
Zhangjiakou,1.357268
Chengde,1.346347
Wuhu,1.345913
Chaozhou,1.344357
Xuancheng,1.338832
Changde,1.323327
Hohhot,1.320903
Jilin,1.319387
Luoyang,1.319387
Leshan,1.311465
Xiuqian,1.309670
