city,distance
Zhengzhou,4.519856
Shanghai,3.956910
Xiangyang,3.882180
Beijing,3.762024
Pingdingshan,3.660261
Xi'an,3.425539
Luoyang,3.367689
Wuhan,3.327123
Chongqing,3.063250
Dalian,3.034408
Xinyang,3.004404
Nanjing,2.940366
Guangzhou,2.831372
Tongliao,2.831372
Chengdou,2.746654
Hefei,2.746654
Yichang,2.746654
Changzhi,2.699249
Shiyan,2.699249
Tianjin,2.699249
Changsha,2.647446
Changde,2.590064
Luohe,2.590064
Shangluo,2.590064
Shenzhen,2.590064
Xinxiang,2.590064
Suzhou,2.525326
Guilin,2.450366
Hangzhou,2.450366
Jingmen,2.450366
Kaifeng,2.450366
Shijiazhuang,2.450366
Hanzhong,2.360051
Jiaozuo,2.360051
Quanzhou,2.360051
Taiyuan,2.360051
Wuhu,2.360051
Xuchang,2.360051
Fuzhou,2.243506
Handan,2.243506
Jinan,2.243506
Jinzhou,2.243506
Beihai,2.243506
Leshan,2.243506
Nanchang,2.243506
Rizhao,2.243506
Sanya,2.243506
Suizhou,2.243506
Urumqi,2.243506
Wuxi,2.243506
Yinchuan,2.243506
Zhangjiajie,2.243506
Zhumadian,2.243506
Dazhou,2.068853
Dongying,2.068853
Foshan,2.068853
Guiyang,2.068853
Hengshui,2.068853
Huaihua,2.068853
Huanggang,2.068853
Huangshan,2.068853
Jian,2.068853
Jingzhou,2.068853
Jiujiang,2.068853
Kunming,2.068853
Langfang,2.068853
Lianyungang,2.068853
Lijiang,2.068853
Ankang,2.068853
Puyang,2.068853
Qingdao,2.068853
Shamen,2.068853
Tai'an,2.068853
Turpan,2.068853
Chuzhou,2.068853
Anyang,2.068853
Xuancheng,2.068853
Xuzhou,2.068853
Yancheng,2.068853
Yangzhou,2.068853
Yulin,2.068853
Yuncheng,2.068853
Zhenjiang,2.068853
Zhoukou,2.068853
Zhuzhou,2.068853
Jiaxing,1.853567
Hong Kong,1.818578
Xianyang,1.788140
Changzhou,1.764155
Ningbo,1.763171
Weinan,1.733150
Baoji,1.729009
Shangqiu,1.705316
Shenyang,1.702853
Zhoushan,1.679015
Nantong,1.664091
Sanmenxia,1.647609
Baoding,1.635636
Qinhuangdao,1.629889
Huzhou,1.626667
Yan'an,1.617767
Xianning,1.602140
Shaoxing,1.600864
Hulunbuir,1.597854
Jincheng,1.577653
Chifeng,1.576770
Ngawa,1.574155
Taipei,1.573185
Xiangxi,1.569046
Lanzhou,1.567873
Xiaogan,1.566285
Tangshan,1.559291
Jinhua,1.557155
Harbin,1.554444
Yingkou,1.549891
Hohhot,1.538875
Nanning,1.538087
Zhangjiakou,1.534078
Huangshi,1.531275
Changchun,1.527777
Dongguan,1.524157
Hinggan,1.523881
Chengde,1.520141
Yulin,1.518629
Jinzhong,1.517208
Wenzhou,1.513383
Zhuhai,1.506308
Jiyuan,1.506307
Xining,1.504776
Enshi,1.503122
Taizhou,1.488192
Xiangtan,1.486965
Fuyang,1.485930
Hebi,1.484180
Macau,1.484086
Yantai,1.471349
Anqing,1.469516
Lhasa,1.469400
Taizhou,1.461701
Deyang,1.461636
Xingtai,1.461527
Zhongshan,1.461004
Ezhou,1.456061
Lu'an,1.453169
Haikou,1.450558
Anshan,1.449627
Yueyang,1.446289
Cangzhou,1.445987
Chizhou,1.441615
Mianyang,1.438275
Diqing,1.438138
Huludao,1.437337
Jiangmen,1.435068
Hengyang,1.434009
Liuzhou,1.433862
Yiyang,1.431886
Ordos,1.430026
Bangbu,1.430026
Siping,1.426336
Dandong,1.425192
Tianshui,1.421802
Guang'an,1.415790
Taoyuan,1.415522
Datong,1.415390
Guangyuan,1.415330
Huainan,1.414568
Xinzhou,1.410064
Zhongwei,1.408654
Jiuquan,1.406067
Shangrao,1.405915
Bozhou,1.405614
Tongchuan,1.403762
Linfen,1.401629
Shizuishan,1.400536
Changji,1.400480
Dali,1.399258
Qingyuan,1.398992
Zunyi,1.397655
Garze,1.396878
Heze,1.394464
