city,distance
Chengdou,6.148974
Chongqing,4.280888
Zigong,3.686974
Ziyang,3.549054
Ngawa,3.481913
Luzhou,3.391472
Yibin,3.270636
Shanghai,2.929069
Beijing,2.736794
Xi'an,2.638285
Leshan,2.581295
Kunming,2.442516
Liangshanzhou,2.442516
Mianyang,2.442516
Ya'an,2.442516
Suining,2.352768
Taipei,2.352768
Deyang,2.236923
Lijiang,2.236923
Shaoxing,2.236923
Bazhong,2.063253
Dali,2.063253
Enshi,2.063253
Fuzhou,2.063253
Guang'an,2.063253
Guangyuan,2.063253
Guangzhou,2.063253
Hong Kong,2.063253
Jinan,2.063253
Lanzhou,2.063253
Meishan,2.063253
Nanchong,2.063253
Nanning,2.063253
Nantong,2.063253
Panzhihua,2.063253
Suzhou,2.063253
Taiyuan,2.063253
Yinchuan,2.063253
Zhaotong,2.063253
Zunyi,2.063253
Garze,1.943893
Wuhan,1.899237
Shenzhen,1.877238
Hangzhou,1.871138
Nanjing,1.821079
Lhasa,1.820174
Tianjin,1.814206
Guiyang,1.768287
Shamen,1.761266
Changsha,1.731204
Gannan,1.712569
Urumqi,1.703897
Zhengzhou,1.694150
Ningbo,1.693315
Wuxi,1.688226
Qingdao,1.665403
Dazhou,1.661476
New Taipei,1.646044
Sanya,1.643767
Shenyang,1.640453
Yichang,1.627970
Shijiazhuang,1.626536
Hefei,1.594817
Jiaxing,1.591892
Dalian,1.578004
Nyingchi,1.578004
Nanchang,1.573103
Xining,1.568050
Baoding,1.565548
Guilin,1.551854
Xianyang,1.547150
Haikou,1.544085
Baoji,1.535908
Harbin,1.527272
Taoyuan,1.525873
Changzhou,1.525491
Huangshan,1.518114
Diqing,1.517389
Zhuhai,1.515734
Hohhot,1.513316
Xiangxi,1.511667
Dongying,1.505816
Weinan,1.505812
Dongguan,1.503229
Changchun,1.495181
Wenzhou,1.480684
Hanzhong,1.474445
Huizhou,1.463669
Zhoushan,1.461411
Tongren,1.453069
Baotou,1.450102
Shiyan,1.450102
Zhongshan,1.450102
Luoyang,1.446242
Macau,1.446242
Baoshan,1.446242
Xuzhou,1.442269
Langfang,1.435025
Yangzhou,1.433949
Jinhua,1.425069
Chuzhou,1.425069
Huzhou,1.421591
Weicu,1.421309
Dezhou,1.420827
Xiangyang,1.420393
Yan'an,1.417947
Foshan,1.414902
Zhuzhou,1.405248
Qinhuangdao,1.402298
Beihai,1.399771
Qingyang,1.398712
Taizhou,1.394044
Ankang,1.389084
Jinzhong,1.388778
Liuzhou,1.388039
Ordos,1.388039
Zhangjiajie,1.385418
Xishuangbanna,1.381727
Jiujiang,1.375071
Tianshui,1.375071
Guigang,1.373674
Lu'an,1.372871
Huaihua,1.369540
Taichung,1.367943
