city,distance
Taipei,7.206521
Taoyuan,3.729024
Keelung,3.078264
Shanghai,2.956726
Taichung,2.860687
Yilan,2.799176
Hsinchu,2.762347
Hualien,2.682974
Kaohsiung,2.648660
Hong Kong,2.599980
Beijing,2.463567
Nantou,2.366260
Tainan,2.319013
Pingdong,2.270451
Miaoli,2.265232
Chiayi,2.202234
Suzhou,2.125081
Guangzhou,2.117073
Taidong,2.108856
Changhua,2.100418
Yunlin,2.022810
Chengdou,1.879733
Hangzhou,1.879733
Tianjin,1.879733
Kinmen,1.813719
Shenzhen,1.792534
Macau,1.786603
Dezhou,1.755559
Ningbo,1.755559
Shamen,1.755559
Fuzhou,1.719002
Shenyang,1.719002
Wuxi,1.719002
Xi'an,1.719002
Nanjing,1.718541
Changzhou,1.674060
Chaozhou,1.674060
Chongqing,1.674060
Dongguan,1.674060
Wuhan,1.674060
Dalian,1.614565
Quanzhou,1.614565
Weihai,1.614565
Wuhu,1.614565
Xuzhou,1.614565
Yan'an,1.614565
Yangzhou,1.614565
Zhengzhou,1.614565
Zhuhai,1.614565
Jiaxing,1.600026
Shijiazhuang,1.594629
Hefei,1.591846
Huai'an,1.589014
Penghu,1.570919
Qingdao,1.570919
Changsha,1.550536
Harbin,1.543112
Ningde,1.539262
Hezhou,1.522092
Jinan,1.522092
Jinhua,1.522092
Lijiang,1.522092
Nanning,1.522092
Datong,1.522092
Changchun,1.522092
Tai'an,1.522092
Wenzhou,1.522092
Yancheng,1.522092
Yantai,1.522092
Yiyang,1.522092
Zhaoqing,1.522092
Kunming,1.513877
Zhoushan,1.468263
Nantong,1.456838
Sanya,1.451461
Xiuqian,1.451461
Huzhou,1.428075
Lanzhou,1.409837
Shaoxing,1.408149
Nanchang,1.399627
Foshan,1.393939
Huangshan,1.388511
Kaifeng,1.388511
Zhenjiang,1.388511
Huizhou,1.376292
Taiyuan,1.376292
Dongying,1.362697
Guilin,1.362697
Langfang,1.356160
Haikou,1.347333
Baoding,1.347333
Shantou,1.329602
Qinhuangdao,1.326894
Taizhou,1.320227
Sansha,1.309904
Baotou,1.308526
Guiyang,1.308526
Laiwu,1.308526
Zhongshan,1.308526
Zibo,1.308526
Taizhou,1.299336
Deyang,1.282321
Mianyang,1.282321
Neijiang,1.282321
Daqing,1.282321
Qinzhou,1.282321
Xining,1.282321
Chizhou,1.282321
Yichang,1.282321
