city,distance
Chengdou,6.348184
Shanghai,4.330937
Beijing,3.690481
Chongqing,3.504729
Gannan,3.370186
Mianyang,2.965897
Xi'an,2.827408
Garze,2.782411
Leshan,2.755888
Lanzhou,2.744936
Neijiang,2.496952
Wuhan,2.350537
Qingyang,2.337841
Ya'an,2.282496
Guangzhou,2.267306
Linxia,2.251466
Suzhou,2.234906
Deyang,2.159531
Nanjing,2.159531
Hangzhou,2.137725
Shijiazhuang,2.137725
Jilin,2.114339
Hanzhong,2.089075
Tianjin,2.089075
Longnan,2.061537
Dali,2.031183
Golog,2.031183
Guangyuan,2.031183
Shenzhen,1.997235
Changzhou,1.958519
Hefei,1.958519
Huanggang,1.958519
Huangshan,1.958519
Jiaxing,1.958519
Lijiang,1.958519
Ningbo,1.958519
Xining,1.958519
Yibin,1.958519
Yinchuan,1.958519
Liangshanzhou,1.913130
Changsha,1.913130
Suining,1.913130
Zhongshan,1.913130
Zigong,1.913130
Wuxi,1.898106
Hong Kong,1.893743
Kunming,1.892855
Nanchong,1.877414
Shamen,1.870376
Meishan,1.862986
Ezhou,1.857628
Foshan,1.857628
Jiuquan,1.857628
Luoyang,1.857628
Qamdo,1.857628
Qinhuangdao,1.857628
Shenyang,1.857628
Tianshui,1.857628
Zhoushan,1.857628
Lhasa,1.837241
Diqing,1.784655
Dalian,1.784655
Fuzhou,1.784655
Jinan,1.784655
Jiujiang,1.784655
Nanchang,1.784655
Nantong,1.784655
Panzhihua,1.784655
Urumqi,1.784655
Yangzhou,1.784655
Ziyang,1.784655
Guiyang,1.784390
Luzhou,1.716410
Zhengzhou,1.708925
Huzhou,1.686544
Sanya,1.682169
Qingdao,1.679679
Dazhou,1.675684
Guang'an,1.672349
Guilin,1.672349
Haibei,1.672349
Haidong,1.672349
Haikou,1.672349
Haixi,1.672349
Chizhou,1.672349
Huangshi,1.672349
Ili(Yili),1.672349
Jiangmen,1.672349
Jiaozuo,1.672349
Jiayuguan,1.672349
Jingdezhen,1.672349
Jinhua,1.672349
Jining,1.672349
Ankang,1.672349
Baicheng,1.672349
Liupanshui,1.672349
Lu'an,1.672349
Anshan,1.672349
Dongying,1.672349
Nyingchi,1.672349
Dingxi,1.672349
Datong,1.672349
Bangbu,1.672349
Daxinganling,1.672349
Quanzhou,1.672349
Quzhou,1.672349
Shangluo,1.672349
Shangrao,1.672349
Shaoxing,1.672349
Shiyan,1.672349
Tai'an,1.672349
Taipei,1.672349
Taiyuan,1.672349
Taoyuan,1.672349
Weicu,1.672349
Wenzhou,1.672349
Wuhu,1.672349
Anshun,1.672349
Xiangyang,1.672349
Xianyang,1.672349
Yanbian,1.672349
Yantai,1.672349
Yichang,1.672349
Zhangye,1.672349
Zhenjiang,1.672349
Langfang,1.659949
Baoding,1.621965
Nanning,1.580699
Changchun,1.573028
Weinan,1.565582
Baoji,1.562202
Tangshan,1.546862
Bazhong,1.543718
Harbin,1.542091
Taizhou,1.538153
Macau,1.533766
Zhuhai,1.527550
Hohhot,1.525095
Zhangjiakou,1.522046
Dongguan,1.514851
Taizhou,1.509869
Chengde,1.508326
Yancheng,1.489270
Zunyi,1.482882
Yan'an,1.470822
Huangnan,1.464599
Baotou,1.460914
Baoshan,1.456996
Xuzhou,1.455148
Lianyungang,1.438200
Chuzhou,1.435509
Cangzhou,1.435292
Zhangjiajie,1.434664
Zhuzhou,1.415399
Xuancheng,1.411843
Beihai,1.409842
Wuwei,1.406637
Xiangxi,1.404032
Liuzhou,1.397942
Ordos,1.397942
Enshi,1.392914
Xishuangbanna,1.391540
Pingliang,1.391058
Huludao,1.382884
Huaihua,1.377643
Huai'an,1.375470
Nanping,1.375357
Jinzhong,1.371902
Baiyin,1.369576
Hulunbuir,1.367943
Dezhou,1.363650
Ganzhou,1.361942
Huizhou,1.360643
Weihai,1.355846
Jingzhou,1.353236
Zibo,1.353236
Tongren,1.351478
Lishui,1.349623
Weifang,1.347940
Xinzhou,1.347027
New Taipei,1.343827
Chifeng,1.340427
Yulin,1.338921
Yingtan,1.336468
Kaohsiung,1.335050
Xianning,1.335042
Nanyang,1.333577
Sanmenxia,1.333577
Bijie,1.333577
Yuxi,1.333577
Handan,1.331075
Jinzhou,1.324005
Qiandongnan,1.322302
Dehong,1.322302
Dandong,1.322302
Yueyang,1.322302
Hengshui,1.315246
Ma'anshan,1.313610
Jian,1.312450
Zhangzhou,1.309747
Jinchang,1.307620
Anqing,1.303961
Linyi,1.300108
Xingtai,1.299931
Xilingol,1.297093
Zaozhuang,1.296009
Qingyuan,1.295548
Loudi,1.295548
Yulin,1.295548
Yuncheng,1.295548
Zhanjiang,1.295548
Zhaotong,1.295548
Ningde,1.293360
Tongchuan,1.291777
Zhongwei,1.290728
Qiqihar,1.288090
Xiaogan,1.287125
Xinxiang,1.286114
Anyang,1.284910
Shizuishan,1.283909
Rizhao,1.282351
Honghe,1.279145
Jincheng,1.279145
Jieyang,1.279145
Bayingolin,1.279145
Zhaoqing,1.279145
Kaifeng,1.277375
Fushun,1.276940
Daqing,1.273842
Panjin,1.269714
Nagqu,1.269111
Taichung,1.260586
Keramay,1.259627
Shantou,1.259627
Suizhou,1.259627
Tainan,1.259627
Wenchang,1.259627
Changji,1.259627
Changde,1.259627
Pingdingshan,1.259627
Hezhou,1.259627
Yingkou,1.258854
Ulanqab,1.257805
