city,distance
Shanghai,6.489885
Hangzhou,3.867909
Zhoushan,3.717329
Jiaxing,3.624776
Shaoxing,3.126054
Taizhou,3.117353
Beijing,2.975542
Wenzhou,2.908509
Suzhou,2.804614
Jinhua,2.636969
Shamen,2.523256
Guangzhou,2.451122
Nanjing,2.427593
Wuxi,2.398172
Chengdou,2.368185
Hong Kong,2.323213
Wuhan,2.310178
Huzhou,2.296689
Fuzhou,2.253066
Changzhou,2.208528
Shenzhen,2.206021
Qingdao,2.171647
Chongqing,2.113995
Tianjin,2.110654
Nantong,2.078847
Changsha,2.063571
Hefei,2.030427
Dalian,2.021513
Xi'an,2.021513
Huangshan,1.997915
Nanchang,1.982729
Wuhu,1.982729
Kunming,1.977473
Ningde,1.977473
Sanya,1.977473
Yangzhou,1.977473
Lishui,1.972113
Quzhou,1.931211
Shenyang,1.904549
Quanzhou,1.890067
Shangrao,1.874671
Jinan,1.866586
Macau,1.866586
Zhenjiang,1.866586
Taipei,1.862140
Guilin,1.840520
Zhengzhou,1.840520
Harbin,1.811111
Taizhou,1.811111
Taoyuan,1.811111
Lanzhou,1.800380
Shijiazhuang,1.800380
Yancheng,1.789094
Haikou,1.777186
Changchun,1.777186
Guiyang,1.764569
Huai'an,1.764569
Huanggang,1.764569
Lijiang,1.764569
Kaohsiung,1.751142
Urumqi,1.736776
Xuancheng,1.736776
Zhuhai,1.721308
Bangbu,1.686150
Nanning,1.686150
Taiyuan,1.686150
Xuzhou,1.686150
Yantai,1.686150
Handan,1.665789
Lianyungang,1.665789
Dongguan,1.665789
Ma'anshan,1.642887
Nanping,1.642887
Baoding,1.642887
Yichang,1.642887
Hohhot,1.616600
Jieyang,1.616600
Jingdezhen,1.616600
Jining,1.616600
New Taipei,1.616600
Ngawa,1.616600
Nyingchi,1.616600
Anqing,1.616600
Xiangxi,1.616600
Yinchuan,1.616600
Yingtan,1.616600
Zibo,1.616600
Zhangjiajie,1.612341
Lhasa,1.585550
Lu'an,1.585550
Putian,1.585550
Tai'an,1.585550
Chizhou,1.585550
Heze,1.547237
Datong,1.547237
Huangshi,1.547237
Jian,1.547237
Jiujiang,1.547237
Langfang,1.547237
Mianyang,1.547237
Fuyang,1.547237
Qiannan,1.547237
Chuzhou,1.547237
Weihai,1.547237
Cangzhou,1.547237
Xiangtan,1.547237
Xiuzhou,1.547237
Zhongshan,1.547237
Foshan,1.531352
Luoyang,1.512176
Xining,1.499500
Beihai,1.499318
Huizhou,1.496279
Jiaozuo,1.496279
Jilin,1.496279
Kaifeng,1.496279
Linyi,1.496279
Qianxinan,1.496279
Qingyuan,1.496279
Rizhao,1.496279
Shantou,1.496279
Dandong,1.496279
Taichung,1.496279
Tainan,1.496279
Dongying,1.496279
Tangshan,1.496279
Dali,1.496279
Tongling,1.496279
Xiangyang,1.496279
Xishuangbanna,1.496279
Yan'an,1.496279
Yangjiang,1.496279
Ezhou,1.496279
Yibin,1.496279
Yulin,1.496279
Zaozhuang,1.496279
Zhanjiang,1.496279
Diqing,1.496279
Zhuzhou,1.496279
Qinhuangdao,1.462421
Liuzhou,1.445682
Leshan,1.444917
Zhangzhou,1.440037
Weifang,1.423095
Baotou,1.419248
Kinmen,1.416524
Bozhou,1.416524
Jinzhou,1.416524
Daqing,1.416524
Liaoyang,1.416524
Bayingolin,1.416524
Loudi,1.416524
Mudanjiang,1.416524
Nanchong,1.416524
Hengyang,1.416524
Nantou,1.416524
Pingxiang,1.416524
Qiandongnan,1.416524
Heyuan,1.416524
Qionghai,1.416524
Qiqihar,1.416524
Huaihua,1.416524
Sanming,1.416524
Aksu,1.416524
