city,distance
Fuzhou,5.431959
Shanghai,4.691078
Wenzhou,4.275719
Shamen,3.860571
Quanzhou,3.118729
Hangzhou,3.002920
Beijing,2.991446
Ningbo,2.967930
Taizhou,2.918388
Taipei,2.878705
Putian,2.707167
Nanping,2.688784
Jiaxing,2.669771
Shenzhen,2.669771
Shaoxing,2.562911
Jinhua,2.392846
Lishui,2.392846
Suzhou,2.356787
Huzhou,2.317199
Nanjing,2.317199
Quzhou,2.317199
Guangzhou,2.273121
Nanchang,2.273121
Chongqing,2.223104
Baoding,2.223104
Wuhan,2.223104
Chengdou,2.164806
Dongguan,2.164806
Foshan,2.164806
Sanming,2.164806
Jining,2.094010
Nanning,2.094010
Wuxi,2.094010
Zhangzhou,2.094010
Zhoushan,2.094010
Changzhou,2.001746
Harbin,2.001746
Hefei,2.001746
Lijiang,2.001746
Longyan,2.001746
Sanya,2.001746
Xi'an,2.001746
Zhuzhou,2.001746
Hong Kong,1.959523
New Taipei,1.887276
Deyang,1.861529
Diqing,1.861529
Cangzhou,1.861529
Guilin,1.861529
Haikou,1.861529
Jinan,1.861529
Jingdezhen,1.861529
Kunming,1.861529
Lanzhou,1.861529
Leshan,1.861529
Meizhou,1.861529
Pingliang,1.861529
Qingdao,1.861529
Rizhao,1.861529
Shangrao,1.861529
Shantou,1.861529
Shijiazhuang,1.861529
Suizhou,1.861529
Taizhou,1.861529
Yangzhou,1.861529
Zhengzhou,1.861529
Zhenjiang,1.861529
Zibo,1.861529
Nantong,1.781335
Taoyuan,1.730973
Tianjin,1.728858
Changsha,1.680544
Jiujiang,1.636088
Dalian,1.624891
Huangshan,1.617190
Shenyang,1.584404
Macau,1.576632
Taichung,1.530523
Yancheng,1.529652
Changchun,1.514940
Keelung,1.507752
Langfang,1.502071
Zhuhai,1.496759
Xuzhou,1.493677
Guiyang,1.490917
Yantai,1.488565
Hsinchu,1.488412
Hualien,1.488154
Urumqi,1.485232
Kaohsiung,1.484841
Yingtan,1.480435
Taiyuan,1.478041
Lianyungang,1.475825
Zhangjiajie,1.472101
Qinhuangdao,1.466252
Yilan,1.457378
Wuhu,1.456372
Xuancheng,1.448084
Kinmen,1.444431
Hohhot,1.412297
Lhasa,1.412066
Nantou,1.410207
Huai'an,1.409845
Tai'an,1.409555
Luoyang,1.409240
Chizhou,1.409135
Tangshan,1.408869
Huizhou,1.407498
Ngawa,1.403683
Yinchuan,1.390786
Pingdong,1.390754
Tainan,1.390264
Zhangjiakou,1.388254
Weihai,1.384737
Bangbu,1.381079
Fuzhou,1.378893
Xining,1.377460
Beihai,1.377307
Chengde,1.376830
Yichang,1.370206
Chuzhou,1.370043
Dali,1.368235
Ganzhou,1.360327
Anqing,1.360327
Jinzhong,1.349042
Chiayi,1.345935
Ma'anshan,1.344927
Jian,1.343711
Chaozhou,1.338274
Qingyuan,1.338274
Liuzhou,1.331914
Xiangxi,1.331233
Linyi,1.330777
Zaozhuang,1.329985
Mianyang,1.322485
