city,distance
Dali,5.154354
Kunming,4.892786
Baoshan,4.525691
Qamdo,4.180135
Lhasa,3.611993
Beijing,3.061868
Lijiang,3.061868
Shanghai,3.061868
Weicu,3.061868
Diqing,2.745543
Garze,2.745543
Guangzhou,2.745543
Nyingchi,2.372569
Dehong,2.272319
Chengdou,1.904465
Nagqu,1.893281
Xishuangbanna,1.889620
Yuxi,1.874649
Shannan,1.871924
Chongqing,1.825619
Suzhou,1.816602
Honghe,1.806809
Qujing,1.806247
Xi'an,1.755254
Hangzhou,1.753908
Tianjin,1.752149
Xining,1.741303
Guiyang,1.733242
Ya'an,1.729045
Shenzhen,1.722623
Wuhan,1.719238
Changsha,1.692769
Nanjing,1.685794
Haixi,1.676018
Pu'er,1.642549
Foshan,1.641314
Jiaxing,1.630322
Liangshanzhou,1.627525
Lanzhou,1.625088
Shamen,1.623580
Meizhou,1.620139
Wuxi,1.606317
Hong Kong,1.603192
Wenzhou,1.597347
Qingdao,1.593975
Nanning,1.590535
Jinhua,1.585516
Wenshan,1.581606
Ngawa,1.566496
Changde,1.566220
Changzhou,1.560746
Ngari,1.560634
Ningbo,1.559976
Hefei,1.557938
Zhengzhou,1.553630
Sanya,1.552359
Zhaotong,1.527538
Langfang,1.519621
Jinan,1.516826
Changchun,1.514283
Panzhihua,1.511169
Huaihua,1.509555
Haikou,1.508258
Guilin,1.505288
Dongguan,1.498933
Lincang,1.496633
Zhoushan,1.493735
Baoding,1.487726
Fuzhou,1.486073
Shijiazhuang,1.484217
Qinhuangdao,1.482971
Nantong,1.481912
Zhuhai,1.481666
Liupanshui,1.475407
Shenyang,1.466324
Taipei,1.455599
Huzhou,1.452159
Harbin,1.451271
Yangjiang,1.448902
Deyang,1.448541
Nanchang,1.442176
Dalian,1.438433
Taiyuan,1.437921
Zhongshan,1.437811
Qianxinan,1.437387
Meishan,1.432649
Mianyang,1.432649
Nanping,1.432649
Urumqi,1.432418
Shaoxing,1.431561
Baise,1.427255
Yibin,1.427255
Tangshan,1.424297
Anshun,1.416273
Yangzhou,1.414624
Jiangmen,1.412685
Zhangjiakou,1.403231
Chengde,1.391561
Zhenjiang,1.377821
Qingyuan,1.377711
Leshan,1.376122
Qiandongnan,1.373991
Ulanqab,1.373991
Hohhot,1.373667
Lianyungang,1.373667
Panjin,1.373667
Weifang,1.373667
Weihai,1.373667
Wuhu,1.373667
Yichang,1.373667
Zhangzhou,1.373667
Datong,1.373667
Huizhou,1.368221
Huangshan,1.366524
Zhaoqing,1.362336
Liuzhou,1.359160
Macau,1.359160
Zunyi,1.349668
Shaoguan,1.344656
Dazhou,1.344042
Taizhou,1.340785
Quanzhou,1.339329
Yantai,1.336066
Beihai,1.333657
Cangzhou,1.329164
Xuzhou,1.327957
Jiuquan,1.322510
Xianyang,1.322510
Taizhou,1.319244
Jining,1.315295
Loudi,1.315295
Luoyang,1.315295
Tai'an,1.310680
Tianshui,1.309951
Shantou,1.304803
Yancheng,1.303491
Ordos,1.300976
Anyang,1.300976
Baoji,1.295747
Haibei,1.295747
Bangbu,1.295747
Taoyuan,1.295566
Yinchuan,1.294116
Hengyang,1.284436
Jingdezhen,1.284436
Yulin,1.284436
Zhuzhou,1.284436
Huludao,1.284098
Baotou,1.278240
Jinzhong,1.274623
Shangrao,1.273632
Hulunbuir,1.271205
Linyi,1.269927
Neijiang,1.269927
Jingzhou,1.269927
