city,distance
Lhasa,6.385542
Qamdo,4.058684
Changzhou,3.735041
Chengdou,3.541405
Shanghai,3.430515
Shannan,3.242455
Beijing,3.016829
Chongqing,2.816061
Garze,2.634055
Guangzhou,2.577246
Nagqu,2.546248
Diqing,2.477526
Xi'an,2.477526
Xining,2.477526
Changchun,2.438891
Ningbo,2.296014
Wuxi,2.296014
Haixi,2.233882
Nanjing,2.233882
Jiaxing,2.158575
Kunming,2.158575
Lanzhou,2.158575
Shenzhen,2.158575
Suzhou,2.158575
Hong Kong,2.060666
Lijiang,2.060666
Qingdao,2.060666
Taiyuan,2.060666
Ngari,1.921180
Baoji,1.912380
Changsha,1.912380
Dali,1.912380
Dalian,1.912380
Dongguan,1.912380
Guiyang,1.912380
Hangzhou,1.912380
Jincheng,1.912380
Jiuquan,1.912380
Leshan,1.912380
Luoyang,1.912380
Nanping,1.912380
Ngawa,1.912380
Shamen,1.912380
Anshun,1.912380
Taizhou,1.912380
Xinyang,1.912380
Ya'an,1.912380
Yancheng,1.912380
Yangzhou,1.912380
Yuncheng,1.912380
Zhangjiajie,1.912380
Zhengzhou,1.912380
Zhenjiang,1.912380
Tianjin,1.737306
Nujiang,1.723645
Deyang,1.659863
Mianyang,1.629802
Dazhou,1.603148
Wuhan,1.603148
Foshan,1.579649
Zhoushan,1.576376
Urumqi,1.572608
Xianyang,1.572608
Jilin,1.571743
Nantong,1.563214
Tianshui,1.554882
Haibei,1.534910
Bangbu,1.534910
Huzhou,1.530144
Sanya,1.526542
Nanchong,1.520921
Jinan,1.511941
Shenyang,1.511941
Meishan,1.511439
Langfang,1.508444
Shaoxing,1.507291
Neijiang,1.488208
Fuzhou,1.484747
Taipei,1.482729
Liangshanzhou,1.480341
Baoding,1.477012
Shijiazhuang,1.473553
Qinhuangdao,1.472325
Jinhua,1.468481
Suining,1.467285
Ziyang,1.455718
Weinan,1.452037
Harbin,1.451100
Hohhot,1.451100
Kashgar,1.451100
Macau,1.451100
Nanning,1.451100
Xuzhou,1.451100
Zigong,1.443961
Hefei,1.438641
Huangshan,1.435364
Zhuhai,1.431229
Wenzhou,1.429490
Yibin,1.422588
Guangyuan,1.420508
Baoshan,1.418106
Xishuangbanna,1.418106
Tangshan,1.414474
Luzhou,1.413508
Taizhou,1.408349
Jingzhou,1.406185
Guilin,1.406185
Kumul(Hami),1.406185
Hezhou,1.406185
Sanmenxia,1.406185
Gannan,1.406185
Wuhu,1.406185
Chongzuo,1.406185
Zhongwei,1.406185
Haidong,1.406185
Xiangxi,1.399565
Zhangjiakou,1.393696
Zhongshan,1.390267
Jinzhong,1.387605
Chengde,1.382183
Nanchang,1.381030
Anqing,1.378874
Jiayuguan,1.374016
Yan'an,1.370164
Xuancheng,1.369652
Jiangmen,1.366762
Yanbian,1.363115
Guang'an,1.360591
Yichang,1.359118
Siping,1.356019
Zunyi,1.343834
Panzhihua,1.343116
Taoyuan,1.341864
Huai'an,1.339814
Jingdezhen,1.335519
Kaifeng,1.335519
Baotou,1.335519
Liaocheng,1.335519
Ma'anshan,1.335519
Hengyang,1.335519
Datong,1.335519
Qujing,1.335519
Rizhao,1.335519
Shangqiu,1.335519
Shangrao,1.335519
Anshan,1.335519
Dongying,1.335519
Wuwei,1.335519
Baiyin,1.335519
Xinzhou,1.335519
Chuzhou,1.335519
Yantai,1.335519
Yinchuan,1.335519
Yushuzhou,1.335519
Huangnan,1.335519
Dandong,1.335519
Qingyuan,1.333999
Haikou,1.326652
