city,distance
Chengdou,5.898605
Guangyuan,4.038412
Nanchong,3.973849
Dazhou,3.597098
Beijing,3.405772
Chongqing,3.294710
Xi'an,3.294710
Mianyang,3.168261
Shanghai,3.168261
Hanzhong,3.018887
Baoji,2.830781
Dalian,2.830781
Deyang,2.558277
Fuzhou,2.558277
Guangzhou,2.558277
Kunming,2.558277
Leshan,2.558277
Luzhou,2.558277
Meizhou,2.558277
Nanjing,2.558277
Ngawa,2.269046
Guangzhou,2.161751
Garze,1.918155
Ya'an,1.900081
Wuhan,1.874660
Tianjin,1.859604
Suzhou,1.853530
Shenzhen,1.853223
Suining,1.848734
Ankang,1.848619
Hangzhou,1.847279
Meishan,1.822227
Guang'an,1.809828
Lijiang,1.806252
Lhasa,1.797589
Liangshanzhou,1.777216
Hong Kong,1.776730
Xianyang,1.751828
Guiyang,1.746963
Ziyang,1.741845
Shamen,1.740110
Zigong,1.725039
Changsha,1.710760
Weinan,1.699016
Yibin,1.694622
Urumqi,1.684089
Zhengzhou,1.674567
Ningbo,1.673751
Wuxi,1.668779
Jiaxing,1.660003
Jinan,1.646475
Qingdao,1.646475
Shenyang,1.635541
Sanya,1.625325
Lanzhou,1.623172
Shijiazhuang,1.608477
Langfang,1.599795
Dali,1.591088
Yan'an,1.587987
Changzhou,1.587927
Panzhihua,1.583042
Hefei,1.577451
Foshan,1.572502
Puyang,1.571920
Xiangyang,1.571920
Baoding,1.564485
Nyingchi,1.561001
Qinhuangdao,1.559227
Nanchang,1.556205
Taipei,1.554573
Nanning,1.551259
Xining,1.551259
Shiyan,1.538917
Guilin,1.535406
Haikou,1.527801
Xinyang,1.526912
Heyuan,1.525463
Tianshui,1.523532
Taiyuan,1.520113
Enshi,1.519351
Zhoushan,1.518613
Yinchuan,1.513498
Harbin,1.511338
Yichang,1.511338
Nantong,1.506395
Huangshan,1.502370
Zhuhai,1.500039
Hohhot,1.497671
Quanzhou,1.496112
Yingkou,1.494964
Tangshan,1.494496
Diqing,1.492816
Dongying,1.490325
Dongguan,1.487791
Huzhou,1.482695
Luoyang,1.480044
Changchun,1.479907
Ningde,1.478888
Zhangjiakou,1.471319
Kaifeng,1.470897
Longnan,1.470897
Wenzhou,1.465703
Weicu,1.459745
Chengde,1.458494
Shaoxing,1.454395
Shantou,1.453297
Zunyi,1.445412
Jieyang,1.440419
Yangzhou,1.436917
Baotou,1.435731
Taoyuan,1.435731
Zhongshan,1.435731
Yulin,1.435325
Zhenjiang,1.433478
Baoshan,1.431947
Macau,1.431947
Xuzhou,1.428052
Shangluo,1.427234
Putian,1.426557
Yantai,1.421759
Huizhou,1.421044
Nanping,1.420954
Jinhua,1.418229
Sanmenxia,1.411740
Chuzhou,1.411187
Anshan,1.401466
Liaoyang,1.399469
Tongling,1.399469
Longyan,1.398251
Xishuangbanna,1.397209
Liaocheng,1.393755
Qingyang,1.393755
Haixi,1.393755
Wuwei,1.393755
Yanbian,1.393755
Yuncheng,1.393755
Hebi,1.393114
Zhuzhou,1.391748
Cangzhou,1.390098
Yuxi,1.389007
Beihai,1.386375
Chaozhou,1.385092
Jiuquan,1.383517
