city,distance
Shenyang,4.780490
Beijing,4.449818
Shanghai,4.288284
Dalian,3.928802
Jinzhou,3.881483
Yingkou,3.297316
Daqing,3.242006
Qinhuangdao,3.242006
Anshan,3.151853
Huludao,3.050513
Tianjin,2.911792
Changchun,2.736409
Fuxin,2.736409
Chaoyang,2.706612
Tangshan,2.641768
Dandong,2.606145
Fushun,2.526386
Tieling,2.526386
Harbin,2.480951
Liaoyang,2.480951
Siping,2.480951
Guangzhou,2.430490
Benxi,2.226832
Langfang,2.226832
Shijiazhuang,2.226832
Suzhou,2.187830
Cangzhou,2.122783
Baoding,2.122783
Chifeng,2.122783
Hong Kong,2.122783
Nanjing,2.122783
Qingdao,2.122783
Shamen,2.122783
Taipei,2.122783
Taiyuan,2.122783
Weihai,2.122783
Hangzhou,2.097531
Chengdou,1.965762
Chongqing,1.965762
Baoshan,1.965762
Dongying,1.965762
Foshan,1.965762
Hefei,1.965762
Hohhot,1.965762
Hulunbuir,1.965762
Jinan,1.965762
Jingzhou,1.965762
Kaifeng,1.965762
Laiwu,1.965762
Shenzhen,1.965762
Suihua,1.965762
Baishan,1.965762
Tonghua,1.965762
Tongliao,1.965762
Urumqi,1.965762
Wuhan,1.965762
Wuhu,1.965762
Xining,1.965762
Yantai,1.965762
Zaozhuang,1.965762
Zhengzhou,1.965762
Jiaxing,1.923182
Wuxi,1.889867
Changzhou,1.827103
Ningbo,1.826047
Xuchang,1.767077
Xi'an,1.754311
Zhoushan,1.735935
Nantong,1.719987
Qiqihar,1.718852
Jilin,1.690170
Huzhou,1.680036
Sanya,1.675695
Shaoxing,1.652527
Ma'anshan,1.644886
Zhangjiakou,1.637274
Yangzhou,1.629999
Changsha,1.627528
Chengde,1.621409
Kunming,1.611600
Jinhua,1.605993
Zhenjiang,1.581329
Huangshan,1.566467
Wenzhou,1.559473
Yanbian,1.558121
Nanchang,1.547165
Taizhou,1.532738
New Taipei,1.530069
Datong,1.529132
Macau,1.528383
Guiyang,1.527213
Lanzhou,1.526662
Fuzhou,1.519745
Guilin,1.516028
Tai'an,1.512646
Taizhou,1.504652
Lijiang,1.500331
Taoyuan,1.492551
Yinchuan,1.490627
Nanning,1.489567
Yancheng,1.484194
Haikou,1.478122
Zhuhai,1.476381
Baotou,1.469603
Lhasa,1.465457
Jinzhong,1.464824
Xuzhou,1.461616
Luoyang,1.458774
Dezhou,1.455420
Shangrao,1.445606
Jining,1.443355
Quanzhou,1.437542
Weifang,1.437538
Xinzhou,1.436500
Lianyungang,1.433466
Ngawa,1.431996
Zhangjiajie,1.429952
Mudanjiang,1.423344
Yichang,1.422032
Handan,1.418373
Zibo,1.416565
Ordos,1.411300
Xuancheng,1.407280
Dongguan,1.404412
Hengshui,1.400413
Shantou,1.400120
Yichun,1.399833
Jiujiang,1.395852
Songyuan,1.385771
Heihe,1.385771
Xingtai,1.383064
Xilingol,1.379851
Dehong,1.373953
Huai'an,1.371138
Nanping,1.371027
Chizhou,1.370467
Linyi,1.368779
Jiamusi,1.368082
Jiaozuo,1.367884
Xinxiang,1.367433
Anyang,1.366072
Dali,1.360466
Xiangtan,1.357334
Baoji,1.353060
Quzhou,1.352061
Bangbu,1.346777
Zhongshan,1.346412
Lishui,1.345452
Nanyang,1.341272
Beihai,1.340343
Changde,1.339464
Diqing,1.338408
Ulanqab,1.335476
Chuzhou,1.333463
Yingtan,1.332379
Kaohsiung,1.330969
Yan'an,1.330000
Hegang,1.329788
Liaoyuan,1.328089
Liuzhou,1.328089
Yiyang,1.328089
Jiangmen,1.324354
Xiangyang,1.324242
Shangqiu,1.321813
Binzhou,1.321813
Yangquan,1.316069
Zhumadian,1.315650
Sanming,1.315425
Garze,1.315425
Hinggan,1.315425
Baicheng,1.315425
Haixi,1.313221
Liaocheng,1.312476
Jingdezhen,1.310611
Jian,1.308506
Mianyang,1.307238
Jiuquan,1.301733
Qingyuan,1.301103
Anqing,1.300068
Zhangzhou,1.300064
Turpan,1.297630
Xiangxi,1.296670
Xinyang,1.293342
Rizhao,1.292465
Ningde,1.289530
Changji,1.286971
Taichung,1.286881
Daxinganling,1.285819
Huizhou,1.285200
Changzhi,1.285174
Heze,1.284560
Leshan,1.284479
Yuncheng,1.282304
Haibei,1.281291
Xianyang,1.280345
Zhaoqing,1.280006
Shuozhou,1.277335
Jieyang,1.275196
Keelung,1.270744
Alty,1.270618
Ganzhou,1.268848
Hualien,1.264878
Shaoguan,1.264387
Puyang,1.264323
Meizhou,1.264323
Weinan,1.264095
Yueyang,1.263159
Yulin,1.260790
Shuangyashan,1.259183
Huangshi,1.259183
Hsinchu,1.256979
Lvliang,1.255877
Ili(Yili),1.254610
Lu'an,1.253390
Zhongwei,1.252026
Linfen,1.250708
Zhuzhou,1.249357
Luohe,1.245251
Tongling,1.244071
Xiuqian,1.243708
Xishuangbanna,1.242404
Yibin,1.240948
Pingdong,1.240375
Fuyang,1.237969
Qiandongnan,1.237969
Zhanjiang,1.237969
Yichun,1.236444
Yilan,1.234774
Longyan,1.233762
Deyang,1.233320
Jixi,1.232460
Zunyi,1.230090
Gannan,1.228433
Nanchong,1.226746
Huanggang,1.226746
Nantou,1.224452
Liangshanzhou,1.223462
Pingdingshan,1.223279
Sanmenxia,1.221496
Keramay,1.219678
Hezhou,1.217825
Xiuzhou,1.215933
Bozhou,1.215933
Ya'an,1.215933
Wanning,1.215594
Shiyan,1.214002
Wuhai,1.214002
Qionghai,1.214002
Bayingolin,1.212639
Hebi,1.212030
Yangjiang,1.210622
Anshun,1.210014
Pingxiang,1.210014
Jingmen,1.208814
Xiaogan,1.207953
Loudi,1.207953
Huaibei,1.207415
Yongzhou,1.207410
Changhua,1.207410
Huainan,1.204148
Xianning,1.201470
Xinyu,1.199601
Nyingchi,1.199206
Kashgar,1.197689
Putian,1.196638
Qitaihe,1.194886
Guangyuan,1.194492
Jincheng,1.194492
Luzhou,1.194492
Hanzhong,1.194492
Chiayi,1.192038
Tainan,1.191681
Hengyang,1.189514
Alxa,1.184238
Jiayuguan,1.184238
Taidong,1.181475
Yunlin,1.180123
Huaihua,1.178622
Weicu,1.175672
Dazhou,1.175672
Zhumadian,1.175672
Tianshui,1.169448
Heyuan,1.169378
Fuzhou,1.168463
Enshi,1.166158
Honghe,1.166158
Kumul(Hami),1.166158
Nagqu,1.164843
Wuzhong,1.160445
Baiyin,1.160445
Guang'an,1.160445
Bazhong,1.160445
Zigong,1.160445
Ziyang,1.160445
Haidong,1.155552
Zhoukou,1.155434
Qiannan,1.154937
Chenzhou,1.154937
Yulin,1.154937
Zhangye,1.154937
Chongzuo,1.154937
Pingliang,1.154937
Meishan,1.154937
Huangnan,1.154314
Shanwei,1.150823
Shizuishan,1.147429
Qinzhou,1.147429
Nujiang,1.146184
Chaozhou,1.143112
Aksu,1.142843
Maoming,1.141180
Ankang,1.138552
Qujing,1.138552
Sansha,1.133847
Penghu,1.133847
Tacheng,1.133797
Qianxinan,1.128570
Wenchang,1.128570
Miaoli,1.125251
Wuzhou,1.125024
Bijie,1.123063
Shannan,1.123063
Jiyuan,1.123063
Ezhou,1.117402
Qamdo,1.117136
Panzhihua,1.117136
Yuxi,1.115061
Kinmen,1.113709
Neijiang,1.113234
Danzhou,1.111893
Shaoyang,1.111893
Tongren,1.111893
Baise,1.111893
Yunfu,1.109898
Hotan,1.106190
