city,distance
Chengdou,5.280842
Liangshanzhou,5.203532
Kunming,4.261947
Beijing,3.239978
Lijiang,3.239978
Shanghai,3.129520
Chongqing,2.845380
Leshan,2.750573
Mianyang,2.750573
Shenzhen,2.750573
Weicu,2.750573
Zigong,2.750573
Deyang,2.637284
Diqing,2.492588
Guangzhou,2.492588
Ngawa,2.492588
Wuhan,2.492588
Dongguan,2.278848
Garze,2.278848
Hangzhou,2.278848
Meishan,2.278848
Nanchang,2.278848
Nanchong,2.278848
Neijiang,2.278848
Shamen,2.278848
Suining,2.278848
Tangshan,2.278848
Xi'an,2.278848
Xiangyang,2.278848
Ya'an,2.278848
Yibin,2.278848
Yuxi,2.278848
Zhengzhou,2.278848
Zhongwei,2.278848
Zhoushan,2.278848
Zhuhai,2.278848
Zhuzhou,2.278848
Zunyi,2.278848
Dali,2.041094
Suzhou,1.840203
Tianjin,1.809058
Xishuangbanna,1.787441
Baoshan,1.774786
Nanjing,1.736533
Lhasa,1.735711
Hong Kong,1.716255
Honghe,1.713168
Qujing,1.712663
Zhongshan,1.708561
Guiyang,1.688465
Ziyang,1.683683
Changsha,1.654622
Jiaxing,1.649306
Yinchuan,1.648917
Guangyuan,1.636759
Urumqi,1.629660
Luzhou,1.627473
Wuxi,1.624743
Ningbo,1.619977
Jinan,1.594413
Qingdao,1.594413
Dazhou,1.590813
Changzhou,1.578136
Sanya,1.574571
Lanzhou,1.572550
Dehong,1.571642
Shenyang,1.571529
Pu'er,1.564794
Langfang,1.562244
Shijiazhuang,1.558753
Foshan,1.547436
Zhaotong,1.536930
Hefei,1.529599
Baoding,1.528555
Wenzhou,1.523716
Qinhuangdao,1.523535
Macau,1.518498
Nanning,1.517516
Nyingchi,1.514127
Dalian,1.514127
Guang'an,1.511133
Fuzhou,1.509614
Wenshan,1.509386
Taipei,1.508079
Xining,1.504959
Nantong,1.497580
Changde,1.495368
Guilin,1.490034
Huludao,1.486637
Haikou,1.482871
Taiyuan,1.476027
Baoji,1.475328
Bazhong,1.471399
Harbin,1.467357
Yichang,1.467357
Huzhou,1.467202
Meizhou,1.460066
Huangshan,1.458902
Shiyan,1.456527
Hohhot,1.454470
Dongying,1.447541
Jiujiang,1.447300
Shaoxing,1.446177
Luoyang,1.439921
Zhangjiakou,1.439497
Changchun,1.437711
Gannan,1.432852
Huizhou,1.429639
Yangzhou,1.428895
Lincang,1.428266
Chengde,1.427219
Hanzhong,1.418527
Xianyang,1.416163
Huaihua,1.415707
Liupanshui,1.412367
Jinhua,1.410413
Hulunbuir,1.407880
Jilin,1.407880
Nantou,1.407880
Enshi,1.407880
Tacheng,1.407880
Wanning,1.407880
Xiangtan,1.407880
Xuancheng,1.407880
Yingkou,1.407880
Yiyang,1.407880
Zhangzhou,1.407880
Kaifeng,1.407077
Baotou,1.395982
Taoyuan,1.395982
Zhenjiang,1.391355
Xuzhou,1.388721
Weinan,1.381450
Xianning,1.379701
Qianxinan,1.377488
Chuzhou,1.372768
Yantai,1.368903
Baise,1.368181
Qamdo,1.366018
Shangrao,1.365989
Cangzhou,1.361658
Nujiang,1.358085
Anshun,1.358085
Quanzhou,1.356397
Taizhou,1.353599
Hengyang,1.353081
Beihai,1.349277
Nanyang,1.345350
Taizhou,1.343955
Xiangxi,1.343955
Jiangmen,1.342580
Jingzhou,1.342468
Tai'an,1.342266
Xinxiang,1.339327
Liuzhou,1.338373
Ordos,1.338373
Huanggang,1.335922
Datong,1.334492
Jiaozuo,1.332522
Ankang,1.332504
Xiaogan,1.328586
Huangshi,1.326823
Tianshui,1.326312
Ulanqab,1.323078
Suizhou,1.315683
Yancheng,1.315598
Jiuquan,1.312786
Zhangjiajie,1.312786
Yichun,1.311877
Qingyuan,1.310952
Yingtan,1.308515
Yan'an,1.307140
Qiandongnan,1.305482
Ganzhou,1.305340
Qingyang,1.305340
Jinzhong,1.304475
Pingxiang,1.302120
Jian,1.300238
Lianyungang,1.297341
Zibo,1.297341
Zhaoqing,1.297024
Dezhou,1.297012
Weihai,1.289951
New Taipei,1.288690
Jining,1.287422
Longyan,1.284819
Weifang,1.282792
Xinzhou,1.281966
Loudi,1.281486
Shaoguan,1.280989
Wuzhong,1.280404
Sanmenxia,1.279261
Bijie,1.279261
Chifeng,1.275986
Alxa,1.271977
Chenzhou,1.270560
Ezhou,1.269980
Handan,1.268882
Yueyang,1.268882
Dandong,1.268882
Jingdezhen,1.267300
Anyang,1.265919
Jingmen,1.265577
Fuzhou,1.263867
Shizuishan,1.262790
Guyuan,1.262790
Jinzhou,1.261097
Wuhu,1.261026
Shantou,1.259080
Anshan,1.257317
Tongren,1.257317
Hsinchu,1.256979
Pingdingshan,1.255299
Hengshui,1.253147
Baiyin,1.252676
Xuchang,1.251491
Yulin,1.244226
Yuncheng,1.244226
Zhanjiang,1.244226
Heyuan,1.244067
Shangqiu,1.243822
Haixi,1.241574
Xinyu,1.239590
Xingtai,1.239237
Xilingol,1.236657
Xinyang,1.235763
Zaozhuang,1.235672
Linyi,1.229089
Jincheng,1.229089
Jieyang,1.229089
Kaohsiung,1.229089
Bayingolin,1.229089
Qiqihar,1.228472
Huai'an,1.225993
Nanping,1.225904
Yangjiang,1.225833
Chizhou,1.225457
Shanwei,1.219797
Fushun,1.218326
Daqing,1.215505
Panjin,1.211746
Golog,1.211058
Tainan,1.211058
Jiayuguan,1.211058
Hezhou,1.211058
Wenchang,1.211058
Ningde,1.211058
Ili(Yili),1.211058
Bangbu,1.211058
Keramay,1.211058
Changji,1.211058
Quzhou,1.210718
Nagqu,1.208516
Yanbian,1.208271
Luohe,1.208052
Sansha,1.207682
Lishui,1.205417
Qiannan,1.202687
Shannan,1.199779
Shangluo,1.196233
Chongzuo,1.195408
Taichung,1.195408
Alty,1.195133
Turpan,1.188578
Pingdong,1.188578
Anqing,1.188578
Heze,1.188578
Puyang,1.188578
Zhoukou,1.188578
Binzhou,1.187443
Lu'an,1.185923
Yangquan,1.185179
Linxia,1.182950
Zhumadian,1.182673
Liaocheng,1.182265
Mudanjiang,1.178633
Ma'anshan,1.176607
Pingliang,1.174347
Rizhao,1.166003
Fuyang,1.164760
Maoming,1.164760
Wuzhou,1.164760
Qionghai,1.164760
Xiuqian,1.164760
