city,distance
Zhengzhou,5.528594
Nanyang,3.763613
Beijing,3.731169
Luoyang,3.714632
Jiaozuo,3.573572
Luohe,3.515898
Xuchang,3.367720
Shanghai,3.271809
Xiangyang,3.006694
Wuhan,2.970759
Xi'an,2.850162
Kaifeng,2.804444
Chongqing,2.701097
Baoding,2.574095
Shijiazhuang,2.574095
Xinxiang,2.574095
Chengdou,2.496257
Xinyang,2.496257
Zhoukou,2.496257
Hebi,2.402592
Hong Kong,2.402592
Anyang,2.402592
Xiangxi,2.402592
Zhumadian,2.402592
Bozhou,2.281915
Fuyang,2.281915
Guangzhou,2.281915
Haikou,2.281915
Handan,2.281915
Hangzhou,2.281915
Kunming,2.281915
Nanjing,2.281915
Sanmenxia,2.281915
Shamen,2.281915
Shenzhen,2.281915
Suzhou,2.281915
Taipei,2.281915
Zhangjiajie,2.281915
Bangbu,2.101471
Dazhou,2.101471
Fuzhou,2.101471
Hengshui,2.101471
Huangshi,2.101471
Jian,2.101471
Jiangmen,2.101471
Jinan,2.101471
Langfang,2.101471
Sanya,2.101471
Shangqiu,2.101471
Shangrao,2.101471
Suizhou,2.101471
Changzhi,2.101471
Tai'an,2.101471
Tangshan,2.101471
Taoyuan,2.101471
Tianjin,2.101471
Urumqi,2.101471
Weifang,2.101471
Wenchang,2.101471
Wuxi,2.101471
Wuzhong,2.101471
Xiaogan,2.101471
Yangjiang,2.101471
Yichang,2.101471
Yinchuan,2.101471
Yiyang,2.101471
Zhuzhou,2.101471
Jinzhou,1.846768
Xuzhou,1.772280
Shiyan,1.723134
Changsha,1.716482
Qingdao,1.713320
Dalian,1.705185
Jiaxing,1.687994
Puyang,1.687807
Taiyuan,1.664595
Shenyang,1.662523
Hefei,1.638013
Changchun,1.628193
Qinhuangdao,1.624071
Lanzhou,1.620449
Xianyang,1.617671
Tongliao,1.615802
Changzhou,1.613522
Ningbo,1.612698
New Taipei,1.611047
Jiyuan,1.603831
Guiyang,1.582118
Weinan,1.572534
Harbin,1.571860
Baoji,1.569124
Jincheng,1.560035
Xingtai,1.553162
Zhoushan,1.542005
Nanchang,1.540780
Hohhot,1.536423
Changde,1.534230
Shangluo,1.534230
Yangzhou,1.531939
Nantong,1.529409
Zhangjiakou,1.528922
Ordos,1.517636
Chuzhou,1.517636
Chengde,1.515078
Xianning,1.514647
Xining,1.512549
Zhenjiang,1.512549
Huzhou,1.497739
Guilin,1.496144
Leshan,1.491609
Ngawa,1.488578
Jingmen,1.484110
Lijiang,1.480563
Jining,1.477644
Heze,1.477644
Yan'an,1.476956
Shaoxing,1.475837
Lhasa,1.470900
Jingzhou,1.469893
Lianyungang,1.463814
Xiuzhou,1.463814
Foshan,1.463551
Huanggang,1.462049
Nanning,1.456345
Yuncheng,1.456345
Quanzhou,1.450491
Wuhu,1.450491
Hanzhong,1.450491
Yantai,1.449527
Baotou,1.448444
Yueyang,1.448444
Zhuhai,1.448444
Dali,1.441904
Cangzhou,1.441406
Linyi,1.440052
Jinhua,1.438610
Qionghai,1.435058
Rizhao,1.431097
Jinzhong,1.421488
Wenzhou,1.421488
Datong,1.411000
Ankang,1.410356
Huangshan,1.406812
Beihai,1.405614
Jiujiang,1.404658
Chenzhou,1.404658
Hengyang,1.404658
Macau,1.400193
Dongguan,1.399812
Huludao,1.388558
Deyang,1.387568
Kaohsiung,1.387394
Tianshui,1.387394
Ezhou,1.383434
Taizhou,1.379548
Liaocheng,1.373580
Dandong,1.373580
Yancheng,1.373580
Hulunbuir,1.373495
Zhongshan,1.373299
Huaihua,1.370680
Dezhou,1.369167
Linfen,1.367930
Mianyang,1.366498
Lu'an,1.365902
Weicu,1.365390
Huainan,1.365203
Zibo,1.363706
Weihai,1.361300
Zhangzhou,1.358065
Liuzhou,1.357970
Loudi,1.357970
Huizhou,1.357970
Huai'an,1.357970
Jiuquan,1.357970
Haixi,1.357970
Taizhou,1.356754
Nanchong,1.355444
Turpan,1.355409
Xinzhou,1.352410
Zunyi,1.351423
Zhongwei,1.351308
Enshi,1.350547
Chifeng,1.345758
Yulin,1.344002
Shizuishan,1.343836
Changji,1.343784
Taichung,1.343686
Dingxi,1.339960
Zaozhuang,1.339960
Ulanqab,1.339318
Xuancheng,1.335003
Dongying,1.335003
Yulin,1.335003
Chizhou,1.334142
Guang'an,1.333175
Wanning,1.331292
Garze,1.329076
Jilin,1.328353
Keelung,1.326103
Alty,1.325965
Tongren,1.322227
Quzhou,1.321087
Ya'an,1.320373
Huaibei,1.319668
Longyan,1.318557
Benxi,1.318557
Ganzhou,1.313916
Ningde,1.313796
Zhanjiang,1.311969
Hsinchu,1.311119
Xishuangbanna,1.310525
Jingdezhen,1.310297
Yangquan,1.307002
Baoshan,1.303709
Yuxi,1.303306
Xilingol,1.302083
Ili(Yili),1.300443
Yingkou,1.299130
Tongchuan,1.296506
Qiqihar,1.293012
Maoming,1.291995
Shaoguan,1.291953
Guangyuan,1.291953
Kumul(Hami),1.291953
Suining,1.291571
Xiangtan,1.290446
Yilan,1.286979
Meishan,1.282303
Fushun,1.281777
Diqing,1.280676
Hualien,1.279878
Daqing,1.278654
Luzhou,1.278430
Anshan,1.277745
Panjin,1.274496
Putian,1.272333
Yanbian,1.270652
Honghe,1.270151
Qujing,1.269874
Neijiang,1.268637
Nanping,1.267874
Bayingolin,1.262951
Guyuan,1.262586
Jiayuguan,1.262391
Liangshanzhou,1.259849
Danzhou,1.258388
Shantou,1.256229
Tainan,1.256229
Tieling,1.256229
Tongling,1.256229
Keramay,1.256229
Wuhai,1.256229
Wuwei,1.256229
Hinggan,1.256229
Nantou,1.256229
Kashgar,1.256229
Jiamusi,1.256229
Zigong,1.250879
Qingyuan,1.250245
Xiangtan,1.248676
Binzhou,1.247639
Alxa,1.247377
Pingxiang,1.242209
Ziyang,1.241971
Yibin,1.241205
Taidong,1.240250
Chiayi,1.240250
Dehong,1.240250
Mudanjiang,1.237916
Zhaoqing,1.237570
Pingdong,1.234744
Yichun,1.230812
Baise,1.226665
Lishui,1.225953
Chengmai,1.224471
Chaoyang,1.216600
Ma'anshan,1.213589
Lingshui,1.212259
Sanming,1.212097
Dingan,1.210797
Shuozhou,1.210413
Anqing,1.209026
Laiwu,1.205923
Fangchenggang,1.202354
Qingyang,1.201725
Lvliang,1.199527
Hechi,1.199527
Haidong,1.199527
Laibin,1.199527
Panzhihua,1.199527
Xiuqian,1.199527
Sansha,1.199527
Chaozhou,1.199527
Liupanshui,1.199527
Nagqu,1.199527
Yongzhou,1.199527
Jieyang,1.199527
Zhangye,1.199527
Gannan,1.199527
Aksu,1.199527
Nyingchi,1.199527
Meizhou,1.198722
Siping,1.193365
Bayannur,1.192253
Bazhong,1.189890
Qiandongnan,1.189801
Baishan,1.187663
Pu'er,1.186724
Ledong,1.177242
Pingliang,1.173202
Fuxin,1.170818
Miaoli,1.168444
Xinyu,1.163915
Qiannan,1.158954
Heyuan,1.158954
Zhaotong,1.158954
Hezhou,1.156844
Liaoyang,1.155137
Changhua,1.154928
Tacheng,1.154634
Wenshan,1.154581
Yunfu,1.154012
Longnan,1.152849
Tonghua,1.151614
Anshun,1.149794
Daxinganling,1.147933
Hotan,1.147904
Bortala,1.140570
Kinmen,1.136808
Suihua,1.135769
Baoting,1.133007
Baiyin,1.124487
Bijie,1.124487
Dongfang,1.121156
