city,distance
Kaohsiung,5.773371
Taipei,4.372800
Taidong,3.882462
Hualien,3.652790
Shanghai,3.625362
Tainan,3.490878
Taichung,3.092520
Chiayi,3.078550
Taoyuan,3.042473
New Taipei,2.930881
Beijing,2.895426
Nantou,2.848256
Hong Kong,2.625555
Hsinchu,2.434677
Yunlin,2.338801
Guangzhou,2.310837
Yilan,2.247912
Changhua,2.211869
Miaoli,2.211869
Suzhou,2.171672
Hangzhou,2.072599
Keelung,2.072599
Shamen,2.072599
Chaozhou,2.007615
Chengdou,2.007615
Macau,2.007615
Shenyang,2.007615
Shenzhen,2.007615
Wuhan,2.007615
Xi'an,2.007615
Guiyang,1.922652
Nanjing,1.922652
Tianjin,1.922652
Wuxi,1.922652
Chongqing,1.792939
Fuzhou,1.792939
Huangshan,1.792939
Jiaxing,1.792939
Kinmen,1.792939
Nantong,1.792939
Penghu,1.792939
Qinhuangdao,1.792939
Shaoxing,1.792939
Shijiazhuang,1.792939
Taizhou,1.792939
Yancheng,1.792939
Zhuhai,1.792939
Changzhou,1.695043
Ningbo,1.694134
Zhoushan,1.616294
Huzhou,1.567727
Sanya,1.563946
Qingdao,1.555786
Yangzhou,1.524069
Zhengzhou,1.513186
Jinhua,1.503062
Dongguan,1.496768
Zhenjiang,1.481437
Langfang,1.477469
Foshan,1.475395
Kunming,1.474822
Dalian,1.474731
Hefei,1.466673
Wenzhou,1.462238
Changsha,1.459761
Baoding,1.447302
Jinan,1.446125
Taizhou,1.438708
Harbin,1.426842
Guilin,1.423975
Shantou,1.422722
Nanchang,1.411572
Taiyuan,1.400123
Huai'an,1.390348
Tangshan,1.387203
Changchun,1.383593
Lijiang,1.381790
Zhangjiakou,1.367213
Xuzhou,1.365835
Shangrao,1.361670
Yantai,1.361559
Urumqi,1.358771
Mianyang,1.358484
Nanning,1.358484
Jieyang,1.357213
Chengde,1.356131
Haikou,1.354811
Lanzhou,1.352393
Ningde,1.352109
Lianyungang,1.350893
Zhangjiajie,1.347773
Wuhu,1.334576
Hohhot,1.330320
Xuancheng,1.327613
Quanzhou,1.312904
Zhongshan,1.308868
Yangquan,1.307002
Xianyang,1.306474
Leshan,1.302218
Ngawa,1.299907
Lhasa,1.297276
Anshun,1.297270
Cangzhou,1.296803
Nanping,1.295301
Chizhou,1.294802
Liuzhou,1.292418
Mudanjiang,1.292418
Ordos,1.292418
Putian,1.292418
Tai'an,1.292418
Xiangxi,1.292418
Dali,1.292418
Jiangmen,1.288014
Xiuqian,1.283888
Zhangzhou,1.281067
Yinchuan,1.279293
Quzhou,1.278359
Jiujiang,1.277890
Luoyang,1.277062
Weinan,1.276874
Baoji,1.274625
Weihai,1.274174
Jiaozuo,1.273965
Lishui,1.272450
Datong,1.272140
Bangbu,1.271075
Xining,1.268009
Beihai,1.267880
Qiandongnan,1.267401
Yichang,1.261860
Chuzhou,1.261722
Yingtan,1.260751
Qingyuan,1.258877
Fushun,1.255638
Huludao,1.253869
Zunyi,1.252444
Huizhou,1.250949
Jining,1.250943
Baotou,1.248284
Anshan,1.246506
Zhaoqing,1.246028
Jinzhong,1.244834
Hulunbuir,1.241574
Jingdezhen,1.241243
Ma'anshan,1.240389
Jian,1.239355
Dezhou,1.238036
Kaifeng,1.234386
Anqing,1.231783
Shaoguan,1.231222
Diqing,1.228538
Linyi,1.228344
Weifang,1.225073
Hezhou,1.224720
Xinzhou,1.224319
Zaozhuang,1.222318
Deyang,1.222212
Qiannan,1.219891
Chifeng,1.218865
Xianning,1.216976
Longyan,1.216564
Dongying,1.213943
Yan'an,1.213943
Pu'er,1.213177
Rizhao,1.212481
Handan,1.211127
Zibo,1.209808
Jinzhou,1.209581
Changde,1.208493
Liaoyang,1.206707
Jilin,1.204570
Jiuquan,1.203011
Benxi,1.202523
Yanbian,1.200415
Meizhou,1.198075
Hengshui,1.198008
Dandong,1.195969
Shanwei,1.192723
Xishuangbanna,1.191754
Tieling,1.191470
Lu'an,1.189800
Yingkou,1.189369
Jingzhou,1.187916
Zhuzhou,1.186166
Xingtai,1.185289
Xilingol,1.182928
Huanggang,1.182787
Xiangyang,1.182374
Tongling,1.181400
Yangjiang,1.180184
Ganzhou,1.179418
Xiaogan,1.177033
Garze,1.176600
Huangshi,1.175649
Qiqihar,1.175436
Sansha,1.175055
Xinxiang,1.173790
Anyang,1.172787
Laiwu,1.170766
Ya'an,1.169775
Panjin,1.169259
Zhanjiang,1.166799
Yichun,1.165285
Daqing,1.163559
Hanzhong,1.158377
Wanning,1.155690
Suihua,1.153449
Haixi,1.152994
Baoshan,1.152536
Shiyan,1.151820
Fuyang,1.151146
Ulanqab,1.150165
Qinzhou,1.149744
Neijiang,1.149744
Huainan,1.145340
Nanchong,1.145179
Xiuzhou,1.142273
Ankang,1.142208
Xinyu,1.141225
Heyuan,1.140954
Sanming,1.140696
Meishan,1.139795
Binzhou,1.137820
Qianxinan,1.137610
Qionghai,1.136330
Yangquan,1.135741
Liaocheng,1.133064
Ezhou,1.130802
Pingxiang,1.128684
Yuncheng,1.125535
Jingmen,1.125273
Yueyang,1.124698
Liangshanzhou,1.122020
Yulin,1.121966
Bortala,1.121365
Yichun,1.121365
Pingdingshan,1.121365
Xinyang,1.118775
Shangqiu,1.118123
Shangluo,1.117016
Suining,1.114504
Maoming,1.114095
Chenzhou,1.113628
Fuzhou,1.113008
Changzhi,1.112658
Chaoyang,1.111948
Hengyang,1.110770
Yibin,1.110707
Xiangtan,1.109924
Liupanshui,1.109497
Tongliao,1.109036
Enshi,1.108734
Ziyang,1.107818
Tongren,1.107535
Sanmenxia,1.107503
Fuxin,1.107220
Shuozhou,1.106777
Siping,1.105256
Heze,1.103656
Bijie,1.103451
Jiamusi,1.102046
Alty,1.101617
Zigong,1.100996
Bozhou,1.100733
Weicu,1.099839
Tianshui,1.099492
Wuzhou,1.098691
Nyingchi,1.098018
Nanyang,1.097090
Puyang,1.096995
Jiayuguan,1.096151
Bayannur,1.091575
Lvliang,1.090631
Baishan,1.090249
Ili(Yili),1.089675
Hinggan,1.088707
Tongchuan,1.088673
Zhongwei,1.087725
Guangyuan,1.087307
Chongzuo,1.087109
Linfen,1.086730
Yunfu,1.084261
Luzhou,1.083201
Xuchang,1.082608
Luohe,1.082608
Suizhou,1.080087
Kashgar,1.079208
Wuhai,1.075964
Daxinganling,1.075964
Yulin,1.075964
Huaihua,1.070326
Gannan,1.069874
Turpan,1.067569
Dazhou,1.066838
Guang'an,1.066539
Nagqu,1.064698
Keramay,1.063228
Dehong,1.061819
Hebi,1.057411
Tonghua,1.057411
Bayingolin,1.056955
Loudi,1.054306
Shaoyang,1.053595
Shannan,1.051851
Zhangye,1.048223
Haibei,1.048223
Yongzhou,1.047637
Jincheng,1.044037
Panzhihua,1.041377
Fangchenggang,1.038185
Alxa,1.036195
Honghe,1.035982
Zhoukou,1.035982
Yiyang,1.031339
Zhumadian,1.029631
Baise,1.028887
Qujing,1.026339
Yuxi,1.023686
Kumul(Hami),1.022327
Songyuan,1.022327
Qingyang,1.021051
Jixi,1.019694
Lingshui,1.018024
Baicheng,1.016947
Shizuishan,1.011804
Bazhong,1.011772
Hechi,1.008446
Changji,1.007904
Heihe,1.004896
Baoting,1.004896
Wuzhong,1.001049
Pingliang,1.000386
Jiyuan,0.997112
Wenchang,0.993324
Lincang,0.992810
Hotan,0.992810
Liaoyuan,0.992810
Guigang,0.989265
Baiyin,0.989055
Wuwei,0.988176
Aksu,0.988176
Haidong,0.988176
Shuangyashan,0.984456
Qamdo,0.984456
Jinchang,0.983149
Dingxi,0.979665
Danzhou,0.977652
Hegang,0.967981
Huangnan,0.967981
Guyuan,0.958985
Wenshan,0.957056
Golog,0.957056
Qitaihe,0.953566
Zhaotong,0.948075
Longnan,0.944650
Linxia,0.944650
Laibin,0.937311
Dongfang,0.937311
Ngari,0.937311
Dingan,0.923788
Yushuzhou,0.920536
Chengmai,0.920536
Wuzhishan,0.917969
Ledong,0.905932
Nujiang,0.905378
Tacheng,0.887959
Changjiang,0.875550
Kezilsu,0.856226
Qiongzhong,0.796837
