city,distance
Shanghai,4.497421
Nanchang,4.312931
Changsha,4.059507
Yichun,3.930000
Zhuzhou,3.817484
Beijing,3.576297
Guangzhou,3.315318
Xinyu,3.268236
Yingtan,3.109522
Hangzhou,3.016678
Jiaxing,2.828839
Zunyi,2.828839
Jinhua,2.783797
Jiujiang,2.783797
Wuhan,2.783797
Shangrao,2.735113
Shaoguan,2.681938
Nanjing,2.623068
Wuxi,2.623068
Guiyang,2.479886
Huangshan,2.479886
Jian,2.479886
Guilin,2.387423
Hefei,2.387423
Hengyang,2.387423
Huaihua,2.387423
Loudi,2.387423
Nanning,2.387423
Quzhou,2.387423
Shamen,2.387423
Shaoxing,2.387423
Shenzhen,2.387423
Chengdou,2.268226
Chongqing,2.268226
Ganzhou,2.268226
Hong Kong,2.268226
Jiangmen,2.268226
Xi'an,2.268226
Xiangtan,2.268226
Xiangxi,2.268226
Yongzhou,2.268226
Suzhou,2.240997
Chenzhou,2.089856
Dalian,2.089856
Foshan,2.089856
Fuzhou,2.089856
Haixi,2.089856
Heyuan,2.089856
Changzhou,2.089856
Kaifeng,2.089856
Liupanshui,2.089856
Longyan,2.089856
Nanping,2.089856
Ningbo,2.089856
Qiandongnan,2.089856
Qingdao,2.089856
Sanming,2.089856
Shijiazhuang,2.089856
Tianjin,2.089856
Wenzhou,2.089856
Xianning,2.089856
Xiaogan,2.089856
Yiyang,2.089856
Yueyang,2.089856
Zhangjiajie,2.089856
Zhoushan,1.769239
Nantong,1.752677
Changde,1.735904
Jingdezhen,1.717853
Huzhou,1.711211
Sanya,1.706708
Yangzhou,1.659329
Dongguan,1.654137
Taipei,1.652127
Langfang,1.636448
Zhuhai,1.633135
Fuzhou,1.630062
Zhenjiang,1.608919
Kunming,1.601120
Xining,1.600353
Baoding,1.599520
Jinan,1.598083
Qinhuangdao,1.594024
Zhongshan,1.580015
Shenyang,1.574808
Taizhou,1.558644
Macau,1.554140
Zhengzhou,1.550575
Harbin,1.544727
Taiyuan,1.542093
Qingyuan,1.535365
Shaoyang,1.530123
Taizhou,1.529609
Anshun,1.529100
Tangshan,1.526434
Yancheng,1.508472
Zhangjiakou,1.502265
Haikou,1.497522
Huizhou,1.496380
Changchun,1.494163
Lijiang,1.492061
Zhaoqing,1.489344
Chengde,1.488897
Taoyuan,1.479114
Xuzhou,1.473475
Yichang,1.470582
Yantai,1.468500
Luzhou,1.467187
Urumqi,1.465257
Lanzhou,1.457842
Hohhot,1.457842
Lianyungang,1.456100
Huanggang,1.447941
Wuhu,1.437160
Lishui,1.434336
Beihai,1.432889
Huangshi,1.430606
Xuancheng,1.429088
Qiannan,1.422729
Liuzhou,1.422625
Jingzhou,1.422619
Shantou,1.420852
Chongzuo,1.419209
Zhangzhou,1.417762
Cangzhou,1.417689
Weicu,1.417638
Xiangyang,1.412585
Quanzhou,1.412060
Xianyang,1.412053
Leshan,1.407083
Ngawa,1.404385
Tai'an,1.396680
Yangjiang,1.396234
Lhasa,1.393998
Huai'an,1.391833
Chizhou,1.391141
Shiyan,1.390006
Hezhou,1.390006
Datong,1.388265
Tongren,1.388126
Nagqu,1.382871
Yinchuan,1.377887
Weinan,1.377539
Zhanjiang,1.377539
Baoji,1.374921
Qinzhou,1.373474
Luoyang,1.370685
Zibo,1.370098
Anqing,1.368151
Weihai,1.367358
Huludao,1.366535
Bangbu,1.363790
Baotou,1.359903
Baise,1.358880
Fuyang,1.357528
Jining,1.356203
Jinzhong,1.355810
Ili(Yili),1.355735
Chuzhou,1.353028
Hulunbuir,1.351943
Fangchenggang,1.351097
Kaohsiung,1.350460
Dezhou,1.347750
Lu'an,1.346016
Liaocheng,1.345846
Bozhou,1.345846
Ezhou,1.345846
Qujing,1.342441
Meizhou,1.340479
Bijie,1.340204
Jingmen,1.333704
Xinyang,1.332842
Weifang,1.332402
Xinzhou,1.331510
Ma'anshan,1.328527
Chifeng,1.325061
Dali,1.322877
Mianyang,1.320917
Dazhou,1.320917
Hanzhong,1.320917
Anyang,1.320917
Zigong,1.320917
Ningde,1.318140
Shanwei,1.317290
Handan,1.315921
Diqing,1.314941
Linyi,1.314718
Deyang,1.314132
Huainan,1.312832
Jieyang,1.312060
Qianxinan,1.312051
Enshi,1.310533
Ordos,1.309831
Jinzhou,1.309011
Jilin,1.308185
Zaozhuang,1.307818
Guigang,1.307473
Maoming,1.304671
Yan'an,1.303638
Shangqiu,1.302828
Heze,1.301165
Dongying,1.301165
Jiuquan,1.300615
Hengshui,1.300448
Yulin,1.298980
New Taipei,1.298910
Wuzhou,1.298645
Rizhao,1.296562
Dandong,1.288512
Xingtai,1.285475
Yanbian,1.282775
Xilingol,1.282699
Chiayi,1.280974
Tongling,1.280974
Xinxiang,1.280974
Luohe,1.280974
Chaozhou,1.276350
Taichung,1.274317
Qiqihar,1.273894
Jiaozuo,1.272351
Suizhou,1.270697
Daqing,1.267828
Yunfu,1.263944
Fushun,1.262988
Nanchong,1.262384
Yibin,1.262384
Laibin,1.261726
Garze,1.261550
Xiuqian,1.260711
Daqing,1.259956
Yingkou,1.259200
Anshan,1.259073
Panjin,1.255918
Baoting,1.255850
Ya'an,1.253706
Nanyang,1.251596
Xuchang,1.251596
Haibei,1.249361
Ulanqab,1.244266
Nantou,1.240928
Pingdong,1.239548
Suining,1.238142
Pingdingshan,1.238142
Panzhihua,1.238142
Zhumadian,1.238142
Dehong,1.233347
Wanning,1.231832
Binzhou,1.229830
Suihua,1.229286
Baoshan,1.228249
Yangquan,1.227402
Xishuangbanna,1.226671
Huaibei,1.223433
Ankang,1.222095
Tainan,1.222068
Mudanjiang,1.220382
Meishan,1.219333
Guang'an,1.218410
Hualien,1.216601
Xiuzhou,1.216601
Zhaotong,1.214388
Putian,1.212370
Qionghai,1.209861
Sanmenxia,1.205749
Neijiang,1.204169
Changzhi,1.200487
Chaoyang,1.199660
Liangshanzhou,1.199013
Yulin,1.198951
Yuncheng,1.197982
Tongliao,1.196272
Yunlin,1.195421
Shuozhou,1.193644
Shangluo,1.193300
Benxi,1.191848
Jiamusi,1.188143
Kumul(Hami),1.183464
Ziyang,1.182809
Puyang,1.182274
Siping,1.177062
Bayannur,1.175980
Lvliang,1.174885
Tianshui,1.173322
Hinggan,1.172653
Tieling,1.172653
Baishan,1.171514
Zhongwei,1.171514
Alty,1.170587
Linfen,1.170360
Guangyuan,1.168342
Daxinganling,1.168342
Tonghua,1.168342
Nyingchi,1.166524
Jiayuguan,1.164417
Kinmen,1.162399
Yilan,1.162256
Tongchuan,1.161009
Hsinchu,1.155417
Fuxin,1.155121
Jinchang,1.153418
Sansha,1.153418
Gannan,1.150833
Penghu,1.147961
Kashgar,1.145318
Keelung,1.143963
Keramay,1.143146
Liaoyang,1.139855
Wuhai,1.138158
Hebi,1.136424
Turpan,1.132217
Taidong,1.132217
Yichun,1.123884
Jincheng,1.120992
Bayingolin,1.120286
Laiwu,1.116607
Shannan,1.114554
Yuxi,1.112696
Alxa,1.111957
Dongfang,1.110847
Zhangye,1.110481
Aksu,1.105440
Wenchang,1.105440
Jixi,1.105440
Lingshui,1.105440
Miaoli,1.105440
Jiyuan,1.105440
Honghe,1.105440
Pu'er,1.102760
Zhoukou,1.096752
Songyuan,1.096001
Baicheng,1.089821
Qingyang,1.084419
Changji,1.079442
Shizuishan,1.079442
Heihe,1.075621
Dingxi,1.074595
Bazhong,1.073959
Wuzhong,1.071583
Liaoyuan,1.069620
Tacheng,1.066914
Pingliang,1.061138
Baiyin,1.057851
Qamdo,1.052591
Shuangyashan,1.052591
Yushuzhou,1.049764
Hotan,1.048485
Lincang,1.048485
Danzhou,1.046640
Wuwei,1.043318
Haidong,1.043318
Bortala,1.043318
Changhua,1.043318
Huangnan,1.033780
Hegang,1.033780
Qitaihe,1.017355
Guyuan,1.014674
Golog,1.009873
Wenshan,1.008689
Linxia,1.007212
Longnan,1.007212
Dingan,1.000982
Ngari,0.986780
Chengmai,0.979844
Wuzhishan,0.965366
Changjiang,0.964648
Nujiang,0.964648
Ledong,0.952062
Kezilsu,0.897319
Qiongzhong,0.844151
