city,distance
Kunming,5.577024
Xishuangbanna,5.332851
Shanghai,3.652415
Yuxi,3.538394
Lijiang,3.211095
Honghe,3.023130
Beijing,2.948536
Dali,2.948536
Macau,2.768835
Tianjin,2.654068
Wuhan,2.654068
Guiyang,2.507576
Lincang,2.507576
Baoshan,2.291370
Guangzhou,2.291370
Haikou,2.291370
Hangzhou,2.291370
Harbin,2.291370
Hohhot,2.291370
Huaihua,2.291370
Hualien,2.291370
Jinhua,2.291370
Jiuquan,2.291370
Liuzhou,2.291370
Luoyang,2.291370
Qiqihar,2.291370
Qujing,2.291370
Alxa,2.291370
Shenzhen,2.291370
Weicu,2.291370
Xiaogan,2.291370
Suzhou,2.009356
Chengdou,1.999974
Diqing,1.916017
Chongqing,1.913202
Hong Kong,1.786096
Jiaxing,1.783900
Changsha,1.767806
Nanjing,1.760201
Wuxi,1.755200
Xi'an,1.754593
Zhuhai,1.732175
Shamen,1.731463
Dehong,1.721319
Changzhou,1.700933
Ningbo,1.700018
Jinan,1.697814
Liangshanzhou,1.668747
Wenzhou,1.663997
Qingdao,1.660339
Nanning,1.656605
Wenshan,1.646922
Urumqi,1.646744
Changde,1.630246
Zhoushan,1.621648
Hefei,1.621275
Zhengzhou,1.616610
Nantong,1.607723
Yinchuan,1.604934
Taipei,1.589012
Lhasa,1.588378
Meizhou,1.588378
Zhaotong,1.588378
Huzhou,1.572764
Panzhihua,1.570688
Sanya,1.568959
Guilin,1.564335
Jiayuguan,1.559321
Taidong,1.551371
Shaoxing,1.548630
Fuzhou,1.543594
Anshun,1.539583
Liupanshui,1.532089
Lanzhou,1.529577
Yangzhou,1.528830
Beihai,1.522067
Mudanjiang,1.522067
Qinhuangdao,1.522067
Shijiazhuang,1.522067
Taiyuan,1.522067
Zhongshan,1.522067
Qiandongnan,1.497695
Nanchang,1.496287
Xiangxi,1.492100
Langfang,1.491175
Qianxinan,1.491132
Zhenjiang,1.485934
Dalian,1.485786
Baise,1.480231
Yibin,1.480231
Zunyi,1.476853
Shenyang,1.474451
Huangshan,1.472803
Nujiang,1.468422
Foshan,1.467435
Daqing,1.461710
Baoding,1.460451
Taizhou,1.442949
Hengyang,1.439615
Hezhou,1.439615
Huai'an,1.439615
Huizhou,1.439615
Leshan,1.439615
Chongzuo,1.439615
Mianyang,1.439615
Qamdo,1.439615
Tainan,1.439615
Tongling,1.439615
Changchun,1.439615
Chengde,1.439615
Xilingol,1.439615
Xinyang,1.439615
Yingkou,1.439615
Yingtan,1.439615
Haibei,1.439615
Datong,1.439615
Zigong,1.439615
Baotou,1.439384
Qionghai,1.438791
Yichang,1.433566
