city,distance
Fuzhou,5.590710
Shamen,4.659720
Quanzhou,4.310604
Shanghai,4.109527
Ningde,2.946742
Wenzhou,2.924975
Zhangzhou,2.830018
Beijing,2.803903
Hangzhou,2.776626
Nanjing,2.717999
Guangzhou,2.616700
Nanping,2.536304
Longyan,2.439668
Shenzhen,2.439668
Zibo,2.439668
Hong Kong,2.315334
Ningbo,2.315334
Sanming,2.315334
Xi'an,2.315334
Suzhou,2.234534
Wuhan,2.234534
Dongguan,2.129780
Hefei,2.129780
Jiaxing,2.129780
Jinan,2.129780
Jiujiang,2.129780
Lishui,2.129780
Sanya,2.129780
Shantou,2.129780
Shaoxing,2.129780
Taizhou,2.129780
Tianjin,2.129780
Yichang,2.129780
Zhoushan,2.129780
Changsha,1.971762
Changzhou,1.971762
Chaozhou,1.971762
Chengdou,1.971762
Danzhou,1.971762
Guilin,1.971762
Heyuan,1.971762
Huangshan,1.971762
Huizhou,1.971762
Huzhou,1.971762
Kaohsiung,1.971762
Kunming,1.971762
Lijiang,1.971762
Baise,1.971762
Nanning,1.971762
Qingdao,1.971762
Qinhuangdao,1.971762
Shanwei,1.971762
Taoyuan,1.971762
Xuzhou,1.971762
Yingtan,1.971762
Yuxi,1.971762
Zhengzhou,1.971762
Wuxi,1.854320
Nanchang,1.739672
Nantong,1.690494
Chongqing,1.683233
Taipei,1.617134
Yangzhou,1.603487
Foshan,1.594383
Jinhua,1.580726
Zhenjiang,1.556365
Dalian,1.548965
Haikou,1.533781
Weifang,1.532944
Shenyang,1.526418
Kinmen,1.524313
Taizhou,1.509273
Macau,1.505050
Hualien,1.499822
Shangrao,1.499822
Zhuhai,1.499822
Harbin,1.496220
Guiyang,1.491982
Yancheng,1.462181
Langfang,1.453263
Changchun,1.448733
Taiyuan,1.444542
Taichung,1.432705
Xianyang,1.430168
Shijiazhuang,1.425127
Yantai,1.424594
Baoding,1.424066
Jieyang,1.421555
Urumqi,1.421542
Luoyang,1.419699
Lanzhou,1.414562
Lianyungang,1.412921
Zhangjiajie,1.409508
Dezhou,1.403591
Zhongshan,1.401668
Wuhu,1.395081
Weinan,1.394773
Baoji,1.392090
Diqing,1.390541
Ganzhou,1.390479
Fuzhou,1.388904
Xuancheng,1.387474
Binzhou,1.386061
Pingdong,1.382819
Jiangmen,1.377779
Jingdezhen,1.370070
Anqing,1.370070
Quzhou,1.370070
Tangshan,1.365843
Dongying,1.362889
Xiuqian,1.355063
Hohhot,1.354587
Lhasa,1.354374
Dali,1.354160
Huai'an,1.352330
Chizhou,1.351677
Chongzuo,1.351125
Tai'an,1.348101
New Taipei,1.347703
Qingyuan,1.347703
Ngawa,1.346660
Zhangjiakou,1.346459
Tainan,1.343114
Linyi,1.335838
Chengde,1.335711
Yinchuan,1.334785
Zhaoqing,1.329845
Weihai,1.329213
Ma'anshan,1.326802
Bangbu,1.325841
Xining,1.322506
Beihai,1.322365
Jingzhou,1.319922
Liuzhou,1.319922
Miaoli,1.319922
Taidong,1.319922
Wuzhou,1.319922
Xiangxi,1.319922
Jiamusi,1.319922
Xinxiang,1.319922
Yan'an,1.319062
Chuzhou,1.315668
Shaoguan,1.312993
Wanning,1.311344
Honghe,1.309592
Nanyang,1.305987
Jining,1.303952
Enshi,1.297464
Xianning,1.296805
Hechi,1.296740
Jian,1.291366
Meizhou,1.290887
Leshan,1.287038
Chiayi,1.286565
Kaifeng,1.283638
Fuyang,1.282656
Mianyang,1.282656
Qiandongnan,1.282656
Sansha,1.282656
Dandong,1.282656
Garze,1.282656
Shiyan,1.282656
Tongling,1.282656
Xiangyang,1.282656
Xishuangbanna,1.282656
Yichun,1.282656
Yueyang,1.282656
Zigong,1.282656
Yunlin,1.280356
Cangzhou,1.278118
Zaozhuang,1.272880
Qionghai,1.272022
Nantou,1.269493
Anshan,1.269493
Zhuzhou,1.269493
Jingmen,1.266652
Rizhao,1.262216
Lu'an,1.260075
Baotou,1.259684
Huanggang,1.258055
Liangshanzhou,1.257873
Yangjiang,1.255110
Hanzhong,1.254585
Datong,1.254154
Dezhou,1.253633
Jiuquan,1.251957
Xiaogan,1.251547
Huangshi,1.249983
Yanbian,1.249145
Weicu,1.247935
Xiangtan,1.246962
Laiwu,1.246084
Huludao,1.244784
Zhanjiang,1.239983
Ankang,1.235640
Chengmai,1.235515
Huainan,1.230947
Hsinchu,1.227756
Jinzhong,1.227606
Hulunbuir,1.226785
Qinzhou,1.224920
Ordos,1.224231
Neijiang,1.223599
Pingdingshan,1.223599
Jinzhou,1.223599
Qiqihar,1.223599
Longnan,1.223599
Nanchong,1.223599
Shangqiu,1.223599
Hengyang,1.223599
Huaihua,1.223599
Suining,1.223599
Changhua,1.223599
Ezhou,1.223599
Jiaozuo,1.223599
Bazhong,1.223599
Wuwei,1.223599
Kashgar,1.223599
Maoming,1.223599
Xinyang,1.223599
