city,distance
Shanghai,5.553604
Nanning,4.891715
Beijing,3.618320
Guilin,3.500169
Fangchenggang,3.258706
Chongzuo,3.174997
Guangzhou,3.124627
Zhanjiang,2.909767
Qinzhou,2.881311
Shenzhen,2.836158
Chongqing,2.696467
Chengdou,2.676371
Haikou,2.633809
Changsha,2.562667
Hangzhou,2.536516
Liuzhou,2.536516
Baise,2.536516
Suzhou,2.479480
Kunming,2.377566
Tianjin,2.377566
Hong Kong,2.337283
Yangjiang,2.292445
Zhuhai,2.292445
Ngawa,2.269046
Sanya,2.241584
Shamen,2.241584
Shijiazhuang,2.241584
Wuhan,2.241584
Hechi,2.182325
Nanjing,2.182325
Yulin,2.182325
Jiaxing,2.142056
Honghe,2.110398
Shaoxing,2.110398
Xining,2.110398
Wuxi,2.100808
Changzhou,2.023536
Ningbo,2.022241
Dali,2.016716
Dalian,2.016716
Fuzhou,2.016716
Ganzhou,2.016716
Guigang,2.016716
Haibei,2.016716
Changchun,2.016716
Jinhua,2.016716
Nanchang,2.016716
Nanyang,2.016716
Qingdao,2.016716
Qionghai,2.016716
Baoding,2.016716
Xi'an,2.016716
Xishuangbanna,2.016716
Yichang,2.016716
Zhengzhou,2.016716
Zhoushan,2.016716
Nantong,1.892974
Dongguan,1.874469
Foshan,1.874469
Chiayi,1.874469
Harbin,1.874469
Hengyang,1.874469
Huangshan,1.874469
Huizhou,1.874469
Jiangmen,1.874469
Jinan,1.874469
Lanzhou,1.874469
Linyi,1.874469
Maoming,1.874469
Qiannan,1.874469
Qianxinan,1.874469
Shuozhou,1.874469
Baotou,1.874469
Tai'an,1.874469
Taipei,1.874469
Taizhou,1.874469
Tongliao,1.874469
Tongren,1.874469
Urumqi,1.874469
Weinan,1.874469
Xiangtan,1.874469
Xianning,1.874469
Xuzhou,1.874469
Yancheng,1.874469
Yueyang,1.874469
Yunfu,1.874469
Yuxi,1.874469
Zhangjiakou,1.874469
Zhoukou,1.874469
Huzhou,1.844695
Hezhou,1.786146
Yangzhou,1.784545
Wuzhou,1.774276
Laibin,1.729713
Zhenjiang,1.726373
Hefei,1.706357
Wenzhou,1.700356
Shenyang,1.672115
Taizhou,1.668622
Macau,1.663461
Langfang,1.645191
Qinhuangdao,1.602319
Lijiang,1.592540
Taoyuan,1.577800
Shangrao,1.565873
Yantai,1.565727
Haixi,1.556911
Leshan,1.554105
Taiyuan,1.554089
Lianyungang,1.551639
Ngawa,1.550815
Zhangjiajie,1.547524
Zhongshan,1.535359
Tangshan,1.534039
Wuhu,1.530150
Xuancheng,1.521004
Quanzhou,1.501729
Chengde,1.496131
Hohhot,1.481572
Lhasa,1.481317
Huai'an,1.478873
Nanping,1.478743
Chizhou,1.478092
Dezhou,1.474570
Qingyuan,1.467022
Zhuzhou,1.462670
Yinchuan,1.457916
Quzhou,1.456704
Jiujiang,1.456094
Anshun,1.455709
Luoyang,1.455020
Zhaoqing,1.454517
Weihai,1.451271
Lishui,1.449036
Bangbu,1.447253
Wanning,1.443836
Xiangxi,1.442516
Deyang,1.441492
Chuzhou,1.435139
Yingtan,1.433883
Kaohsiung,1.432250
Shaoguan,1.429601
Wenchang,1.425735
Cangzhou,1.424246
Jining,1.421210
Datong,1.420871
Yongzhou,1.420495
Mianyang,1.418766
Qiandongnan,1.418204
Jingdezhen,1.408703
Ma'anshan,1.407604
Jian,1.406272
Zunyi,1.399503
Weicu,1.399069
New Taipei,1.396706
Anqing,1.396530
Diqing,1.392361
Changde,1.388982
Jilin,1.384908
Shantou,1.384637
Ningde,1.384378
Zaozhuang,1.384378
