city,distance
Zhengzhou,4.811284
Beijing,4.658976
Liaocheng,3.645915
Anyang,3.458079
Kaifeng,3.350004
Shanghai,3.311141
Heze,3.086209
Luoyang,3.086209
Dazhou,3.032676
Hebi,3.032676
Jinan,3.032676
Shangqiu,3.032676
Xinxiang,3.032676
Tianjin,2.974988
Zhenjiang,2.974988
Zhumadian,2.912184
Zhoukou,2.765098
Cangzhou,2.675481
Chengdou,2.568173
Hefei,2.568173
Hengshui,2.568173
Jiaozuo,2.568173
Qingdao,2.568173
Taiyuan,2.568173
Wuhan,2.568173
Xuchang,2.568173
Dongying,2.430764
Jining,2.430764
Songyuan,2.430764
Baoding,2.430764
Zibo,2.430764
Changsha,2.227062
Chongqing,2.227062
Guangzhou,2.227062
Haikou,2.227062
Handan,2.227062
Huanggang,2.227062
Jian,2.227062
Jiyuan,2.227062
Lanzhou,2.227062
Lijiang,2.227062
Lu'an,2.227062
Nanjing,2.227062
Nanyang,2.227062
Shenyang,2.227062
Shenzhen,2.227062
Shijiazhuang,2.227062
Suzhou,2.227062
Tai'an,2.227062
Taizhou,2.227062
Changchun,2.227062
Xingtai,2.227062
Xining,2.227062
Xinyang,2.227062
Yantai,2.227062
Zhangjiajie,2.227062
Xi'an,1.921208
Hong Kong,1.844191
Hangzhou,1.843278
Langfang,1.831166
Qinhuangdao,1.778209
Pingdingshan,1.767879
Shamen,1.751234
Xuzhou,1.746545
Yangzhou,1.740019
Dezhou,1.715438
Dalian,1.714553
Luohe,1.704334
Jiaxing,1.698402
Tangshan,1.694507
Nanchong,1.690188
Harbin,1.688784
Ankang,1.687239
Sanmenxia,1.684809
Wuxi,1.672367
Changzhou,1.667533
Zhangjiakou,1.664773
Guang'an,1.654866
Chengde,1.648373
Sanya,1.646696
Kunming,1.638236
Taipei,1.627037
Ningbo,1.622196
Yinchuan,1.619253
Hohhot,1.610394
Jinzhong,1.600594
Jinzhou,1.577457
Nanchang,1.571698
Jilin,1.566104
Urumqi,1.565343
Xiangxi,1.560985
Guiyang,1.551112
Zhoushan,1.550686
Weifang,1.549883
Bozhou,1.546929
Fuzhou,1.543410
Guilin,1.538260
Nantong,1.537949
Zhongshan,1.525923
Datong,1.525916
Leshan,1.516992
Taoyuan,1.515370
Ngawa,1.513858
Diqing,1.512846
Nanning,1.512293
Huzhou,1.505928
Xiuzhou,1.501942
Jiujiang,1.500223
Huludao,1.499703
Zhuhai,1.498704
Baotou,1.491720
Lhasa,1.487448
Weinan,1.487021
Shaoxing,1.483787
Hulunbuir,1.482148
Xinzhou,1.481811
Baoji,1.479314
Rizhao,1.478273
Xiangyang,1.475298
Jincheng,1.471163
Dali,1.469882
Weihai,1.467957
Linyi,1.466610
Zaozhuang,1.458302
Ordos,1.457967
Chuzhou,1.457967
Bangbu,1.457967
Fuyang,1.452267
Macau,1.449900
Chifeng,1.449900
Jinhua,1.446163
Wuhu,1.443759
Foshan,1.440791
Bazhong,1.440303
Wenzhou,1.438656
Changzhi,1.438121
Shiyan,1.425420
Haixi,1.424908
Nanping,1.420059
Anqing,1.416835
Binzhou,1.416249
Huangshan,1.414034
Xiaogan,1.414001
Qionghai,1.413168
Baicheng,1.409564
Deyang,1.409508
Suining,1.408618
Enshi,1.408618
Lianyungang,1.408225
Yichang,1.408127
Dandong,1.406252
Xianning,1.402550
Yuncheng,1.401311
Xilingol,1.399332
Yueyang,1.393994
Chizhou,1.390881
Qiqihar,1.388860
Mianyang,1.387772
Haibei,1.387393
Ganzhou,1.377017
Fushun,1.375906
Quanzhou,1.372829
Daqing,1.372309
Anshan,1.371261
Panjin,1.367520
Huainan,1.365687
Jingzhou,1.364091
Taizhou,1.363470
Yanbian,1.363095
Huai'an,1.360820
Liangshanzhou,1.357121
Dongguan,1.356663
Jiuquan,1.356539
Loudi,1.355844
Ezhou,1.355738
Lvliang,1.355415
Yingkou,1.354930
Xiuqian,1.354706
Ulanqab,1.353716
Laiwu,1.350585
Garze,1.349191
Xianyang,1.348893
Yan'an,1.348089
Huangshi,1.347941
Zhuzhou,1.346829
Yancheng,1.346650
Xiangtan,1.344429
Yangquan,1.344304
Ya'an,1.340224
Linfen,1.337957
Hengyang,1.337358
Kaohsiung,1.337358
Tianshui,1.337358
Chenzhou,1.336834
Shangrao,1.333779
Mudanjiang,1.325493
Liuzhou,1.323919
Beihai,1.319056
Tongling,1.316659
Wanning,1.312433
Huizhou,1.309998
Guangyuan,1.309181
New Taipei,1.308633
Chaoyang,1.301084
Meishan,1.301017
Wenchang,1.297461
Tongliao,1.297100
Jingdezhen,1.296080
Shuozhou,1.294011
Dingxi,1.293230
Zhangzhou,1.293230
Benxi,1.291900
Siping,1.287909
Jiamusi,1.287547
Changde,1.284100
Neijiang,1.283768
Xuancheng,1.283025
Liaoyang,1.282675
Jingmen,1.282131
Gannan,1.280215
Yulin,1.277034
Longyan,1.273283
Taichung,1.273277
Bayannur,1.273277
Yichun,1.272853
Ili(Yili),1.270694
Tieling,1.269377
Hinggan,1.269377
Jiayuguan,1.268598
Baishan,1.268043
Zhongwei,1.268043
Tonghua,1.267360
Jieyang,1.266691
Baoshan,1.263932
Jiangmen,1.261563
Wuwei,1.260313
Huaibei,1.260313
Ziyang,1.259519
Shaoguan,1.258520
Luzhou,1.258520
Longnan,1.258520
Zunyi,1.258214
Xishuangbanna,1.258174
Yibin,1.256681
Alty,1.254409
Yongzhou,1.254409
Qiandongnan,1.253627
Zhanjiang,1.253627
Ma'anshan,1.253435
Nagqu,1.251881
Zigong,1.250708
Fuxin,1.248859
Kumul(Hami),1.248457
Hanzhong,1.248457
Pingdong,1.245547
Weicu,1.245223
Linxia,1.244346
Danzhou,1.241525
Haidong,1.241155
Quzhou,1.240358
Huangnan,1.239728
Zhangye,1.239514
Yiyang,1.238874
Keramay,1.234874
Qingyuan,1.233598
Dehong,1.232973
Hezhou,1.232973
Lishui,1.231434
Ningde,1.231035
Nantou,1.229055
Wuhai,1.229055
Shantou,1.229055
Baiyin,1.227192
Hualien,1.227034
Pingxiang,1.224968
Anshun,1.224968
Suizhou,1.223795
Maoming,1.223599
Daxinganling,1.222856
Zhaoqing,1.221257
Yingtan,1.220473
Tainan,1.215066
Kashgar,1.215066
Nyingchi,1.213893
Suihua,1.209062
Chengmai,1.208499
Chiayi,1.206548
Xinyu,1.201441
Alxa,1.198557
Shangluo,1.197443
Lingshui,1.196602
Taidong,1.195728
Dingan,1.195177
Huaihua,1.192806
Turpan,1.189784
Bayingolin,1.189784
Sanming,1.189784
Keelung,1.186655
Honghe,1.180041
Jinchang,1.177214
Heyuan,1.176994
Jixi,1.176535
Panzhihua,1.174335
Shaoyang,1.167912
Yichun,1.165064
Hsinchu,1.165064
Ledong,1.162471
Hechi,1.161941
Laibin,1.161941
Wuzhong,1.161941
Liupanshui,1.161941
Yangjiang,1.161941
Chaozhou,1.161941
Aksu,1.161941
Changji,1.161941
Sansha,1.161941
Putian,1.161941
Shizuishan,1.160867
Qinzhou,1.160867
Yilan,1.156449
Heihe,1.156449
Qujing,1.151782
Baise,1.149379
Yushuzhou,1.149229
Liaoyuan,1.143294
Qianxinan,1.141568
Chongzuo,1.141568
Bijie,1.135933
Shannan,1.135933
Pingliang,1.135800
Fangchenggang,1.130621
Shuangyashan,1.129871
Qamdo,1.129871
Fuzhou,1.127077
Yuxi,1.123304
Baoting,1.119318
Maoming,1.117623
Wuzhou,1.116133
Guigang,1.116133
Qiannan,1.116133
Hegang,1.108224
Changjiang,1.107751
Dongfang,1.107751
Tongren,1.106655
Shanwei,1.104643
Pu'er,1.101730
Hotan,1.099392
Miaoli,1.099392
Changhua,1.099392
Wuzhishan,1.098926
Qingyang,1.094042
Tongchuan,1.091895
Yunlin,1.091481
Qitaihe,1.089370
Golog,1.075513
Yulin,1.072522
Yunfu,1.065455
Bortala,1.063860
Guyuan,1.063860
Penghu,1.063860
Zhaotong,1.063860
Kinmen,1.063860
Ngari,1.050641
Lincang,1.046473
Wenshan,1.046473
Qiongzhong,1.035332
Nujiang,1.022911
Tacheng,0.971764
Kezilsu,0.939575
