city,distance
Nyingchi,5.486749
Lhasa,5.062199
Garze,4.595517
Diqing,3.717935
Chengdou,3.087534
Beijing,3.043152
Nujiang,2.995979
Nagqu,2.607404
Dali,2.505383
Lijiang,2.505383
Ngawa,2.505383
Shanghai,2.389953
Changchun,2.374440
Chongqing,2.374440
Ya'an,2.316259
Changzhou,2.222262
Shannan,2.198301
Baoshan,2.179690
Guiyang,2.179690
Hangzhou,2.179690
Kunming,2.179690
Lanzhou,2.179690
Meishan,2.179690
Mianyang,2.179690
Nanping,2.179690
Wenzhou,2.179690
Wuhan,2.179690
Xi'an,2.179690
Xishuangbanna,2.179690
Xining,2.020326
Haixi,1.932967
Ngari,1.781096
Guangzhou,1.753560
Tianjin,1.746004
Leshan,1.684352
Ningbo,1.618661
Wuxi,1.618661
Nanjing,1.607953
Liangshanzhou,1.580436
Hong Kong,1.580272
Zhengzhou,1.572561
Suzhou,1.556908
Deyang,1.552871
Jiaxing,1.549125
Shenzhen,1.549125
Shenyang,1.547077
Jilin,1.544722
Weicu,1.521616
Langfang,1.514997
Dazhou,1.504412
Qingdao,1.498044
Taiyuan,1.498044
Baoding,1.483294
Jinan,1.482057
Shijiazhuang,1.479805
Qinhuangdao,1.478566
Jiuquan,1.477486
Urumqi,1.477486
Xianyang,1.477486
Dehong,1.475146
Fuzhou,1.463629
Shamen,1.461830
Tianshui,1.461830
Nanchong,1.444300
Haibei,1.444163
Luoyang,1.444163
Bangbu,1.444163
Baoji,1.444163
Gannan,1.437070
Dalian,1.434289
Harbin,1.427840
Yangzhou,1.423811
Tangshan,1.420234
Dongguan,1.418106
Jincheng,1.418106
Changsha,1.418106
Anshun,1.418106
Taizhou,1.418106
Xinyang,1.418106
Yancheng,1.418106
Yuncheng,1.418106
Zhangjiajie,1.418106
Zhenjiang,1.418106
Neijiang,1.401623
Xiangyang,1.399798
Xuzhou,1.399798
Yushuzhou,1.399798
Zhangjiakou,1.399287
Pu'er,1.394718
Chengde,1.387682
Sanya,1.386494
Suining,1.383049
Qiandongnan,1.374226
Ziyang,1.372768
Taipei,1.372530
Hohhot,1.369729
Kashgar,1.369729
Macau,1.369729
Nanning,1.369729
Zigong,1.362308
Zunyi,1.356659
Hefei,1.346923
Weinan,1.344375
Yibin,1.343267
Yanbian,1.342744
Guangyuan,1.341413
Siping,1.335858
Luzhou,1.335169
Nanchang,1.332939
Yantai,1.332490
Huizhou,1.329757
Huludao,1.329757
Huzhou,1.329757
Guilin,1.329757
Panzhihua,1.329757
Baiyin,1.329757
Chizhou,1.329757
Shuozhou,1.329757
Enshi,1.329757
Golog,1.329757
Jingzhou,1.329641
Kumul(Hami),1.329641
Nantong,1.329641
Foshan,1.329641
Sanmenxia,1.329641
Chongzuo,1.329641
Wuhu,1.329641
Hezhou,1.329641
Haidong,1.329641
Zhongwei,1.329641
Cangzhou,1.325625
Qiannan,1.318546
Zhangzhou,1.316990
Zhoushan,1.313572
Sanming,1.312128
Tai'an,1.307238
Datong,1.299864
Baishan,1.293069
Taoyuan,1.292203
Yinchuan,1.290761
Shaoxing,1.286047
Yichang,1.282772
Haikou,1.281373
Songyuan,1.281321
Tonghua,1.281321
Gannan,1.280215
Zhuhai,1.280065
Ningde,1.278226
Xianning,1.278141
Baotou,1.274967
Yan'an,1.273899
Jinzhong,1.271368
Yuxi,1.269307
Jinhua,1.268952
Hulunbuir,1.267967
Chuzhou,1.266285
Liaocheng,1.266285
Dongying,1.266285
Ma'anshan,1.266285
Anshan,1.266285
Qujing,1.266285
Rizhao,1.266285
Shangqiu,1.266285
Shangrao,1.266285
Huangnan,1.266285
Huangshan,1.266285
Jingdezhen,1.266285
Dandong,1.266285
Wuwei,1.266285
