city,distance
Guiyang,6.292688
Qiandongnan,4.812586
Shanghai,3.625855
Changsha,2.939787
Beijing,2.848560
Qianxinan,2.797605
Zunyi,2.741998
Chongqing,2.611214
Nanning,2.611214
Anshun,2.611214
Guilin,2.531150
Liuzhou,2.531150
Hechi,2.434899
Kunming,2.434899
Ningbo,2.434899
Tongren,2.434899
Chengdou,2.311038
Liupanshui,2.311038
Shenzhen,2.311038
Wuwei,2.311038
Wuxi,2.311038
Xi'an,2.311038
Changchun,2.126145
Changzhou,2.126145
Foshan,2.126145
Guangzhou,2.126145
Hangzhou,2.126145
Huaihua,2.126145
Jining,2.126145
Lijiang,2.126145
Luzhou,2.126145
Meishan,2.126145
Nanchang,2.126145
Nantong,2.126145
Qingyuan,2.126145
Qujing,2.126145
Sanya,2.126145
Shenyang,2.126145
Shizuishan,2.126145
Tianjin,2.126145
Wuhan,2.126145
Beihai,2.126145
Xiangxi,2.126145
Xiangyang,2.126145
Xinyu,2.126145
Yingtan,2.126145
Zhuhai,2.126145
Suzhou,2.001291
Nanjing,1.843243
Bijie,1.834702
Shamen,1.778978
Jiaxing,1.777541
Weifang,1.763485
Zhengzhou,1.759426
Hong Kong,1.745339
Hefei,1.737839
Loudi,1.671107
Lanzhou,1.652557
Jinan,1.646534
Yinchuan,1.620211
Zhoushan,1.616392
Qingdao,1.614335
Fuzhou,1.605256
Zhuzhou,1.586509
Xiangtan,1.574929
Hohhot,1.574636
Huzhou,1.567819
Dali,1.563010
Taiyuan,1.563010
Baise,1.557650
Haikou,1.550471
Urumqi,1.550471
Shaoxing,1.543836
Zhangjiajie,1.539944
Jinhua,1.536842
Yueyang,1.529372
Yangzhou,1.524156
Shijiazhuang,1.521887
Taipei,1.518078
Hengyang,1.515648
Quanzhou,1.505281
Yantai,1.505281
Chongzuo,1.495395
Changde,1.492773
Leshan,1.486700
Jiangmen,1.486555
Zhenjiang,1.481519
Dalian,1.474812
Shaoyang,1.470464
Ganzhou,1.470464
Huangshan,1.468466
Diqing,1.465591
Langfang,1.465169
Harbin,1.465000
Mianyang,1.465000
Dongguan,1.465000
Wenzhou,1.462318
Macau,1.449144
Jinchang,1.444965
Qinzhou,1.444705
Baoji,1.442839
Jiuquan,1.440353
Luoyang,1.439454
Nanchong,1.439454
Pingxiang,1.439454
Guigang,1.439454
Fangchenggang,1.439454
Xishuangbanna,1.439454
Laibin,1.438989
Taizhou,1.438786
Jilin,1.435650
Zhangye,1.435576
Baoding,1.435496
Qinhuangdao,1.431068
Xianyang,1.428527
Yiyang,1.427164
Tai'an,1.424043
Wuhai,1.423199
Ngawa,1.420680
Shangrao,1.420023
Weicu,1.418726
Taizhou,1.414009
Yichun,1.411027
Shaoguan,1.407806
Taoyuan,1.407806
Xining,1.407806
Yibin,1.407806
Zhanjiang,1.407806
Zhongshan,1.407806
Yancheng,1.395927
Anqing,1.393367
Hezhou,1.393367
Ordos,1.393367
Tangshan,1.393367
Jian,1.393367
Xinxiang,1.393367
Ya'an,1.393367
Dezhou,1.393367
Zibo,1.393367
Weinan,1.393213
Shiyan,1.392600
Jiujiang,1.384163
Chenzhou,1.369532
Xuzhou,1.365905
Kaifeng,1.365493
Kashgar,1.365493
Liangshanzhou,1.365493
Pingdong,1.365493
Pu'er,1.365493
Qionghai,1.365493
Changzhi,1.365493
Garze,1.365493
Jinzhong,1.365493
Xianning,1.365493
Yangjiang,1.365493
Yuxi,1.365493
Anyang,1.365493
Fuzhou,1.365493
Yulin,1.362516
Zhangjiakou,1.356673
Baoshan,1.352250
Lianyungang,1.350962
Wuzhou,1.347443
Chengde,1.345761
Zaozhuang,1.342876
Wuhu,1.334643
Neijiang,1.330331
Lhasa,1.329980
Deyang,1.328389
Xuancheng,1.327679
Yan'an,1.317667
Honghe,1.316181
Guang'an,1.310904
Wanning,1.309965
Yichang,1.309537
Huizhou,1.301028
Fushun,1.301000
Longyan,1.298760
Dazhou,1.298760
Lu'an,1.298760
Ma'anshan,1.298760
Maoming,1.298760
Mudanjiang,1.298760
Huai'an,1.298760
Nanping,1.298760
Nanyang,1.298760
Linyi,1.298760
Nyingchi,1.298760
Qamdo,1.298760
Ankang,1.298760
Fuyang,1.298760
Chaozhou,1.298760
Datong,1.298760
Hulunbuir,1.298760
Jieyang,1.298760
Weihai,1.298760
Bayingolin,1.298760
Jinzhou,1.298760
Jingdezhen,1.298760
Xinzhou,1.298760
Baotou,1.298760
Enshi,1.298760
Yulin,1.298760
Dehong,1.298760
Yuncheng,1.298760
Liaocheng,1.298760
Zhangzhou,1.298760
Jiaozuo,1.298760
Zhaotong,1.298760
Dandong,1.298760
Zhongwei,1.298760
Laiwu,1.298760
Ziyang,1.298760
Chizhou,1.294864
Anshan,1.291199
Quzhou,1.290858
Yongzhou,1.289863
Cangzhou,1.287317
Wenshan,1.285512
Zhongwei,1.284028
Dingxi,1.282990
Lishui,1.272511
Suining,1.270657
Tianshui,1.263355
Jiayuguan,1.263355
Suizhou,1.263299
Chuzhou,1.261781
Yanbian,1.259563
Kaohsiung,1.259548
