city,distance
Xi'an,5.502073
Ngawa,4.583261
Lanzhou,4.079381
Chengdou,3.944717
Xianyang,3.536518
Pingliang,3.434864
Beijing,3.321928
Yan'an,3.041722
Nanjing,2.850851
Shanghai,2.850851
Baiyin,2.574657
Baoji,2.574657
Bayingolin,2.574657
Dingxi,2.574657
Guangyuan,2.574657
Jiuquan,2.574657
Shenzhen,2.574657
Tianjin,2.574657
Yinchuan,2.574657
Weinan,2.142204
Xining,1.993461
Chongqing,1.986042
Gannan,1.942107
Leshan,1.910874
Guyuan,1.897173
Zhengzhou,1.888368
Hangzhou,1.850579
Guangzhou,1.844017
Wuhan,1.839084
Hanzhong,1.828411
Luoyang,1.805417
Mianyang,1.800662
Urumqi,1.791516
Ankang,1.788450
Tianshui,1.779783
Lhasa,1.753234
Deyang,1.743408
Suzhou,1.740181
Yulin,1.739315
Garze,1.731345
Shangluo,1.727447
Taiyuan,1.717256
Jiayuguan,1.711200
Sanmenxia,1.704801
Shamen,1.700465
Hong Kong,1.692406
Wuwei,1.689922
Qingdao,1.677175
Kunming,1.670101
Shijiazhuang,1.669068
Changsha,1.668029
Linxia,1.667366
Tongchuan,1.660589
Zhangye,1.658702
Jinan,1.639927
Ya'an,1.638631
Shenyang,1.631199
Dalian,1.629916
Linfen,1.628141
Hefei,1.627321
Wuxi,1.624687
Neijiang,1.616362
Haixi,1.613509
Ili(Yili),1.611988
Nanchang,1.602031
Xuzhou,1.602031
Zhongwei,1.601617
Guiyang,1.595862
Jinzhong,1.594283
Nanchong,1.590771
Harbin,1.582793
Langfang,1.581051
Meishan,1.580401
Yuncheng,1.575847
Guilin,1.572260
Sanya,1.570437
Jiaxing,1.568503
Lijiang,1.568370
Changzhou,1.557922
Jinchang,1.549003
Baoding,1.546554
Liangshanzhou,1.546432
Qinhuangdao,1.541416
Suining,1.532190
Fuzhou,1.531085
Turpan,1.526801
Aksu,1.523342
Shizuishan,1.522806
Zhenjiang,1.520940
Ziyang,1.519582
Ningbo,1.518819
Shiyan,1.513618
Zigong,1.506775
Ordos,1.502635
Nanning,1.499757
Hohhot,1.496820
Bangbu,1.496820
Nagqu,1.495258
Taipei,1.490762
Yibin,1.483516
Zhongshan,1.481871
Dongguan,1.478236
Tangshan,1.478125
Kaifeng,1.474391
Nanyang,1.474391
Luzhou,1.473645
Yangzhou,1.469563
Jining,1.461969
Ningde,1.461969
Haikou,1.455856
Zhangjiakou,1.455450
Changchun,1.447680
Haibei,1.447613
Jilin,1.446871
Dazhou,1.443523
Wenzhou,1.443399
Wuzhong,1.442910
Chengde,1.442899
Longnan,1.441801
Zhoushan,1.441675
Shangqiu,1.438976
Zhuhai,1.438976
Shaoxing,1.434402
Xiangxi,1.434402
Nantong,1.430659
Jiaozuo,1.429664
Macau,1.419641
Yantai,1.408775
