city,distance
Guangzhou,6.539331
Shenzhen,3.640088
Shaoguan,3.604643
Shanghai,3.582845
Foshan,3.373055
Zhuhai,2.957009
Dongguan,2.942015
Zhongshan,2.749560
Beijing,2.636353
Wuhan,2.554764
Yingtan,2.554764
Changsha,2.524302
Chenzhou,2.456743
Zhaoqing,2.456743
Hong Kong,2.418748
Zhuzhou,2.418748
Chengdou,2.330707
Huizhou,2.330707
Shenyang,2.330707
Hengyang,2.278153
Hezhou,2.278153
Shamen,2.278153
Fuzhou,2.216972
Yangjiang,2.216972
Zhangzhou,2.216972
Zhanjiang,2.216972
Guilin,2.142782
Hangzhou,2.142782
Jiangmen,2.142782
Jieyang,2.142782
Sanya,2.142782
Shantou,2.142782
Xi'an,2.142782
Xiangxi,2.142782
Yongzhou,2.142782
Haikou,2.046268
Hefei,2.046268
Heyuan,2.046268
Kunming,2.046268
Macau,2.046268
Meizhou,2.046268
Ningbo,2.046268
Quzhou,2.046268
Wenzhou,2.046268
Yichun,2.046268
Suzhou,1.988118
Chongqing,1.899973
Dali,1.899973
Dongying,1.899973
Ganzhou,1.899973
Guiyang,1.899973
Jian,1.899973
Jingzhou,1.899973
Kinmen,1.899973
Maoming,1.899973
Nanchang,1.899973
Nanning,1.899973
Qiannan,1.899973
Qingdao,1.899973
Changde,1.899973
Shangrao,1.899973
Shaoxing,1.899973
Tianjin,1.899973
Wuxi,1.899973
Xiangtan,1.899973
Xinyu,1.899973
Yangzhou,1.899973
Yichang,1.899973
Yueyang,1.899973
Yulin,1.899973
Zhengzhou,1.899973
Nanjing,1.858069
Jiaxing,1.767141
Taipei,1.742810
Changzhou,1.685690
Jinan,1.652533
Dalian,1.644243
Shanwei,1.638204
Zhoushan,1.607787
Nantong,1.594098
Wuzhou,1.586418
Lijiang,1.579131
Chaozhou,1.575361
Taiyuan,1.572799
Changchun,1.568878
Harbin,1.566210
Huzhou,1.559723
Shijiazhuang,1.559339
Taoyuan,1.559339
Yunfu,1.556506
Quanzhou,1.555070
Zhangjiajie,1.548653
Urumqi,1.538339
Jinhua,1.517740
Lanzhou,1.514016
Liuzhou,1.510196
Beihai,1.482597
Zhenjiang,1.474288
Hohhot,1.472915
Huangshan,1.461361
Jiujiang,1.457003
Taizhou,1.438994
Lhasa,1.435743
Longyan,1.435743
Yantai,1.435743
Taizhou,1.431964
Leshan,1.430878
Pingxiang,1.430344
Xiangyang,1.428991
Yinchuan,1.428991
Ngawa,1.428089
New Taipei,1.421872
Xianning,1.413426
Diqing,1.410402
Langfang,1.406920
Anqing,1.402140
Fuzhou,1.398982
Xining,1.393297
Xuzhou,1.393297
Yancheng,1.389505
Wanning,1.383775
Zhangjiakou,1.383775
Baoding,1.379538
Kaohsiung,1.378722
Huai'an,1.378722
Qinhuangdao,1.375448
Fushun,1.374837
Sansha,1.374771
Chongzuo,1.373449
Huaihua,1.373449
Jingdezhen,1.367935
Guigang,1.367935
Anshan,1.363897
Xianyang,1.362400
Qiandongnan,1.362190
Ningde,1.358029
Tai'an,1.356073
Wuhu,1.356073
Yiyang,1.356073
Huanggang,1.353578
Luoyang,1.349661
Weihai,1.349661
Xiaogan,1.346047
Lianyungang,1.344946
Huangshi,1.344238
Baotou,1.342873
Qionghai,1.338147
Weifang,1.335657
Baise,1.335657
Zibo,1.335657
Deyang,1.334864
Weinan,1.330243
Loudi,1.328429
Nyingchi,1.327950
Taichung,1.327950
Jining,1.327950
Baoji,1.327802
Tangshan,1.324829
Xuancheng,1.321868
Jinzhou,1.319813
Jinzhong,1.319672
Nanping,1.319672
Nanyang,1.319672
Sanming,1.319672
Liaoyang,1.316391
Mianyang,1.315353
Putian,1.313774
Shiyan,1.313175
Benxi,1.311414
Linyi,1.310722
Pingdong,1.310722
Qinzhou,1.310722
Handan,1.310722
Xinyang,1.310722
Fangchenggang,1.310722
Ulanqab,1.307675
Dandong,1.303623
Datong,1.300969
Xishuangbanna,1.300969
Tieling,1.298279
Chengde,1.296460
Yingkou,1.295785
Luzhou,1.290236
Kaifeng,1.290236
Hulunbuir,1.290236
Zhumadian,1.290236
Chizhou,1.289337
Anshun,1.286905
Ezhou,1.285925
Garze,1.280644
Jingmen,1.278780
Honghe,1.278280
Linfen,1.278280
Liaocheng,1.278280
Tainan,1.278280
Yanbian,1.278280
Anyang,1.278280
Weicu,1.277372
Ya'an,1.272562
Panjin,1.271951
Lishui,1.267172
Bangbu,1.265809
Fuyang,1.264751
Nantou,1.264751
Mudanjiang,1.264751
Nanchong,1.264751
Changzhi,1.264751
Xingtai,1.264751
Xinzhou,1.264751
Luohe,1.264751
Yan'an,1.261202
Xiuzhou,1.258775
Enshi,1.257463
Huludao,1.256755
Chuzhou,1.256532
Qiqihar,1.249115
Xuchang,1.249115
Yibin,1.249115
Chifeng,1.249115
Hsinchu,1.249115
Ma'anshan,1.249115
Zunyi,1.249115
Shaoyang,1.244778
Ankang,1.242591
Suizhou,1.242591
Dongfang,1.242591
Cangzhou,1.242133
Tongren,1.239517
Meishan,1.237162
Wenchang,1.233945
Qujing,1.230496
Jiuquan,1.230496
Dezhou,1.230496
Hualien,1.230496
Hechi,1.230496
Yilan,1.230496
Lu'an,1.230366
Baoshan,1.223229
Yuxi,1.222875
Neijiang,1.221554
Binzhou,1.217996
Zaozhuang,1.217447
Liangshanzhou,1.216248
Ili(Yili),1.214982
Jilin,1.208224
Rizhao,1.207688
Suining,1.207421
Shizuishan,1.207295
Changhua,1.207295
Chaoyang,1.207295
Tongliao,1.207295
Heze,1.207295
Kashgar,1.207295
Danzhou,1.207295
Daqing,1.207295
Guang'an,1.207295
Yuncheng,1.207295
Bozhou,1.207295
Zhangye,1.207295
Ziyang,1.207295
Huainan,1.202581
Hanzhong,1.202130
Fuxin,1.198877
Siping,1.196575
Jiaozuo,1.193372
Zigong,1.191583
Lingshui,1.188932
Tongling,1.176849
Xiuqian,1.176524
Ordos,1.176129
Heihe,1.176042
Tianshui,1.176042
Tonghua,1.176042
Turpan,1.176042
Pingdingshan,1.176042
Wuwei,1.176042
Guangyuan,1.176042
Hengshui,1.176042
Panzhihua,1.176042
Dingan,1.176042
Liupanshui,1.176042
Laibin,1.176042
Qianxinan,1.176042
Keelung,1.176042
Suihua,1.173558
Yulin,1.162963
Shangluo,1.157645
Haibei,1.157555
Chengmai,1.153210
Dazhou,1.151675
Haixi,1.148659
Sanmenxia,1.147431
Huaibei,1.143994
Xiuzhou,1.138018
Xilingol,1.137269
Hebi,1.128228
Tongchuan,1.127231
Changjiang,1.126205
Jiayuguan,1.126205
Bayingolin,1.126205
Nujiang,1.126205
Aksu,1.126205
Alty,1.126205
Jiamusi,1.126205
Yangquan,1.126205
Hinggan,1.126205
Pu'er,1.126205
Baoting,1.126205
Yichun,1.126205
Shannan,1.126205
Puyang,1.126205
Laiwu,1.126205
Dehong,1.126205
Tacheng,1.126205
Bazhong,1.126205
Huangnan,1.126205
Miaoli,1.126205
Songyuan,1.126205
Shangqiu,1.121732
Keramay,1.121553
Yunlin,1.119465
Ledong,1.111223
Chiayi,1.110454
Baishan,1.107519
Penghu,1.106440
Bijie,1.099038
Wenshan,1.091011
Wuzhishan,1.090945
Changji,1.088895
Zhoukou,1.080492
Zhongwei,1.076753
Bayannur,1.073343
Shuozhou,1.073000
Zhaotong,1.065008
Taidong,1.063851
Kumul(Hami),1.061154
Nagqu,1.061000
Qingyang,1.054894
Lvliang,1.051702
Haidong,1.051236
Lincang,1.047988
Gannan,1.034669
Pingliang,1.032851
Daxinganling,1.032481
Jiyuan,1.032042
Liaoyuan,1.027926
Wuhai,1.022176
Baicheng,1.020324
Jincheng,1.020267
Shuangyashan,1.015080
Dingxi,1.010778
Alxa,1.000992
Qamdo,1.000575
Wuzhong,0.995583
Qiongzhong,0.994484
Jixi,0.993868
Hotan,0.989594
Guyuan,0.988779
Linxia,0.985117
Bortala,0.984990
Jinchang,0.983475
Baiyin,0.979995
Hegang,0.961746
Golog,0.954067
Ngari,0.943029
Kezilsu,0.934922
Qitaihe,0.934444
Longnan,0.926336
Yushuzhou,0.906582
