city,distance
Beijing,6.317026
Tangshan,3.883393
Tianjin,3.849016
Huludao,3.376197
Shanghai,3.351585
Shenyang,3.197483
Shijiazhuang,3.011638
Langfang,2.793245
Jinzhou,2.760399
Harbin,2.669102
Dalian,2.664121
Changchun,2.594726
Panjin,2.433610
Baoding,2.408800
Jinan,2.373293
Chengde,2.344503
Taiyuan,2.344503
Nanjing,2.302566
Jilin,2.291333
Cangzhou,2.255468
Hangzhou,2.186444
Qingdao,2.186444
Wuhan,2.186444
Anshan,2.170823
Tai'an,2.154437
Yingkou,2.154437
Fuxin,2.137192
Xi'an,2.137192
Daqing,2.079021
Siping,2.079021
Yanbian,2.079021
Guangzhou,2.077799
Hong Kong,2.058011
Xuzhou,2.056895
Chengdou,2.039919
Fushun,2.032977
Dezhou,2.006890
Hengshui,2.006890
Anyang,2.006890
Shenzhen,2.006890
Suzhou,2.006890
Zibo,2.006890
Datong,1.978112
Hohhot,1.978112
Zhangjiakou,1.978112
Hefei,1.945901
Shamen,1.945901
Changsha,1.945901
Wuxi,1.945901
Xingtai,1.945901
Xuancheng,1.945901
Zhengzhou,1.945901
Kunming,1.909131
Chongqing,1.909131
Songyuan,1.909131
Tieling,1.909131
Weifang,1.909131
Dandong,1.909131
Dongguan,1.865977
Handan,1.865977
Jiaxing,1.865977
Nantong,1.865977
Bangbu,1.865977
Sanya,1.865977
Xinzhou,1.865977
Yangzhou,1.865977
Guiyang,1.813139
Hulunbuir,1.813139
Jinzhong,1.813139
Lijiang,1.813139
Linyi,1.813139
Luoyang,1.813139
Mudanjiang,1.813139
Nanchang,1.813139
Ngawa,1.813139
Qiqihar,1.813139
Shaoxing,1.813139
Weihai,1.813139
Yantai,1.813139
Zaozhuang,1.813139
Chifeng,1.813139
Taipei,1.791225
Huangshan,1.743555
Jining,1.743555
Jiujiang,1.743555
Lanzhou,1.743555
Liaocheng,1.743555
Benxi,1.743555
Tacheng,1.743555
Daxinganling,1.743555
Tonghua,1.743555
Urumqi,1.743555
Xilingol,1.743555
Xishuangbanna,1.743555
Baishan,1.743555
Yan'an,1.743555
Yinchuan,1.743555
Zhangzhou,1.743555
Zhoushan,1.743555
Ningbo,1.697753
Fuzhou,1.690391
Guilin,1.684216
Taoyuan,1.656815
Nanning,1.653138
Haikou,1.639053
Zhuhai,1.636913
Ili(Yili),1.636207
Jiamusi,1.636207
Jiaozuo,1.636207
Jinhua,1.636207
Baicheng,1.636207
Kaohsiung,1.636207
Laiwu,1.636207
Lhasa,1.636207
Liaoyang,1.636207
Liaoyuan,1.636207
Liuzhou,1.636207
Lu'an,1.636207
Ma'anshan,1.636207
Macau,1.636207
Mianyang,1.636207
Fuyang,1.636207
Hengyang,1.636207
Baotou,1.636207
Chaoyang,1.636207
Ordos,1.636207
Diqing,1.636207
