city,distance
Nanning,6.382112
Fangchenggang,4.056094
Beihai,3.715613
Shanghai,3.614880
Beijing,3.314016
Guangzhou,3.025217
Zhanjiang,2.857816
Shenzhen,2.791067
Yulin,2.791067
Guilin,2.716036
Guiyang,2.525797
Liuzhou,2.525797
Taipei,2.525797
Weihai,2.525797
Chongqing,2.392768
Chongzuo,2.392768
Baise,2.392768
Handan,2.392768
Sanya,2.392768
Yantai,2.392768
Changsha,2.195125
Danzhou,2.195125
Dongguan,2.195125
Guigang,2.195125
Hezhou,2.195125
Honghe,2.195125
Huai'an,2.195125
Jiangmen,2.195125
Lijiang,2.195125
Nanjing,2.195125
Quzhou,2.195125
Wuzhou,2.195125
Xianyang,2.195125
Zhaotong,2.195125
Zhuhai,2.195125
Suzhou,1.997943
Wuhan,1.973489
Hechi,1.927846
Hangzhou,1.922368
Kunming,1.895481
Chengdou,1.892999
Laibin,1.885400
Shamen,1.863882
Tianjin,1.831909
Haikou,1.803040
Hong Kong,1.779778
Xi'an,1.779778
Jiaxing,1.774899
Wuxi,1.746485
Foshan,1.737330
Fuzhou,1.734213
Nanchang,1.729045
New Taipei,1.728906
Changzhou,1.692748
Ningbo,1.691841
Haixi,1.681921
Jinhua,1.681921
Qingdao,1.641513
Huizhou,1.618745
Zhengzhou,1.618745
Dezhou,1.618553
Zhoushan,1.614207
Nantong,1.600409
Taoyuan,1.596817
Taiyuan,1.587613
Langfang,1.579256
Maoming,1.578387
Huzhou,1.565764
Harbin,1.563052
Zhaoqing,1.563052
Shijiazhuang,1.553388
Hefei,1.549202
Xiangxi,1.549202
Anshun,1.546433
Baoding,1.544837
Jinan,1.543496
Shaoxing,1.541842
Qinhuangdao,1.539710
Macau,1.534006
Quanzhou,1.534006
Yangjiang,1.528517
Yangzhou,1.522214
Shenyang,1.521773
Dali,1.517136
Zhongshan,1.510962
Qiandongnan,1.504175
Nanping,1.498116
Urumqi,1.498116
Xining,1.498116
Diqing,1.498040
Dalian,1.491755
Zunyi,1.483154
Zhenjiang,1.479684
Tangshan,1.476556
Huaihua,1.476227
Lanzhou,1.476227
Qiannan,1.476227
Yongzhou,1.476227
Zhuzhou,1.476227
Xingtai,1.475051
Huangshan,1.466662
Wenzhou,1.460529
Yibin,1.456354
Zhangjiakou,1.453929
Jingdezhen,1.450291
Changchun,1.450291
Shizuishan,1.450291
Qingyuan,1.444732
Chengde,1.441404
Anyang,1.437135
Taizhou,1.437054
Shangrao,1.431489
Taichung,1.424689
Yuxi,1.424347
Hengyang,1.418170
Jieyang,1.418170
Lhasa,1.418170
Mianyang,1.418170
Hohhot,1.418170
Ningde,1.418170
Pingxiang,1.418170
Ganzhou,1.418170
Xinyang,1.418170
Yichun,1.418170
Jian,1.418023
Jiujiang,1.418023
Shantou,1.418023
Xiaogan,1.418023
Taizhou,1.412337
Shaoguan,1.408426
Wanning,1.406528
Keelung,1.404938
Yancheng,1.394297
Hsinchu,1.388131
Kaohsiung,1.385024
Enshi,1.375241
Meishan,1.375241
Nanchong,1.375241
Qujing,1.375241
Ulanqab,1.375241
Xiangyang,1.375241
Xishuangbanna,1.375241
Xuzhou,1.375241
Yichang,1.375241
Yilan,1.375241
Yunlin,1.375241
Zhangjiajie,1.375241
Cangzhou,1.374564
Qionghai,1.361388
Xinxiang,1.355780
Tai'an,1.354805
Hualien,1.353161
Lianyungang,1.349435
Weifang,1.347965
Datong,1.346886
Liangshanzhou,1.345195
Wenshan,1.337324
Yinchuan,1.337115
Wuhu,1.333153
Xiangtan,1.332724
Huludao,1.326422
Xuancheng,1.326204
Qianxinan,1.324791
Wuhai,1.320488
Baotou,1.320173
Nantou,1.319868
Chengmai,1.319656
Jinzhong,1.316315
Hulunbuir,1.312670
Luoyang,1.311428
Lishui,1.307576
Dandong,1.307576
Neijiang,1.307576
Ordos,1.307576
Putian,1.307576
Binzhou,1.307576
Garze,1.307576
Suining,1.307576
Suizhou,1.307576
Anqing,1.307576
Tongren,1.307576
Fuzhou,1.307576
Weinan,1.307576
Laiwu,1.307576
Chuzhou,1.307576
Baoji,1.307576
Jiaozuo,1.307576
Hengshui,1.307576
Ya'an,1.307576
Yan'an,1.307576
Guangyuan,1.307576
Yingtan,1.307576
Yiyang,1.307576
Yueyang,1.307576
Kaifeng,1.307576
Zhangzhou,1.307576
Liaocheng,1.307576
Zhoukou,1.307576
Zibo,1.307576
Nanyang,1.307206
Haibei,1.307206
Liupanshui,1.306856
Pingdong,1.302812
Tainan,1.302382
Jining,1.298953
Chizhou,1.293462
Xinzhou,1.293399
Heyuan,1.291538
Ngawa,1.291329
Chifeng,1.287313
Wenchang,1.281116
Leshan,1.280717
Deyang,1.280717
Zigong,1.280717
Bijie,1.278695
Rizhao,1.277067
Xiuqian,1.274365
Changde,1.273418
Jinzhou,1.272159
Jilin,1.271378
Bangbu,1.269784
Shanwei,1.268941
Chiayi,1.263402
Lingshui,1.262094
Zaozhuang,1.257226
Changjiang,1.257226
Chenzhou,1.256634
Guang'an,1.253455
Dongying,1.247956
Yunfu,1.247499
Xilingol,1.247293
Shuozhou,1.245921
Tongliao,1.245921
Xianning,1.245921
Linyi,1.245921
Changzhi,1.242419
Ma'anshan,1.239160
Qiqihar,1.238966
Weicu,1.235176
Taidong,1.233999
Dazhou,1.233799
Loudi,1.231263
Chaozhou,1.230907
Miaoli,1.229218
Fushun,1.228647
Daqing,1.225778
Anshan,1.224942
Pu'er,1.224189
Dongfang,1.223371
Wuzhishan,1.223371
Panjin,1.221956
