city,distance
Shanghai,5.134727
Tianjin,4.096181
Guangzhou,3.096204
Hong Kong,3.052469
Hangzhou,3.049969
Langfang,3.016948
Chengdou,3.012836
Nanjing,2.985295
Wuhan,2.900616
Xi'an,2.896067
Qingdao,2.895652
Baoding,2.893781
Jinan,2.889080
Shijiazhuang,2.880532
Qinhuangdao,2.875842
Shenzhen,2.844163
Shenyang,2.813894
Shamen,2.805942
Dalian,2.712947
Taiyuan,2.711126
Suzhou,2.669485
Tangshan,2.663096
Chongqing,2.646784
Zhengzhou,2.623074
Zhangjiakou,2.590386
Changsha,2.566074
Chengde,2.550894
Sanya,2.546881
Changchun,2.531677
Kunming,2.526700
Taipei,2.500157
Hohhot,2.461074
Wuxi,2.420537
Hefei,2.416472
Nanchang,2.371832
Yantai,2.370410
Urumqi,2.357389
Cangzhou,2.348770
Guiyang,2.325262
Lanzhou,2.323985
Ningbo,2.321740
Fuzhou,2.307994
Guilin,2.296497
Yangjiang,2.292445
Tai'an,2.291660
Datong,2.269094
Lijiang,2.263513
Jiaxing,2.252865
Taoyuan,2.245851
Yinchuan,2.241498
Nanning,2.239101
Haikou,2.213340
Huludao,2.211611
Zhuhai,2.209439
Baotou,2.194293
Lhasa,2.185062
Jinzhong,2.183656
Changzhou,2.179401
Xuzhou,2.176534
Yangzhou,2.176054
Hulunbuir,2.173643
Xining,2.173643
Luoyang,2.170238
Dezhou,2.162823
Weihai,2.143258
Jining,2.136286
Weifang,2.123569
Xinzhou,2.121304
Ngawa,2.111496
Chifeng,2.104982
Macau,2.104982
Handan,2.082010
Wenzhou,2.081365
Zibo,2.078117
Ordos,2.066806
Jinzhou,2.064765
Jilin,2.062710
Nantong,2.047186
Hengshui,2.043541
Jiujiang,2.033843
Zhenjiang,2.029254
Dandong,2.014219
Xingtai,2.006807
Yichang,2.005133
Dongying,2.001755
Xilingol,2.000050
Zaozhuang,1.997474
Zhangjiajie,1.997474
Jinhua,1.991366
Qiqihar,1.978726
Linyi,1.976872
Huangshan,1.975939
Jiaozuo,1.975004
Xinxiang,1.974066
Anyang,1.971230
Shaoxing,1.971230
Foshan,1.961555
Dali,1.959577
Kaifeng,1.953553
Fushun,1.952535
Quanzhou,1.946346
Daqing,1.945300
Baoji,1.944250
Anshan,1.943195
Panjin,1.935691
Bangbu,1.931303
Yanbian,1.926838
Huai'an,1.922294
Diqing,1.914140
Dongguan,1.912953
Yingkou,1.910562
Ulanqab,1.908149
Lianyungang,1.902010
Yan'an,1.896988
Nanping,1.894438
Taizhou,1.887943
Xiangyang,1.885296
Zhoushan,1.882620
Binzhou,1.874409
Kaohsiung,1.871608
Shangrao,1.868774
Yangquan,1.868774
Liaocheng,1.861538
Mudanjiang,1.852550
Mianyang,1.851017
Liuzhou,1.849475
Wuhu,1.847923
Jian,1.846359
Yancheng,1.844786
Jiuquan,1.839999
Beihai,1.839999
Huzhou,1.831793
Xiangxi,1.823279
Xinyang,1.823279
Rizhao,1.821537
New Taipei,1.819781
Zhongshan,1.818012
Changzhi,1.807089
Taizhou,1.807089
Chaoyang,1.805215
Chuzhou,1.801418
Yuncheng,1.801418
Tongliao,1.797555
Xianyang,1.797555
Jingdezhen,1.795597
Shuozhou,1.791628
Benxi,1.787584
Leshan,1.785534
Heze,1.783463
Jiamusi,1.779261
Ganzhou,1.774975
Changde,1.766132
Meizhou,1.766132
Puyang,1.766132
Yueyang,1.763862
Yulin,1.759247
Anqing,1.754526
Siping,1.754526
Taichung,1.752125
Bayannur,1.752125
Lvliang,1.749696
Ili(Yili),1.747237
Huizhou,1.747237
Hinggan,1.744748
Tieling,1.744748
Jingzhou,1.744748
Baishan,1.742229
