city,distance
Haikou,5.392504
Sanya,5.299125
Wanning,4.516349
Shanghai,3.718243
Beijing,3.035270
Wenchang,3.022970
Dingan,2.578702
Lingshui,2.552225
Guangzhou,2.494488
Suzhou,2.462703
Chengmai,2.428495
Shenzhen,2.253843
Wuhan,2.253843
Wuzhishan,2.253843
Hong Kong,2.193942
Xi'an,2.193942
Anqing,2.121261
Hangzhou,2.121261
Nanjing,2.121261
Tianjin,2.121261
Zhanjiang,2.121261
Beihai,2.026633
Chongqing,2.026633
Guiyang,2.026633
Kunming,2.026633
Lijiang,2.026633
Shenyang,2.026633
Zhengzhou,2.026633
Changchun,1.883034
Changde,1.883034
Changzhou,1.883034
Baoting,1.883034
Danzhou,1.883034
Guilin,1.883034
Haixi,1.883034
Handan,1.883034
Harbin,1.883034
Hohhot,1.883034
Huangshan,1.883034
Huizhou,1.883034
Jiangmen,1.883034
Jingzhou,1.883034
Ledong,1.883034
Meishan,1.883034
Nanchong,1.883034
Nantong,1.883034
Ningbo,1.883034
Qingdao,1.883034
Qiongzhong,1.883034
Shantou,1.883034
Weihai,1.883034
Wuxi,1.883034
Yangzhou,1.883034
Zaozhuang,1.883034
Zhongshan,1.883034
Jiaxing,1.799460
Chengdou,1.776037
Shamen,1.746118
Changsha,1.744846
Nanning,1.725594
Weinan,1.696617
Nanchang,1.662450
Zhuhai,1.662450
Zhoushan,1.634497
Fuzhou,1.601568
Huzhou,1.584847
Changjiang,1.564576
Dongfang,1.564576
Shaoxing,1.560343
Foshan,1.548167
Taipei,1.534037
Jinhua,1.518791
Urumqi,1.516320
Langfang,1.513041
Wenzhou,1.512274
Zhenjiang,1.496715
Hefei,1.492353
Dalian,1.489870
Jinan,1.486031
Baoding,1.481419
Shijiazhuang,1.477939
Qinhuangdao,1.476703
Baotou,1.461928
Dongguan,1.461928
Taizhou,1.453113
Macau,1.449197
Taiyuan,1.441192
Taizhou,1.427844
Liuzhou,1.423904
Zhaoqing,1.423904
Dali,1.419628
Tangshan,1.418515
Diqing,1.417609
Tongliao,1.411566
Yancheng,1.409410
Xuzhou,1.403952
Lanzhou,1.402961
Luoyang,1.399760
Siping,1.399760
Taoyuan,1.399760
Zhangjiakou,1.397618
Xining,1.393686
Chengde,1.386041
Xianyang,1.382904
Shangrao,1.374566
Yantai,1.374454
Jieyang,1.369815
Leshan,1.369815
Ordos,1.369815
Chuzhou,1.369815
Shaoguan,1.369815
