city,distance
Haikou,5.528076
Lingshui,4.793270
Chengmai,4.335813
Wuzhishan,4.335813
Qionghai,3.727643
Sanya,3.727643
Shanghai,2.624062
Beijing,2.291832
Guangzhou,2.160148
Wanning,2.042134
Wenchang,1.989619
Danzhou,1.964990
Shenzhen,1.919847
Baoting,1.873068
Zhanjiang,1.846913
Changjiang,1.829701
Wuhan,1.815755
Chengdou,1.790499
Hangzhou,1.787804
Chongqing,1.764931
Changsha,1.758803
Dingan,1.758803
Nanjing,1.749256
Shamen,1.749256
Hong Kong,1.739243
Nanning,1.739243
Kunming,1.717588
Tianjin,1.709810
Weinan,1.709810
Ledong,1.688877
Nanchang,1.675115
Zhuhai,1.675115
Zhengzhou,1.665341
Xi'an,1.660252
Suzhou,1.652977
Dongfang,1.649682
Hefei,1.649682
Guilin,1.632409
Fuzhou,1.613319
Beihai,1.584004
Foshan,1.557992
Ningbo,1.557992
Jiaxing,1.545741
Jiujiang,1.545741
Lijiang,1.545741
Tongliao,1.545741
Baise,1.545741
Qingdao,1.526849
Urumqi,1.526849
Guiyang,1.514881
Harbin,1.501868
Wenzhou,1.501868
Hohhot,1.487583
Wuxi,1.477033
Dongguan,1.471712
Baotou,1.471712
Shenyang,1.471712
Jinan,1.453808
Taipei,1.453808
Changzhou,1.438415
Dalian,1.433185
Liuzhou,1.433185
Macau,1.433185
Meishan,1.433185
Zhaoqing,1.433185
Zhoushan,1.433185
Jinhua,1.408728
Lanzhou,1.408728
Changchun,1.408728
Luoyang,1.408728
Shijiazhuang,1.408728
Siping,1.408728
Taoyuan,1.408728
Huangshan,1.378402
Jieyang,1.378402
Leshan,1.378402
Nantong,1.378402
Ordos,1.378402
Shaoguan,1.378402
Chuzhou,1.378402
Weihai,1.378402
Baoding,1.378402
Zhangzhou,1.378402
Zhuzhou,1.378402
Anqing,1.351929
Huzhou,1.345677
Hengyang,1.337812
Chaozhou,1.337812
Huizhou,1.337812
Hulunbuir,1.337812
Jiangmen,1.337812
Jiuquan,1.337812
Lianyungang,1.337812
Luzhou,1.337812
Maoming,1.337812
Mianyang,1.337812
Pingdingshan,1.337812
Qianxinan,1.337812
Qingyuan,1.337812
Dali,1.337812
Quzhou,1.337812
Shantou,1.337812
Shanwei,1.337812
Taiyuan,1.337812
Taizhou,1.337812
Weicu,1.337812
Wuhai,1.337812
Baoshan,1.337812
Xianyang,1.337812
Xinxiang,1.337812
Xuzhou,1.337812
Ya'an,1.337812
Yantai,1.337812
Yinchuan,1.337812
Yunfu,1.337812
Zigong,1.337812
Shaoxing,1.327970
Yangzhou,1.313383
Langfang,1.302434
Zhenjiang,1.281600
Qinhuangdao,1.275418
Guyuan,1.273694
Jian,1.273694
Jiaozuo,1.273694
Chenzhou,1.273694
Jiayuguan,1.273694
Jilin,1.273694
Jincheng,1.273694
Jingdezhen,1.273694
Linfen,1.273694
Linxia,1.273694
Diqing,1.273694
Hebi,1.273694
Changzhi,1.273694
Mudanjiang,1.273694
Nanchong,1.273694
Ganzhou,1.273694
Ngawa,1.273694
Ningde,1.273694
Pu'er,1.273694
Puyang,1.273694
Qiandongnan,1.273694
Hegang,1.273694
Quanzhou,1.273694
Qujing,1.273694
Haibei,1.273694
Sansha,1.273694
Shannan,1.273694
Heyuan,1.273694
Suining,1.273694
Tai'an,1.273694
Taizhou,1.273694
Turpan,1.273694
Guangyuan,1.273694
Baicheng,1.273694
Honghe,1.273694
Xiangtan,1.273694
Xiangxi,1.273694
Xiangyang,1.273694
Hotan,1.273694
Xiaogan,1.273694
Xining,1.273694
Xinzhou,1.273694
Huai'an,1.273694
Yangjiang,1.273694
Yibin,1.273694
Yiyang,1.273694
Yueyang,1.273694
Zhangjiajie,1.273694
Zhongshan,1.273694
Ziyang,1.273694
Zunyi,1.273694
Handan,1.251057
Changde,1.251057
Jingzhou,1.251057
Zaozhuang,1.251057
Haixi,1.251057
Yichun,1.234496
Tangshan,1.231778
Yancheng,1.217046
Zhangjiakou,1.215990
Chengde,1.207217
Shangrao,1.190977
Longyan,1.173744
Yichang,1.173744
Wuhu,1.170198
Xuancheng,1.164842
Chongzuo,1.161820
Cangzhou,1.159976
Anyang,1.152616
Rizhao,1.152616
Chizhou,1.152616
Dongying,1.152616
New Taipei,1.148983
Kaifeng,1.146326
Xianning,1.143719
Lhasa,1.141422
Datong,1.140203
Nanping,1.139893
Deyang,1.138188
Qinzhou,1.130989
Huludao,1.125504
Baoji,1.125164
Putian,1.124097
Jinzhong,1.124097
Nanyang,1.124097
Qiqihar,1.124097
Weifang,1.124097
Dandong,1.124097
Huangshi,1.124097
Xuchang,1.124097
Huaibei,1.124097
Huaihua,1.124097
Yichun,1.124097
Huainan,1.124097
Yingtan,1.124097
Chifeng,1.124097
Luohe,1.124097
Lishui,1.122159
Bangbu,1.121089
Fangchenggang,1.115772
Huanggang,1.113471
Dezhou,1.112730
Sanmenxia,1.112262
Kaohsiung,1.112066
Jining,1.105664
Xishuangbanna,1.102492
Garze,1.098531
Anshun,1.097872
Hechi,1.097764
Ma'anshan,1.097150
Zibo,1.089874
Linyi,1.087715
Jinzhou,1.086191
Shiyan,1.085985
Guigang,1.085853
Changji,1.083126
Loudi,1.080861
Hengshui,1.080288
Yulin,1.079989
Benxi,1.078479
Shangluo,1.078479
Daxinganling,1.078479
Kashgar,1.078479
Liupanshui,1.078479
Jiyuan,1.078479
Shizuishan,1.078479
Suihua,1.078479
Hinggan,1.078479
Ili(Yili),1.078479
Bayingolin,1.078479
Meizhou,1.078479
Baishan,1.078479
Daqing,1.078479
Wuzhou,1.078479
Jiamusi,1.078479
Xilingol,1.078479
Xingtai,1.078479
Dehong,1.078479
Yanbian,1.078479
Qiannan,1.078479
Yulin,1.078479
Anshan,1.078479
Yuncheng,1.078479
Lvliang,1.078479
Zhaotong,1.078479
Chiayi,1.078479
Aksu,1.078479
Zhoukou,1.078479
Chaoyang,1.078479
Yan'an,1.076972
Hezhou,1.076083
Lu'an,1.074981
Alty,1.071520
Liangshanzhou,1.069781
Ezhou,1.067282
Jingmen,1.062355
Taichung,1.059914
Guang'an,1.056565
Xinyang,1.055697
Neijiang,1.054764
Fushun,1.054311
Laibin,1.054112
Fuzhou,1.053321
Tongling,1.050743
Xiuqian,1.050484
Panjin,1.049380
Enshi,1.047601
Dazhou,1.042565
Yingkou,1.041951
Ulanqab,1.041232
Nantou,1.036713
Xinyu,1.036404
Pingdong,1.035749
Shangqiu,1.035590
Hanzhong,1.033601
Tieling,1.032226
Sanming,1.031992
Binzhou,1.031105
Fuyang,1.030564
Yangquan,1.029397
Liaocheng,1.027198
Pingxiang,1.026288
Shaoyang,1.024826
Keramay,1.024815
Suizhou,1.021990
Ankang,1.020708
Xiuzhou,1.019678
Hualien,1.019678
Tainan,1.013125
Bayannur,1.006675
Shuozhou,1.005547
Yunlin,1.004758
Heze,1.002970
Yongzhou,0.996329
Keelung,0.996304
Pingliang,0.996265
Gannan,0.994081
Zhumadian,0.992850
Liaoyang,0.990022
Wenshan,0.990003
Zhongwei,0.989796
Hsinchu,0.987823
Kinmen,0.987070
Tianshui,0.986460
Bozhou,0.986446
Kumul(Hami),0.985433
Nyingchi,0.984265
Yilan,0.981225
Panzhihua,0.979751
Tongren,0.979244
Fuxin,0.978068
Tongchuan,0.977742
Zhangye,0.973786
Penghu,0.971017
Heihe,0.965158
Tonghua,0.964631
Alxa,0.961476
Yichun,0.961094
Taidong,0.959728
Songyuan,0.959211
