city,distance
Beijing,5.051332
Harbin,4.934659
Daqing,4.036977
Shanghai,3.885423
Hulunbuir,3.519004
Heihe,3.202164
Dalian,2.999946
Changchun,2.973761
Qingdao,2.973761
Shenyang,2.973761
Tianjin,2.888736
Daxinganling,2.674489
Suihua,2.629522
Baicheng,2.580337
Nanjing,2.525797
Guangzhou,2.464193
Anshan,2.464193
Mudanjiang,2.464193
Chongqing,2.392768
Siping,2.392768
Dandong,2.306574
Jinan,2.306574
Qinhuangdao,2.306574
Tangshan,2.306574
Hinggan,2.195125
Huludao,2.195125
Lanzhou,2.195125
Sanya,2.195125
Tieling,2.195125
Tongliao,2.195125
Wuhan,2.195125
Yichun,2.195125
Suzhou,2.077911
Chengdou,2.027643
Chifeng,2.027643
Fuzhou,2.027643
Hangzhou,2.027643
Hefei,2.027643
Hohhot,2.027643
Jiamusi,2.027643
Jilin,2.027643
Langfang,2.027643
Liaoyang,2.027643
Baotou,2.027643
Ningbo,2.027643
Pu'er,2.027643
Baoding,2.027643
Shaoguan,2.027643
Shenzhen,2.027643
Shuangyashan,2.027643
Songyuan,2.027643
Taipei,2.027643
Taiyuan,2.027643
Taizhou,2.027643
Cangzhou,2.027643
Xiangxi,2.027643
Yibin,2.027643
Yingkou,2.027643
Yulin,2.027643
Zhuhai,2.027643
Hong Kong,1.902692
Xi'an,1.840727
Jiaxing,1.837728
Shijiazhuang,1.834439
Wuxi,1.807284
Shamen,1.803901
Panjin,1.765977
Changzhou,1.749802
Zhengzhou,1.726520
Zhangjiakou,1.712298
Changsha,1.701641
Chengde,1.694953
Kunming,1.684237
Zhoushan,1.666008
Nantong,1.651314
Yanbian,1.641250
Jixi,1.636763
Huzhou,1.614455
Nanchang,1.613990
Yantai,1.613331
Urumqi,1.607289
Guiyang,1.592289
Shaoxing,1.589035
Guilin,1.578748
Weifang,1.577885
Tai'an,1.576460
Fushun,1.575848
Qitaihe,1.571148
Yangzhou,1.568195
Datong,1.565748
Lijiang,1.563089
Taoyuan,1.554647
Yinchuan,1.552559
Nanning,1.551409
Jinhua,1.545962
Hegang,1.545785
Haikou,1.538998
Foshan,1.536444
Lhasa,1.525273
Jinzhong,1.524587
Zhenjiang,1.523095
Xuzhou,1.521112
Xining,1.519700
Weihai,1.519004
Luoyang,1.518035
Dezhou,1.514403
Huangshan,1.509302
Jinzhou,1.505552
Wenzhou,1.502808
Xilingol,1.502356
Jining,1.501344
Xinzhou,1.493929
Benxi,1.493081
Ngawa,1.489058
Zhangjiajie,1.487601
Macau,1.485816
New Taipei,1.480014
Taizhou,1.477965
Handan,1.474334
Zibo,1.472380
Xishuangbanna,1.469075
Ordos,1.466693
Rizhao,1.460071
Baishan,1.457259
Hengshui,1.454938
Jiujiang,1.450016
Tonghua,1.437675
Xingtai,1.436221
Ma'anshan,1.435784
Yichang,1.435364
Dongying,1.433632
Yancheng,1.432778
Zaozhuang,1.431434
Linyi,1.420823
Jiaozuo,1.419858
Xinxiang,1.419373
Anyang,1.417907
Dali,1.411867
Dongguan,1.410981
Kaifeng,1.408738
Quanzhou,1.404986
Baoji,1.403893
Bangbu,1.397130
Shangrao,1.396784
Huai'an,1.392410
Diqing,1.388126
Lianyungang,1.385447
Ulanqab,1.384973
Yan'an,1.379084
Nanping,1.377735
Xiangyang,1.372894
Wuhu,1.368289
Binzhou,1.367112
Kaohsiung,1.365621
Yangquan,1.364112
Xuancheng,1.360971
Liaocheng,1.360252
Zhongshan,1.356691
Mianyang,1.354626
Liuzhou,1.353800
Jian,1.352130
Fuxin,1.348920
Jiuquan,1.348716
Beihai,1.348716
Xinyang,1.339710
Wanning,1.335828
Jiangmen,1.334298
Chaoyang,1.333550
Changzhi,1.330949
Chuzhou,1.327870
Yuncheng,1.327870
Chizhou,1.326512
Xianyang,1.325770
Jingdezhen,1.324704
Shuozhou,1.322543
Leshan,1.319219
Heze,1.318088
Shiyan,1.314852
Ganzhou,1.313446
Liaoyuan,1.312477
Quzhou,1.309260
Meizhou,1.308598
Puyang,1.308598
Changde,1.308598
Yueyang,1.307351
Nanchong,1.304604
Jingmen,1.304604
Wuhai,1.303381
