city,distance
Kunming,6.794241
Shanghai,3.428539
Liupanshui,3.271543
Beijing,3.200401
Guiyang,3.122762
Honghe,2.939517
Dali,2.760880
Qianxinan,2.760880
Chongqing,2.687442
Anshun,2.602711
Guangzhou,2.602711
Shamen,2.602711
Wenshan,2.602711
Lijiang,2.601636
Huaihua,2.501050
Shenzhen,2.501050
Yuxi,2.501050
Bayannur,2.370547
Chengdou,2.370547
Baise,2.370547
Guilin,2.370547
Nanning,2.370547
Xi'an,2.370547
Xishuangbanna,2.370547
Weicu,2.265794
Changsha,2.176410
Changzhou,2.176410
Dehong,2.176410
Haikou,2.176410
Hezhou,2.176410
Hong Kong,2.176410
Jiaxing,2.176410
Lanzhou,2.176410
Lhasa,2.176410
Lincang,2.176410
Liuzhou,2.176410
Pu'er,2.176410
Qiannan,2.176410
Baoshan,2.176410
Tianjin,2.176410
Wuhan,2.176410
Xiangxi,2.176410
Yiyang,2.176410
Yulin,2.176410
Zhaotong,2.176410
Zhuzhou,2.176410
Zigong,2.176410
Zunyi,2.176410
Diqing,2.041681
Hangzhou,1.947390
Suzhou,1.939677
Nanjing,1.865695
Baoji,1.766666
Wenzhou,1.757967
Qingdao,1.753884
Changde,1.720339
Hefei,1.710352
Zhengzhou,1.705161
Wuxi,1.701799
Qiandongnan,1.697416
Meizhou,1.673782
Jinan,1.660930
Panzhihua,1.654150
Ningbo,1.649874
Sanya,1.643476
Fuzhou,1.624127
Liangshanzhou,1.624127
Hohhot,1.591318
Foshan,1.589179
Taipei,1.587797
Harbin,1.582649
Zhoushan,1.575959
Nanchang,1.571839
Taiyuan,1.566152
Zhangjiajie,1.566142
Nantong,1.562804
Dalian,1.560255
Urumqi,1.560255
Yibin,1.554131
Langfang,1.552984
Baotou,1.552113
Shenyang,1.547760
Nujiang,1.541118
Zhuhai,1.541118
Huzhou,1.529751
Chongzuo,1.527168
Jinhua,1.526909
Baoding,1.519688
Shijiazhuang,1.516027
Qinhuangdao,1.514727
Shaoxing,1.506910
Wuzhou,1.503954
Bijie,1.500956
Leshan,1.493695
Yangzhou,1.488155
Loudi,1.487538
Macau,1.473731
Zhangzhou,1.465570
Quanzhou,1.464893
Wuhai,1.464245
Xining,1.462579
Nyingchi,1.459138
Hechi,1.458050
Dongguan,1.455330
Tangshan,1.453565
Xianyang,1.451044
Zhenjiang,1.447481
Ngawa,1.442948
Beihai,1.437117
Xuzhou,1.437117
Yantai,1.437117
Yichang,1.437117
Huangshan,1.435018
Ordos,1.434332
Zhangjiakou,1.431632
Tongren,1.425789
Jining,1.422300
Luoyang,1.422300
Zhongshan,1.422300
Chengde,1.419486
Weinan,1.414622
Changchun,1.413515
Nagqu,1.406865
Taizhou,1.406662
Anyang,1.405571
Shannan,1.395038
Qionghai,1.392603
Neijiang,1.390449
Fangchenggang,1.389332
Jingdezhen,1.386285
Shantou,1.386285
Taoyuan,1.386285
Huizhou,1.386285
Hengyang,1.386285
Yinchuan,1.386285
Taizhou,1.382970
Longyan,1.381757
Pingxiang,1.377634
Xianning,1.377634
Yulin,1.377634
Jiangmen,1.373890
Weifang,1.372922
Qinzhou,1.367872
Yancheng,1.365668
Linyi,1.363389
Luzhou,1.363389
Nanchong,1.363389
Hanzhong,1.363389
Xiangyang,1.363389
Yingtan,1.363389
Zhanjiang,1.363389
Cangzhou,1.354618
Deyang,1.347838
Qingyuan,1.340789
Jiuquan,1.337577
Yan'an,1.336801
Tai'an,1.335424
Hulunbuir,1.334964
Ganzhou,1.334964
Taichung,1.334964
Kaohsiung,1.334964
Weihai,1.334964
Ya'an,1.334964
Yichun,1.334964
Chifeng,1.334964
Shangrao,1.332929
Guang'an,1.329840
Guigang,1.329301
Mianyang,1.327949
Datong,1.327729
Yueyang,1.326504
Zhaoqing,1.326222
Xiangtan,1.325802
Lianyungang,1.322601
Laibin,1.316955
Alxa,1.311392
Shaoguan,1.309462
Huludao,1.307839
Dazhou,1.307737
Wuhu,1.306956
Shaoyang,1.301226
Xuancheng,1.300277
Ziyang,1.298685
Jinzhong,1.298013
Maoming,1.296857
Meishan,1.296857
Mudanjiang,1.296857
Fuyang,1.296857
Jiaozuo,1.296857
Heyuan,1.296857
Pingdingshan,1.296857
Jingzhou,1.296857
Jiujiang,1.296857
Quzhou,1.296857
Liaoyang,1.296857
Jian,1.296857
Jieyang,1.296857
Dongying,1.296857
Jilin,1.296857
Garze,1.296857
Xiuqian,1.296857
Huai'an,1.296857
Yilan,1.296857
Liaocheng,1.296857
Wanning,1.294677
Jinchang,1.294589
Dezhou,1.290623
Bangbu,1.289480
Suining,1.288441
Tianshui,1.288322
Haixi,1.283254
Wenchang,1.280104
Xinzhou,1.275723
Nanping,1.269267
Chizhou,1.268787
Qamdo,1.265177
Gannan,1.263314
Handan,1.261406
Zibo,1.259976
Jinzhou,1.255055
Jiayuguan,1.252000
Yangjiang,1.251883
Ankang,1.251193
Lishui,1.247318
Hengshui,1.247182
Enshi,1.242712
Wuwei,1.240571
Huanggang,1.239419
Chenzhou,1.238070
Chuzhou,1.237007
Putian,1.236702
Baiyin,1.236516
Shangluo,1.236516
Kaifeng,1.236516
Laiwu,1.236516
Tainan,1.236516
Ma'anshan,1.236516
Dingxi,1.236516
Tonghua,1.236516
Tongling,1.236516
Turpan,1.236516
Ulanqab,1.236516
Daqing,1.236516
Lu'an,1.236516
Bayingolin,1.236516
Xinyu,1.236516
Benxi,1.236516
Nanyang,1.236516
Xuchang,1.236516
Yanbian,1.236516
Ningde,1.236516
Anqing,1.236516
Yuncheng,1.236516
Hegang,1.236516
Bozhou,1.236516
Huangshi,1.236516
Bazhong,1.236516
Zhumadian,1.236516
Xingtai,1.233403
Xiaogan,1.233102
New Taipei,1.231089
Xilingol,1.230848
Zaozhuang,1.229871
Linxia,1.228373
Danzhou,1.225623
Guang'an,1.225012
Zhangye,1.223664
Qiqihar,1.222738
Sanming,1.221525
Xinxiang,1.220957
Ngari,1.214503
Yongzhou,1.214111
Fushun,1.212686
Kinmen,1.211178
Sanmenxia,1.209669
Anshan,1.209077
Panjin,1.206167
Shiyan,1.205458
Yingkou,1.196363
Chengmai,1.193427
Rizhao,1.189641
Shanwei,1.188045
Tongchuan,1.187240
Guangyuan,1.185616
Ezhou,1.182457
Binzhou,1.182086
Lingshui,1.181824
Dingan,1.180434
Yangquan,1.179842
Jingmen,1.176412
Shizuishan,1.163038
Zhongwei,1.163038
Xinyang,1.161544
Changzhi,1.154952
Chaozhou,1.154643
Chaoyang,1.154186
Tongliao,1.151050
Shuozhou,1.148617
Ledong,1.148519
Heze,1.145255
Yunfu,1.144481
Jiamusi,1.143521
Nantou,1.142638
Pingdong,1.141467
Puyang,1.138084
Siping,1.133253
Suihua,1.132760
Lvliang,1.131236
Ili(Yili),1.130208
Hinggan,1.129166
Tieling,1.129166
Baishan,1.128110
Huaibei,1.127788
Suizhou,1.127116
Linfen,1.127040
Huainan,1.124937
Shangqiu,1.123739
Luohe,1.122607
Pingliang,1.122477
Xiuzhou,1.121979
Hualien,1.121979
Fuzhou,1.119005
Kashgar,1.119005
Fuxin,1.112902
Qingyang,1.107269
Baoting,1.106377
Haibei,1.104814
Yunlin,1.103941
Keramay,1.101782
Longnan,1.101426
Changji,1.099831
Hebi,1.095536
Chiayi,1.095177
Dongfang,1.095074
Changjiang,1.095074
Daxinganling,1.092204
Alty,1.087865
Wuzhishan,1.086450
Kumul(Hami),1.082161
Jincheng,1.081188
Haidong,1.076988
Taidong,1.070512
Hsinchu,1.069738
Sansha,1.063344
Penghu,1.063344
Keelung,1.063235
Songyuan,1.057922
Jixi,1.055103
Baicheng,1.052162
Zhoukou,1.049089
Yichun,1.045868
Heihe,1.038921
Wuzhong,1.035153
Guyuan,1.034652
Qiongzhong,1.024250
Jiyuan,1.022333
Hotan,1.018783
Liaoyuan,1.017420
Shuangyashan,1.017420
Miaoli,1.001873
Huangnan,0.999834
Changhua,0.997496
Aksu,0.992829
Yushuzhou,0.991947
Qitaihe,0.984462
Bortala,0.972952
Tacheng,0.969801
Golog,0.949296
Kezilsu,0.901084
