city,distance
Qingdao,4.736417
Shanghai,4.546595
Lianyungang,4.484086
Linyi,3.598598
Jinan,3.592675
Beijing,3.499872
Yancheng,3.260599
Suzhou,3.024092
Yantai,3.012976
Nanjing,2.942419
Weifang,2.929938
Jining,2.891055
Weihai,2.790109
Tianjin,2.757960
Nantong,2.723954
Huai'an,2.628672
Xuzhou,2.585219
Tai'an,2.484894
Zhengzhou,2.484894
Taizhou,2.456066
Yangzhou,2.456066
Hangzhou,2.425246
Zibo,2.356028
Dongying,2.316466
Dalian,2.272415
Wuxi,2.272415
Chongqing,2.222429
Heze,2.222429
Liaocheng,2.222429
Zaozhuang,2.222429
Dezhou,2.164166
Hong Kong,2.164166
Laiwu,2.164166
Shijiazhuang,2.164166
Xi'an,2.164166
Changzhou,2.093411
Huaibei,2.093411
Huzhou,2.093411
Sanya,2.093411
Shamen,2.093411
Wuhan,2.093411
Xiuzhou,2.093411
Zhenjiang,2.093411
Zhoushan,2.093411
Guangzhou,2.001198
Hefei,2.001198
Jiaxing,2.001198
Luoyang,2.001198
Nanyang,2.001198
Ningbo,2.001198
Shenzhen,2.001198
Taizhou,2.001198
Binzhou,2.001198
Xingtai,2.001198
Xinxiang,2.001198
Changchun,2.001198
Harbin,1.861056
Hengshui,1.861056
Lanzhou,1.861056
Lhasa,1.861056
Cangzhou,1.861056
Ma'anshan,1.861056
Nanping,1.861056
Chuzhou,1.861056
Ningde,1.861056
Anyang,1.861056
Baotou,1.861056
Taiyuan,1.861056
Taoyuan,1.861056
Urumqi,1.861056
Bangbu,1.861056
Datong,1.861056
Yuncheng,1.861056
Zhoukou,1.861056
Chengdou,1.762575
Shaoxing,1.689517
Taipei,1.658717
Jinhua,1.640907
Langfang,1.620258
Kunming,1.607308
Huangshan,1.599665
Shenyang,1.599596
Wenzhou,1.592373
Changsha,1.589436
Baoding,1.584050
Qinhuangdao,1.578659
Xiuqian,1.572783
Macau,1.559971
Fuzhou,1.550563
Guilin,1.547102
Nanchang,1.532472
Tangshan,1.512339
Daqing,1.504673
Lijiang,1.497434
Zhangjiakou,1.488610
Kaifeng,1.483005
Zhuhai,1.481735
Guiyang,1.476009
Chengde,1.475483
Mudanjiang,1.474691
Shangrao,1.473833
Haikou,1.465801
Dandong,1.461230
Nanning,1.459939
Zhangjiajie,1.457566
Hohhot,1.444979
Wuhu,1.442144
Linfen,1.434018
Xuancheng,1.434016
Quanzhou,1.416871
Huainan,1.406325
Shangqiu,1.405733
Jiaozuo,1.400422
Chizhou,1.395811
Yanbian,1.392467
Ngawa,1.390461
Dongguan,1.390096
Fuyang,1.382768
Yinchuan,1.377805
Jilin,1.377573
Quzhou,1.376722
Jiujiang,1.376177
Qiqihar,1.371660
Xianyang,1.371014
Lishui,1.369871
Xining,1.364726
Beihai,1.364575
Leshan,1.359411
Yichang,1.357605
Yingtan,1.356321
Huludao,1.355227
Kaohsiung,1.354860
Jinzhong,1.344678
Foshan,1.342747
Hulunbuir,1.340875
Lu'an,1.338538
Weinan,1.338453
Handan,1.336884
Baoji,1.335982
Jingdezhen,1.333770
Jian,1.331590
Dali,1.327099
Yingkou,1.323253
Anqing,1.322853
Xinzhou,1.320772
Xiangyang,1.320502
Liuzhou,1.320004
Xiangxi,1.319335
Diqing,1.319112
Pingdingshan,1.315380
Chifeng,1.314427
Taichung,1.314379
Zhuzhou,1.314379
Xuchang,1.311200
Mianyang,1.310742
Nyingchi,1.310284
Puyang,1.307579
Jiamusi,1.304338
New Taipei,1.302980
Ordos,1.299439
Jinzhou,1.298632
Wanning,1.297465
Jieyang,1.297110
Hebi,1.293550
Jiuquan,1.289727
Zhangzhou,1.288988
Shantou,1.274555
Yan'an,1.274352
Xilingol,1.272731
Zhongshan,1.271756
Sanmenxia,1.268833
Xinyang,1.268193
Nagqu,1.267978
Tongling,1.264920
Bozhou,1.264852
Luohe,1.263596
Ganzhou,1.262648
Qionghai,1.258959
Shannan,1.258363
Shuozhou,1.256737
Longyan,1.254263
Garze,1.253427
Fushun,1.253322
Huanggang,1.252435
Hengyang,1.252435
Loudi,1.252435
Jiangmen,1.252435
Xiangtan,1.252435
Zhanjiang,1.252435
Baoshan,1.252435
Zhumadian,1.252435
Anshan,1.252435
Jixi,1.252220
Dehong,1.252220
Turpan,1.251163
Xianning,1.247981
Yichun,1.246464
Panjin,1.246360
Nantou,1.244643
Pingdong,1.243254
Shaoguan,1.243254
Changji,1.241250
Hezhou,1.236497
Ulanqab,1.236228
Tianshui,1.233509
Huizhou,1.233509
Xiaogan,1.233509
Suihua,1.232931
Haixi,1.232411
Xishuangbanna,1.230300
Alty,1.226032
Changde,1.223670
Hualien,1.220171
Xinyu,1.218974
Sanming,1.218370
Yangquan,1.218272
Jingzhou,1.217439
Yueyang,1.216040
Putian,1.215915
Shiyan,1.211453
Tainan,1.210798
Yunfu,1.210196
Siping,1.208998
Hanzhong,1.208831
Guang'an,1.205070
Pingxiang,1.204678
Huangshi,1.204558
Ili(Yili),1.204180
Yunlin,1.198867
Qiandongnan,1.194249
Zunyi,1.191907
Qingyuan,1.191846
Changzhi,1.191752
Ankang,1.191234
Shaoyang,1.190940
Chaoyang,1.190937
Tongliao,1.187598
Dazhou,1.186891
Fuzhou,1.186836
Deyang,1.185973
Ezhou,1.185736
Maoming,1.185736
Yibin,1.184220
Hsinchu,1.183904
Jiyuan,1.183347
Benxi,1.183237
Keramay,1.178795
Tieling,1.178795
Meishan,1.178795
Chaozhou,1.178795
Jincheng,1.178795
Yiyang,1.178795
Yulin,1.178795
Liaoyang,1.178795
Honghe,1.178795
Baishan,1.173843
Meizhou,1.173800
Lingshui,1.173575
Bayingolin,1.171964
Weicu,1.171873
Suining,1.170976
Anshun,1.169806
Jiayuguan,1.167687
Bayannur,1.167597
Lvliang,1.166517
Yilan,1.165514
Hinggan,1.164316
Tonghua,1.164153
Songyuan,1.164153
Shangluo,1.163858
Zhongwei,1.163194
Fuxin,1.161315
Luzhou,1.160164
Nanchong,1.159520
Kashgar,1.157994
Chongzuo,1.157433
Qinzhou,1.156311
Zhaoqing,1.156212
Neijiang,1.152093
Jingmen,1.151730
Qamdo,1.151729
Sansha,1.151139
Penghu,1.151139
Gannan,1.150184
Ya'an,1.149821
Keelung,1.147119
Huaihua,1.138427
Zigong,1.137429
Taidong,1.135308
Enshi,1.134410
Tongchuan,1.133121
Wuwei,1.131302
Kinmen,1.130388
Wuhai,1.130303
Qitaihe,1.128728
Kumul(Hami),1.128728
Guangyuan,1.128728
Baiyin,1.128728
Yichun,1.126930
Liangshanzhou,1.126930
Daxinganling,1.125058
Chenzhou,1.123312
Dingxi,1.123039
Qiannan,1.121438
Linxia,1.121149
Shaoyang,1.119518
Yongzhou,1.117466
Zhangye,1.117225
Haibei,1.113454
Ngari,1.109584
Aksu,1.106646
Baoting,1.106514
Tongren,1.105510
Alxa,1.104458
Suizhou,1.104439
Fangchenggang,1.102136
Heihe,1.101817
Miaoli,1.097037
Pingliang,1.094956
Heyuan,1.094423
Yangjiang,1.093753
Baise,1.091663
Qujing,1.088794
Yuxi,1.085809
Pu'er,1.082695
Baicheng,1.082617
Danzhou,1.082311
Yulin,1.081714
Liaoyuan,1.080679
Tacheng,1.078112
Wuzhishan,1.078001
Wuzhou,1.076031
Shizuishan,1.072451
Hotan,1.072242
Ziyang,1.070670
Hechi,1.068679
Jinchang,1.066359
Bortala,1.065841
Wuzhong,1.064617
Shuangyashan,1.063121
Ledong,1.061439
Qingyang,1.060050
Wenchang,1.056144
Qianxinan,1.055884
Lincang,1.051135
Bijie,1.051062
Shanwei,1.046081
Haidong,1.045942
Changhua,1.045942
Panzhihua,1.045870
Guigang,1.034088
Dingan,1.032149
Dongfang,1.032149
Hegang,1.027295
Huangnan,1.027295
Longnan,1.014434
Golog,1.011142
Wenshan,1.011142
Bazhong,1.011074
Zhaotong,1.001123
Liupanshui,1.001123
Guyuan,0.993308
Laibin,0.989127
Yushuzhou,0.974017
Chengmai,0.974017
Nujiang,0.959576
Kezilsu,0.933869
Changjiang,0.920598
Qiongzhong,0.879775
