city,distance
Fuzhou,4.837693
Shamen,4.685277
Shanghai,4.339109
Nanping,4.011191
Longyan,3.366319
Quanzhou,3.317787
Beijing,3.113315
Nanchang,3.047474
Zhangzhou,2.949553
Hangzhou,2.894955
Shenzhen,2.835452
Dongguan,2.769731
Guangzhou,2.733963
Fuzhou,2.654892
Quzhou,2.654892
Yingtan,2.610576
Shenyang,2.562091
Jinhua,2.447548
Shangrao,2.447548
Wuhan,2.447548
Jiujiang,2.377070
Nanjing,2.377070
Ningde,2.377070
Putian,2.377070
Heyuan,2.291983
Hong Kong,2.291983
Huizhou,2.291983
Jiaxing,2.291983
Meizhou,2.291983
Wuxi,2.291983
Suzhou,2.200983
Harbin,2.181907
Shantou,2.181907
Shaoxing,2.181907
Tianjin,2.181907
Xuzhou,2.181907
Yichang,2.181907
Dezhou,2.016359
Foshan,2.016359
Ganzhou,2.016359
Huaihua,2.016359
Huangshan,2.016359
Huangshi,2.016359
Hulunbuir,2.016359
Jieyang,2.016359
Jinan,2.016359
Jingdezhen,2.016359
Ma'anshan,2.016359
Macau,2.016359
Maoming,2.016359
Ningbo,2.016359
Pingxiang,2.016359
Qingdao,2.016359
Taipei,2.016359
Changsha,2.016359
Wenzhou,2.016359
Xi'an,2.016359
Yichun,2.016359
Yiyang,2.016359
Zhanjiang,2.016359
Zhenjiang,2.016359
Changzhou,1.836267
Zhoushan,1.744205
Chengdou,1.730496
Nantong,1.728106
Huzhou,1.687782
Sanya,1.683400
Yangzhou,1.637289
Chongqing,1.624580
Kunming,1.580589
Dalian,1.580484
Hefei,1.571234
Zhengzhou,1.569223
Taizhou,1.563303
Taizhou,1.539182
Langfang,1.532187
Kinmen,1.527038
Guilin,1.522332
Nanning,1.522165
Jian,1.518805
Baoding,1.499768
Shijiazhuang,1.496202
Qinhuangdao,1.494935
Yancheng,1.490236
Zhuhai,1.478287
Changchun,1.476268
Lijiang,1.474216
New Taipei,1.473993
Haikou,1.470966
Taoyuan,1.461577
Guiyang,1.453447
Fushun,1.452199
Yantai,1.451211
Taiyuan,1.449167
Urumqi,1.448044
Lanzhou,1.440802
Zhongshan,1.440233
Anshan,1.439998
Hualien,1.439703
Lianyungang,1.439100
Xinyu,1.436697
Zhangjiajie,1.435560
Tangshan,1.435330
Wuhu,1.420597
Zhangjiakou,1.413939
Xuancheng,1.412710
Jiangmen,1.409613
Chengde,1.402091
Taichung,1.398909
Chaozhou,1.397601
Lishui,1.394438
Jinzhou,1.390946
Liaoyang,1.387146
Benxi,1.381620
Hohhot,1.378630
Lhasa,1.378410
Huai'an,1.376293
Chizhou,1.375617
Qingyuan,1.374789
Dandong,1.372976
Ngawa,1.370421
Xiangxi,1.370389
