city,distance
Shenyang,6.178651
Beijing,4.100834
Dandong,3.844488
Dalian,3.638016
Shanghai,3.511572
Anshan,3.075163
Liaoyang,3.047655
Tianjin,2.734109
Chongqing,2.646784
Fushun,2.635790
Jinzhou,2.635790
Yingkou,2.635790
Changchun,2.578906
Guangzhou,2.578906
Harbin,2.514718
Shenzhen,2.514718
Tieling,2.514718
Zhengzhou,2.440377
Panjin,2.350784
Wuhan,2.350784
Cangzhou,2.235129
Chongqing,2.235129
Hangzhou,2.235129
Jinan,2.235129
Qinhuangdao,2.235129
Shuozhou,2.235129
Yantai,2.235129
Chengdou,2.061727
Dezhou,2.061727
Kunming,2.061727
Langfang,2.061727
Nanjing,2.061727
Nantou,2.061727
Ningbo,2.061727
Sanya,2.061727
Shamen,2.061727
Shijiazhuang,2.061727
Taiyuan,2.061727
Tonghua,2.061727
Urumqi,2.061727
Wuxi,2.061727
Xianning,2.061727
Xianyang,2.061727
Yanbian,2.061727
Zibo,2.061727
Suzhou,1.965976
Qingdao,1.793024
Jilin,1.784266
Xi'an,1.779749
Fuxin,1.763957
Siping,1.758978
Hong Kong,1.749914
Jiaxing,1.749626
Chaoyang,1.737766
Baoding,1.696579
Tangshan,1.679697
Changzhou,1.669745
Tongliao,1.669372
Hohhot,1.661233
Ma'anshan,1.623753
Datong,1.618880
Zhoushan,1.593276
Daqing,1.590590
Changsha,1.590590
Zhangjiakou,1.587564
Foshan,1.580272
Nantong,1.579832
Baishan,1.573039
Chengde,1.572643
Zhuhai,1.558506
Taipei,1.553210
Hulunbuir,1.548022
Huzhou,1.546062
Quanzhou,1.542506
Chifeng,1.542506
Xuzhou,1.524662
Yichang,1.524662
Shaoxing,1.522735
Hefei,1.520498
Lanzhou,1.511481
Qiqihar,1.511481
Weifang,1.511481
Dongguan,1.504425
Yangzhou,1.503587
Luoyang,1.502772
Nanchang,1.502702
Mudanjiang,1.497013
Tai'an,1.489202
Guiyang,1.483873
Jinhua,1.483136
Weihai,1.479405
Fuzhou,1.476822
Wenzhou,1.472171
Guilin,1.472106
Kaifeng,1.467034
Jiamusi,1.462813
Zhenjiang,1.462077
Lijiang,1.458483
Xuchang,1.454195
Yinchuan,1.452775
Taichung,1.451533
Taoyuan,1.451130
Huangshan,1.449362
Nanning,1.448308
Haikou,1.437486
Changde,1.430141
Ordos,1.430141
Songyuan,1.430141
Baotou,1.429428
Lhasa,1.425505
Jinzhong,1.424906
Xining,1.420636
Taizhou,1.420442
Lianyungang,1.417182
Liaoyuan,1.417182
Liuzhou,1.417182
Yiyang,1.417182
Macau,1.416700
Jining,1.404583
Baicheng,1.402771
Hinggan,1.402771
Sanming,1.402771
Garze,1.402771
Xinzhou,1.399108
Taizhou,1.396287
Ngawa,1.393824
Xinxiang,1.393537
Zhongshan,1.390750
Suihua,1.386905
Qingyuan,1.386495
Jiaozuo,1.386172
Shantou,1.384779
Handan,1.380914
Yancheng,1.378653
Heze,1.367726
Baoji,1.367726
Jiangmen,1.367229
Hengshui,1.363885
Huizhou,1.363186
Jiujiang,1.359558
Chiayi,1.354917
Dali,1.350751
Xingtai,1.347424
Hualien,1.345434
Lishui,1.345434
Mianyang,1.345434
Nanping,1.345434
New Taipei,1.345434
Jian,1.345434
Shangrao,1.345296
Dongying,1.345145
Xilingol,1.344375
Kaohsiung,1.343968
Zaozhuang,1.343210
Zhangjiajie,1.343210
Turpan,1.338764
Linyi,1.333862
Anyang,1.331291
Changji,1.327422
Leshan,1.324771
Xiangtan,1.320859
Zhaoqing,1.320014
Wuhu,1.318844
Liaocheng,1.317746
Pingdong,1.317746
Daxinganling,1.317746
Shuangyashan,1.317746
Bangbu,1.317746
Zhuzhou,1.317746
Xuancheng,1.312043
Alty,1.310031
Huai'an,1.308790
Nanyang,1.305644
Diqing,1.305005
Shaoguan,1.303409
Pingdingshan,1.302800
Ulanqab,1.302217
Heihe,1.302216
Jingzhou,1.300226
Yan'an,1.297010
Yichun,1.294830
Huanggang,1.294084
Yueyang,1.294001
Nanchong,1.293980
Shangqiu,1.293299
Jixi,1.293299
Yuxi,1.293299
Xiangyang,1.291839
Xiaogan,1.287199
Binzhou,1.286415
Huangshi,1.285544
Wanning,1.285224
Ili(Yili),1.285113
Yangquan,1.283758
Weicu,1.283379
Bayannur,1.280601
Jieyang,1.280601
Qionghai,1.280601
Jingdezhen,1.280601
Changhua,1.280601
Xiangxi,1.280601
Jiuquan,1.280601
Ganzhou,1.280601
Yingtan,1.280601
Yongzhou,1.280601
Yulin,1.280601
Zhangzhou,1.280601
Chizhou,1.280601
Tainan,1.276021
Beihai,1.270113
Quzhou,1.263918
Xinyang,1.262124
Rizhao,1.261289
Sanmenxia,1.257123
Shiyan,1.257106
Changzhi,1.254345
Luohe,1.251982
Chuzhou,1.251610
Yuncheng,1.251610
Bayingolin,1.248487
Yangjiang,1.246349
Deyang,1.242057
Keramay,1.240891
Xishuangbanna,1.234789
Meizhou,1.234474
Puyang,1.234474
Kashgar,1.232646
Ezhou,1.232112
Zhanjiang,1.231431
Anqing,1.228792
Baoshan,1.228737
Lvliang,1.226421
Jingmen,1.225550
Zhumadian,1.224745
Zhongwei,1.222748
Haidong,1.221729
Pingliang,1.221729
Loudi,1.221729
Taidong,1.221729
Qiannan,1.221729
Wuhai,1.221729
Chenzhou,1.221729
Chongzuo,1.221729
Xiuzhou,1.221729
Haixi,1.221729
Bozhou,1.221729
Yulin,1.221729
Meishan,1.221729
Zhangye,1.221729
Liangshanzhou,1.221729
Hegang,1.221729
Zunyi,1.221729
Linfen,1.221490
Zhoukou,1.221175
Weinan,1.220396
Longyan,1.212810
Yibin,1.212180
Fuyang,1.209337
Qiandongnan,1.209337
Ningde,1.209108
Hsinchu,1.208891
Guang'an,1.208795
Yichun,1.207882
Enshi,1.205958
Yunlin,1.205524
Heyuan,1.202679
Qitaihe,1.202663
Gannan,1.200235
Honghe,1.198883
Qujing,1.198636
Miaoli,1.196514
Dazhou,1.190504
Dehong,1.190107
Hezhou,1.190107
Ya'an,1.188300
Hebi,1.184572
Kumul(Hami),1.183616
Shanwei,1.183061
Pingxiang,1.182646
Anshun,1.182646
Lu'an,1.177280
Aksu,1.174630
Suining,1.174492
Jiyuan,1.173156
Maoming,1.172872
Nyingchi,1.172320
Suizhou,1.172143
Hengyang,1.169189
Tongling,1.169055
Xiuqian,1.168735
Jincheng,1.167814
Hanzhong,1.167814
Guangyuan,1.167814
Luzhou,1.167814
Huainan,1.165468
Laiwu,1.165393
Lingshui,1.163551
Alxa,1.158011
Jiayuguan,1.158011
Wuzhou,1.155814
Neijiang,1.155497
Huaihua,1.152641
Chaozhou,1.149934
Keelung,1.146897
Tianshui,1.143866
Tacheng,1.142532
Zigong,1.140746
Ankang,1.139978
Yunfu,1.139854
Huaibei,1.136628
Hotan,1.135943
Baiyin,1.133680
Wuzhong,1.133680
Bazhong,1.133680
Ziyang,1.133680
Xinyu,1.129701
Bortala,1.128761
Putian,1.127073
Pu'er,1.124281
Shizuishan,1.122790
Qinzhou,1.122790
Haibei,1.118656
Yilan,1.118656
Tongren,1.108643
Qianxinan,1.104726
Wenchang,1.104726
Fuzhou,1.102045
Shannan,1.099449
Bijie,1.099449
Baoting,1.097598
Wenshan,1.095390
Qamdo,1.093768
Panzhihua,1.093768
Danzhou,1.087297
Huangnan,1.087297
Shaoyang,1.087297
Baise,1.087297
Fangchenggang,1.086392
Jinchang,1.080889
Guigang,1.080889
Shangluo,1.080225
Kinmen,1.079380
Tongchuan,1.072815
Sansha,1.071200
Penghu,1.071200
Wuzhishan,1.069537
Zhaotong,1.069180
Nagqu,1.065181
Qingyang,1.064537
Ledong,1.053232
Lincang,1.052028
Linxia,1.044852
Wuwei,1.044852
Hechi,1.044852
Longnan,1.044852
Liupanshui,1.043377
Guyuan,1.031793
Dingxi,1.025446
Dongfang,1.024388
Dingan,1.024388
Yushuzhou,1.015430
Chengmai,1.015430
Golog,1.015430
Nujiang,1.013452
Laibin,0.994549
Kezilsu,0.981822
Ngari,0.938601
Changjiang,0.890647
Qiongzhong,0.874129
