city,distance
Zhuhai,6.092008
Shanghai,5.272468
Yilan,3.473072
Xi'an,3.226421
Nanjing,3.012481
Beijing,2.877121
Changsha,2.705766
Fuzhou,2.705766
Hong Kong,2.705766
Wuhan,2.705766
Guangzhou,2.687479
Macau,2.605001
Haikou,2.455736
Hezhou,2.455736
Ledong,2.455736
Sanya,2.455736
Wanning,2.455736
Wuxi,2.455736
Zhengzhou,2.455736
Suzhou,2.418117
Zhongshan,2.376860
Shenzhen,2.336476
Hangzhou,2.308286
Taipei,2.215091
Jiaxing,2.098889
Shamen,2.026673
Changzhou,1.984971
Ningbo,1.983725
Jiangmen,1.973685
Foshan,1.959059
New Taipei,1.946911
Dongguan,1.897507
Hualien,1.897093
Zhoushan,1.877830
Chengdou,1.861950
Nantong,1.859183
Huzhou,1.812592
Qingdao,1.796648
Shaoxing,1.780611
Yangzhou,1.754484
Chongqing,1.739899
Xianyang,1.732332
Taoyuan,1.731406
Jinhua,1.726702
Tianjin,1.723477
Zhenjiang,1.698224
Kunming,1.689538
Dalian,1.689418
Shantou,1.681163
Huangshan,1.681095
Weinan,1.680672
Hefei,1.678852
Baoji,1.676777
Wenzhou,1.673043
Shenyang,1.645695
Qingyuan,1.643978
Taizhou,1.642311
Nanning,1.639333
Zhanjiang,1.639333
Guilin,1.634564
Wuzhou,1.632249
Jinan,1.631260
Guiyang,1.629661
Harbin,1.626866
Huizhou,1.619423
Taizhou,1.610107
Nanchang,1.607045
Zhaoqing,1.602826
Qionghai,1.597302
Yangjiang,1.590783
Yancheng,1.586704
Taichung,1.581073
Shaoguan,1.577796
Yan'an,1.571951
Hsinchu,1.571080
Keelung,1.571080
Changchun,1.570880
Lijiang,1.568556
Taiyuan,1.563684
Xuzhou,1.548029
Quanzhou,1.545375
Shangrao,1.542680
Yantai,1.542539
Urumqi,1.538961
Lanzhou,1.530784
Kaohsiung,1.530146
Lianyungang,1.528863
Ningde,1.527005
Zhangjiajie,1.524867
Taidong,1.516138
Luoyang,1.508582
Zhuzhou,1.508196
Wuhu,1.507996
Shijiazhuang,1.506925
Xiangtan,1.505187
Xuancheng,1.499112
Nantou,1.492291
Baoding,1.489371
Meishan,1.489371
Xiangxi,1.484998
Hanzhong,1.481231
Langfang,1.472688
Kaifeng,1.472570
Putian,1.471278
Nanping,1.465318
Xining,1.465058
Yueyang,1.463521
Maoming,1.462976
Chaozhou,1.462976
Hohhot,1.460792
Lhasa,1.460544
Huai'an,1.458168
Chizhou,1.457409
Ankang,1.454895
Tainan,1.452693
Ngawa,1.451578
Hengyang,1.450949
Yichang,1.448515
Xianning,1.442613
Qinhuangdao,1.438241
Yinchuan,1.437790
Quzhou,1.436611
Jiujiang,1.436018
Weihai,1.431327
Jieyang,1.430297
Heyuan,1.430297
Meizhou,1.430297
Beihai,1.430297
Changde,1.429972
Tai'an,1.429309
Lishui,1.429152
Pingdong,1.427571
Bangbu,1.427418
Yulin,1.422211
Chuzhou,1.415633
Yingtan,1.414411
Shangluo,1.414267
Miaoli,1.412950
Liuzhou,1.410332
Shanwei,1.410332
Suining,1.410332
Yunfu,1.410332
Jining,1.402078
Jingzhou,1.401958
Sanmenxia,1.399052
Xinxiang,1.398532
Huanggang,1.394820
Ma'anshan,1.393289
Xiangyang,1.392212
Sanming,1.391323
Jiaozuo,1.391114
Jingdezhen,1.389904
Jian,1.387537
Xiaogan,1.386825
Weifang,1.386642
Huangshi,1.386642
Ganzhou,1.386642
Tianshui,1.386292
Tangshan,1.382987
Dali,1.382661
Anqing,1.378053
Loudi,1.377030
Diqing,1.373993
Linyi,1.373750
Wenchang,1.371885
Jiuquan,1.371329
Yiyang,1.369655
Tongchuan,1.369137
Zhangzhou,1.366523
Zaozhuang,1.366218
Mianyang,1.364915
Zhangjiakou,1.363117
Dongfang,1.359142
Jilin,1.357250
Fangchenggang,1.357250
Chenzhou,1.357250
Yichun,1.357250
Rizhao,1.353940
Chengde,1.352102
Shiyan,1.351956
Baotou,1.351028
Zibo,1.339239
Yanbian,1.338912
Jiayuguan,1.331148
Datong,1.330409
Lu'an,1.325720
Jinzhong,1.323745
Ezhou,1.323091
Anyang,1.318684
Ili(Yili),1.317878
Huainan,1.317878
Xishuangbanna,1.317878
Jingmen,1.315528
Tongling,1.315299
Huaihua,1.315135
Xiuqian,1.314893
Hulunbuir,1.313256
Yuncheng,1.311010
Ordos,1.310330
Danzhou,1.309502
Jinzhou,1.309051
Pingdingshan,1.307165
Longyan,1.303780
Xuchang,1.303036
Garze,1.302876
Leshan,1.302876
Yongzhou,1.296369
Dongying,1.295841
Shangqiu,1.294724
Cangzhou,1.293118
Baoting,1.293013
Wuzhishan,1.293013
Dingan,1.293013
Changjiang,1.293013
Enshi,1.292979
Dezhou,1.291889
Yulin,1.289107
Changhua,1.289079
Chiayi,1.289079
Yunlin,1.289079
Shaoyang,1.287353
Zhongwei,1.286267
Xinyang,1.285994
Lingshui,1.284049
Panjin,1.281305
Suihua,1.280746
Haixi,1.280184
Baoshan,1.279620
Fuyang,1.277907
Huaibei,1.274394
Xinzhou,1.273796
Chengmai,1.272815
Guangyuan,1.271298
Xiuzhou,1.266982
Xinyu,1.265692
Handan,1.265692
Qingyang,1.263870
Pingxiang,1.256761
Luohe,1.256013
Qinzhou,1.255612
Liangshanzhou,1.255612
Anshun,1.255612
Liaocheng,1.255612
Panzhihua,1.255612
Qiqihar,1.255612
Xingtai,1.255612
Qiannan,1.255612
Bozhou,1.255612
Liupanshui,1.255612
Yibin,1.255612
Hinggan,1.255612
Daqing,1.254730
Suizhou,1.254187
Linfen,1.253738
Chifeng,1.253538
Nanyang,1.253321
Anshan,1.252533
Huludao,1.250424
Mudanjiang,1.246422
Dandong,1.243217
Qiandongnan,1.239056
Pingliang,1.232359
Fuzhou,1.231079
Deyang,1.230150
Zhumadian,1.228601
Changzhi,1.228264
Zhoukou,1.225009
Puyang,1.221275
Alty,1.217157
Weicu,1.214987
Nyingchi,1.212765
Baishan,1.203294
Dingxi,1.201064
Yongzhou,1.200375
Chongzuo,1.199471
Hengshui,1.194862
Luzhou,1.194107
Penghu,1.192714
Yingkou,1.192714
Ya'an,1.191298
Kashgar,1.189860
Shuozhou,1.186911
Zunyi,1.186911
Fushun,1.185398
Zhangye,1.180140
Xilingol,1.179862
Jiyuan,1.176694
Turpan,1.175726
Guigang,1.175104
Nagqu,1.172246
Kinmen,1.170451
Guyuan,1.170130
Benxi,1.168617
Yichun,1.166743
Tongliao,1.164827
Nanchong,1.164827
Hebi,1.163147
Keramay,1.162866
Bayingolin,1.162866
Jiamusi,1.158801
Shannan,1.156692
Laiwu,1.156692
Dazhou,1.152475
Wuwei,1.152475
Haibei,1.152305
Ulanqab,1.147266
Jincheng,1.145643
Lvliang,1.145643
Heze,1.145643
Liaoyang,1.140187
Gannan,1.140187
Honghe,1.137530
Daxinganling,1.137530
Tieling,1.134781
Yangquan,1.132914
Shizuishan,1.129961
Baise,1.128982
Qujing,1.125915
Bayannur,1.125915
Dehong,1.125915
Yuxi,1.122722
Wuzhong,1.120781
Neijiang,1.120781
Pu'er,1.119394
Zigong,1.119394
Chaoyang,1.115915
Kumul(Hami),1.110367
Haidong,1.110367
Hechi,1.104418
Heihe,1.100161
Baiyin,1.098297
Bazhong,1.098297
Siping,1.095646
Jixi,1.090838
Changji,1.090838
Fuxin,1.090838
Liaoyuan,1.085692
Hotan,1.085692
Lincang,1.085692
Songyuan,1.085692
Jinchang,1.083876
Wuhai,1.083876
Guang'an,1.083876
Qiongzhong,1.082179
Alxa,1.080152
Bortala,1.080152
Aksu,1.080152
Qianxinan,1.074149
Longnan,1.065834
Ziyang,1.061973
Baicheng,1.060352
Shuangyashan,1.060352
Tongren,1.060352
Tonghua,1.054959
Bijie,1.052264
Hegang,1.052264
Wenshan,1.043078
Golog,1.043078
Yushuzhou,1.041403
Zhaotong,1.032420
Ngari,1.019667
Qitaihe,1.019667
Linxia,1.019667
Laibin,1.019667
Huangnan,1.003684
Kezilsu,1.002132
Qamdo,1.002132
Tacheng,1.002132
Nujiang,0.981990
