city,distance
Shanghai,6.400641
Beijing,3.983886
Haikou,3.733641
Wanning,3.412452
Qionghai,3.158379
Guangzhou,3.025307
Hangzhou,2.800383
Lingshui,2.670883
Suzhou,2.630784
Shenzhen,2.605585
Wuhan,2.581862
Nanjing,2.554404
Chengdou,2.544027
Tianjin,2.528033
Chongqing,2.522581
Hong Kong,2.488475
Changsha,2.386174
Shamen,2.382433
Baoting,2.347141
Xi'an,2.347141
Jiaxing,2.257274
Wuzhishan,2.222452
Wuxi,2.216700
Harbin,2.186425
Kunming,2.180035
Ningbo,2.180035
Zhengzhou,2.180035
Guiyang,2.166881
Ledong,2.153187
Changzhou,2.131508
Wenchang,2.131508
Wenzhou,2.116198
Fuzhou,2.100108
Nanchang,2.100108
Zhuhai,2.100108
Guilin,2.083137
Shenyang,2.083137
Urumqi,2.083137
Jinan,2.065163
Shijiazhuang,2.046037
Zhoushan,2.046037
Dingan,2.035985
Dongfang,2.035985
Zhanjiang,2.035985
Changchun,2.014760
Qingdao,2.003520
Nantong,1.982395
Taiyuan,1.979573
Nanning,1.966759
Taipei,1.966759
Dalian,1.953299
Hefei,1.953299
Dali,1.939113
Huzhou,1.929511
Tongliao,1.924103
Foshan,1.908149
Lanzhou,1.908149
Danzhou,1.908149
Shaoxing,1.893313
Hohhot,1.872780
Huangshan,1.872780
Lijiang,1.872780
Yangzhou,1.863801
Dongguan,1.852931
Jinhua,1.832480
Macau,1.831235
Liuzhou,1.807245
Yantai,1.807245
Zhenjiang,1.807245
Chengmai,1.780320
Huai'an,1.749492
Huizhou,1.749492
Baotou,1.749492
Baoding,1.749492
Beihai,1.749492
Zhongshan,1.749492
Taizhou,1.737716
Langfang,1.716821
Longyan,1.713185
Ordos,1.713185
Qinhuangdao,1.713185
Quanzhou,1.713185
Tangshan,1.713185
Taoyuan,1.713185
Diqing,1.713185
Yichang,1.713185
Yinchuan,1.713185
Taizhou,1.701703
Yancheng,1.675583
Anyang,1.668542
Luoyang,1.668542
Dongying,1.668542
Mianyang,1.668542
Qiandongnan,1.668542
Chizhou,1.668542
Qingyuan,1.668542
Rizhao,1.668542
Shangrao,1.668542
Tai'an,1.668542
Changzhi,1.668542
Weihai,1.668542
Changde,1.668542
Xuancheng,1.668542
Zhangjiajie,1.668542
Xuzhou,1.632513
Lianyungang,1.611212
Honghe,1.609433
Huaibei,1.609433
Huaihua,1.609433
Huainan,1.609433
Huangshi,1.609433
Hulunbuir,1.609433
Jinzhong,1.609433
Jiujiang,1.609433
Linfen,1.609433
Luohe,1.609433
Maoming,1.609433
Nanping,1.609433
Nanyang,1.609433
Ningde,1.609433
Putian,1.609433
Qinzhou,1.609433
Qiqihar,1.609433
Dandong,1.609433
Shantou,1.609433
Deyang,1.609433
Chifeng,1.609433
Ganzhou,1.609433
Datong,1.609433
Weifang,1.609433
Hengyang,1.609433
Wuhu,1.609433
Xuchang,1.609433
Yibin,1.609433
Yichun,1.609433
Yingtan,1.609433
Yueyang,1.609433
Zaozhuang,1.609433
Zhangjiakou,1.569725
Chengde,1.555136
Lhasa,1.535518
Ngawa,1.525611
Jiuquan,1.517530
Jiyuan,1.517530
Kaifeng,1.517530
Kaohsiung,1.517530
Kashgar,1.517530
Cangzhou,1.517530
Leshan,1.517530
Hotan,1.517530
Linyi,1.517530
Liupanshui,1.517530
Huanggang,1.517530
Handan,1.517530
Lvliang,1.517530
Meishan,1.517530
Meizhou,1.517530
Changjiang,1.517530
Chuzhou,1.517530
Daxinganling,1.517530
Jinzhou,1.517530
Pingdingshan,1.517530
Huludao,1.517530
Benxi,1.517530
Qiannan,1.517530
Guangyuan,1.517530
Anqing,1.517530
Qiongzhong,1.517530
Daqing,1.517530
Anshan,1.517530
Quzhou,1.517530
Ili(Yili),1.517530
Sansha,1.517530
Aksu,1.517530
Shangluo,1.517530
Jiamusi,1.517530
Shanwei,1.517530
Jian,1.517530
Jining,1.517530
Shiyan,1.517530
Shizuishan,1.517530
