city,distance
Shanghai,6.476989
Beijing,3.666525
Fuzhou,3.477271
Zhangzhou,3.354428
Quanzhou,3.350879
Guangzhou,3.010817
Hangzhou,2.947295
Longyan,2.945496
Nanjing,2.785878
Shenzhen,2.675166
Suzhou,2.643592
Hong Kong,2.542337
Wuhan,2.525778
Nanping,2.455176
Ningbo,2.455176
Chengdou,2.436234
Tianjin,2.360446
Putian,2.356338
Wenzhou,2.329297
Changsha,2.308116
Chongqing,2.308116
Sanming,2.301846
Xi'an,2.297075
Wuxi,2.293861
Ningde,2.279051
Jiaxing,2.266696
Kinmen,2.265376
Qingdao,2.222949
Zhengzhou,2.211000
Nanchang,2.206925
Hefei,2.196522
Shantou,2.181407
Kunming,2.141590
Changzhou,2.134409
Taizhou,2.118363
Jinan,2.096181
Sanya,2.093293
Shenyang,2.081464
Taipei,2.081464
Jinhua,2.065998
Shaoxing,2.062807
Zhuhai,2.059581
Shijiazhuang,2.053022
Guilin,2.049687
Nanning,2.046314
Dalian,2.014040
Zhoushan,2.011030
Dongguan,2.002413
Nantong,1.998427
Taichung,1.994382
Haikou,1.986111
Yangzhou,1.986111
Ganzhou,1.981879
Chaozhou,1.968773
Guiyang,1.964258
Huzhou,1.936392
Taoyuan,1.935414
Tangshan,1.925039
Changchun,1.902921
Foshan,1.897070
Huangshan,1.891077
Macau,1.878630
Huizhou,1.872157
Lijiang,1.858659
Kaohsiung,1.851608
Urumqi,1.844337
Harbin,1.836829
Xuzhou,1.829067
Wuhu,1.821029
Taiyuan,1.812693
Zhenjiang,1.806428
Jieyang,1.804031
Lanzhou,1.795014
Wuzhou,1.795014
Shangrao,1.775768
Yunlin,1.765450
Yantai,1.754597
Zhongshan,1.754597
Taizhou,1.743295
Shanwei,1.743142
Kaifeng,1.731002
Jingdezhen,1.718080
Luoyang,1.718080
Chizhou,1.704249
Huai'an,1.704249
Meizhou,1.704249
Fuzhou,1.704249
Jiujiang,1.689352
Liuzhou,1.689352
Yancheng,1.689352
Yingtan,1.689352
Zhuzhou,1.689352
Hengshui,1.655474
Jian,1.655474
Jiangmen,1.655474
Baotou,1.655474
Bangbu,1.655474
Xiangyang,1.655474
Zhangjiajie,1.655474
Langfang,1.655085
Lhasa,1.635843
Ordos,1.635843
Quzhou,1.635843
Dali,1.635843
Changde,1.635843
Xining,1.635843
Zhanjiang,1.635843
Zhaoqing,1.635843
Baoding,1.617321
Lianyungang,1.616007
Fuyang,1.613752
Qinhuangdao,1.613752
Shaoguan,1.613752
Tainan,1.613752
Xiangxi,1.613752
Hohhot,1.613752
Xuancheng,1.613752
Yichang,1.613752
Yinchuan,1.613752
Yiyang,1.613752
Jining,1.588382
