city,distance
Xi'an,6.900207
Ankang,3.324274
Shiyan,3.272882
Shanghai,3.160208
Xianyang,3.160208
Beijing,3.097616
Nanyang,2.954679
Baoji,2.870726
Xinyang,2.870726
Hanzhong,2.774251
Chengdou,2.659044
Hefei,2.659044
Hangzhou,2.512017
Jiaozuo,2.512017
Weinan,2.512017
Changsha,2.295077
Dongguan,2.295077
Guangzhou,2.295077
Jiuquan,2.295077
Kunming,2.295077
Luoyang,2.295077
Ngawa,2.295077
Sanya,2.295077
Shangrao,2.295077
Shenzhen,2.295077
Tongchuan,2.295077
Xining,2.295077
Yuncheng,2.295077
Yan'an,2.122537
Lanzhou,2.037469
Zhengzhou,2.029504
Wuhan,2.024000
Nanjing,1.999961
Chongqing,1.962047
Tianjin,1.898375
Xiangyang,1.888322
Lhasa,1.874246
Yinchuan,1.861613
Yulin,1.858347
Suzhou,1.850771
Taiyuan,1.833188
Sanmenxia,1.819001
Shamen,1.814066
Hong Kong,1.804897
Tianshui,1.797491
Qingdao,1.787584
Urumqi,1.786454
Shijiazhuang,1.778377
Dazhou,1.759767
Jinan,1.745332
Shenyang,1.735449
Dalian,1.733997
Wuxi,1.728081
Jiayuguan,1.705863
Nanchang,1.702473
Xuzhou,1.702473
Guiyang,1.695507
Jinzhong,1.693725
Harbin,1.680762
Guilin,1.668890
Jiaxing,1.657790
Yichang,1.648402
Pingdingshan,1.634920
Zhongwei,1.632850
Fuzhou,1.622573
Garze,1.611647
Guangyuan,1.608803
Haixi,1.608803
Ningbo,1.608803
Qingyang,1.596926
Changzhou,1.590657
Ordos,1.590657
Nanning,1.587432
Zhumadian,1.585069
Bangbu,1.584142
Hohhot,1.584142
Baoding,1.584142
Lijiang,1.580785
Linfen,1.580785
Taipei,1.577358
Kaifeng,1.559042
Mianyang,1.555113
Leshan,1.548246
Pingliang,1.546948
Shaoxing,1.543544
Yangzhou,1.542700
Haikou,1.538332
Changchun,1.529206
Xiaogan,1.529162
Langfang,1.528375
Suizhou,1.526320
Wenzhou,1.524430
Shangqiu,1.519498
Zhuhai,1.519498
Zhoushan,1.516761
Xiangxi,1.514399
Nantong,1.504572
Macau,1.497954
Dingxi,1.497954
Xinxiang,1.496130
Qinhuangdao,1.491306
Yantai,1.485861
Zhangjiajie,1.485861
Laiwu,1.481766
Huzhou,1.473912
Jinhua,1.472649
Wuhu,1.472040
Foshan,1.468955
Weifang,1.465546
Zhangye,1.465546
Luohe,1.464646
Nanchong,1.458814
Baotou,1.458060
Anyang,1.458060
Fuyang,1.452478
Huangshan,1.451984
Xinzhou,1.450140
Guyuan,1.450140
Dali,1.447149
Tongliao,1.445856
Anqing,1.444060
Nagqu,1.441729
Handan,1.441729
Xingtai,1.441729
Zhenjiang,1.441729
Deyang,1.436450
Jining,1.432753
Taoyuan,1.432753
Tangshan,1.431984
Lu'an,1.428272
Linyi,1.423122
Datong,1.423122
Wuwei,1.423122
Chizhou,1.417109
Enshi,1.415543
Haibei,1.413489
Jincheng,1.412720
Bayingolin,1.412720
Lvliang,1.412720
Jilin,1.412720
Tai'an,1.412720
Taizhou,1.412720
Heze,1.412720
Zhangjiakou,1.410692
Changzhi,1.410597
Nyingchi,1.401396
Weihai,1.401396
Cangzhou,1.401396
Chengde,1.398898
Quzhou,1.395069
Huainan,1.390965
Lianyungang,1.388950
Jiyuan,1.388950
Shizuishan,1.388950
Yibin,1.388950
Jiujiang,1.388950
Changde,1.388950
Huanggang,1.388141
Jingdezhen,1.383042
Yingtan,1.381852
Daqing,1.375105
Huai'an,1.375105
Mudanjiang,1.375105
Neijiang,1.375105
Diqing,1.375105
Anshan,1.375105
Chuzhou,1.375105
Huangshi,1.375105
Wuzhong,1.375105
Jian,1.375105
Wanning,1.372195
Zhuzhou,1.371408
Weicu,1.370092
Xiangtan,1.368919
Gannan,1.365309
Ya'an,1.364560
Luzhou,1.359461
Ma'anshan,1.359461
Hulunbuir,1.359461
Nanping,1.359461
Dezhou,1.359461
Sansha,1.359461
Kumul(Hami),1.359461
Taizhou,1.359461
Tieling,1.359461
Binzhou,1.359461
Huizhou,1.359461
Haidong,1.359461
Xuchang,1.359461
Yangquan,1.359461
Yueyang,1.359461
Zibo,1.359461
Xianning,1.357179
Jingzhou,1.357179
Liupanshui,1.343619
Suining,1.342050
Zhongshan,1.342050
Baiyin,1.341412
Quanzhou,1.341412
Bazhong,1.341412
Jinzhou,1.341412
Chifeng,1.341412
Liuzhou,1.341412
Yancheng,1.341412
Yiyang,1.341412
Bayannur,1.341412
Tongling,1.340139
Jingmen,1.339498
Zhoukou,1.336686
Qionghai,1.329198
Longnan,1.324857
Meishan,1.323938
Hengyang,1.323910
Putian,1.319963
Jinchang,1.319963
Rizhao,1.319963
Alty,1.319963
Shaoguan,1.319963
Dandong,1.319963
Changji,1.319963
Guang'an,1.319963
Wuhai,1.319963
Huludao,1.319963
Xishuangbanna,1.319963
Xiuzhou,1.319963
New Taipei,1.319963
Hsinchu,1.319963
Baoshan,1.307995
Yuxi,1.307590
Liangshanzhou,1.300016
Shantou,1.293302
Alxa,1.293302
Anshun,1.293302
Turpan,1.293302
Ili(Yili),1.293302
Xiuqian,1.293302
Pingdong,1.293302
Honghe,1.293302
Zaozhuang,1.293302
Qingyuan,1.293302
Zunyi,1.293302
Yichun,1.291237
Jiangmen,1.283103
Hengshui,1.277535
Huaihua,1.277535
Hebi,1.277535
Zigong,1.277535
Beihai,1.275222
Qujing,1.273939
Bozhou,1.265613
Shannan,1.264379
Loudi,1.262093
Huangnan,1.260522
Xuancheng,1.259712
Kashgar,1.257505
Taichung,1.257505
Ningde,1.257505
Ulanqab,1.257505
Keramay,1.257505
Fuzhou,1.257505
Qiandongnan,1.257505
Dongying,1.257505
Qiannan,1.257505
Xilingol,1.257505
Daxinganling,1.257505
Kaohsiung,1.257505
Heyuan,1.257505
Pingxiang,1.257505
Yushuzhou,1.257505
Fangchenggang,1.257505
Zhanjiang,1.257505
Hualien,1.257505
Fuxin,1.257505
Yulin,1.248190
Huaibei,1.247365
Zhaoqing,1.241431
Ezhou,1.237993
Ganzhou,1.237993
Lingshui,1.234380
Puyang,1.216832
Chenzhou,1.211048
Lishui,1.209942
Qiqihar,1.207431
Hotan,1.200690
Siping,1.200690
Songyuan,1.200690
Danzhou,1.200690
Aksu,1.200690
Panzhihua,1.200690
Tongren,1.200690
Bortala,1.200690
Xinyu,1.200690
Keelung,1.200690
Fushun,1.200690
Meizhou,1.200690
Tacheng,1.200690
Dehong,1.200690
Ngari,1.200690
Kezilsu,1.200690
Heihe,1.200690
Yilan,1.200690
Shanwei,1.200690
Yongzhou,1.200690
Yunfu,1.200690
Sanming,1.200690
Qamdo,1.200690
Zhangzhou,1.200690
Penghu,1.200690
Laiwu,1.200690
Longyan,1.200690
Panjin,1.191270
Pu'er,1.190274
Yanbian,1.187911
Shaoyang,1.186349
Dingan,1.182889
Linxia,1.182847
Yingkou,1.181705
Yangjiang,1.176059
Liaocheng,1.162765
Baoting,1.160408
Wenshan,1.157941
Jieyang,1.152825
Benxi,1.141008
Qinzhou,1.141008
Hezhou,1.141008
Maoming,1.140657
Chaoyang,1.140538
Shuozhou,1.135099
Jiamusi,1.130122
Wuzhishan,1.129090
Zhaotong,1.128692
Hinggan,1.116099
Baishan,1.115068
Nantou,1.111193
Ledong,1.110935
Lincang,1.109594
Wenchang,1.105135
Liaoyang,1.102757
Suihua,1.101849
Miaoli,1.096397
Wuzhou,1.095116
Chongzuo,1.092055
Golog,1.091129
Chaozhou,1.089836
Tainan,1.084138
Tonghua,1.083232
Chiayi,1.081615
Taidong,1.081615
Dongfang,1.078891
Qianxinan,1.078703
Yunlin,1.074563
Baise,1.072987
Nujiang,1.066768
Jixi,1.043685
Baicheng,1.040808
Yichun,1.034649
Bijie,1.032618
Guigang,1.024673
Kinmen,1.019221
Hechi,1.008091
Liaoyuan,1.006799
Shuangyashan,1.006799
Chengmai,1.002595
Laibin,0.996362
Hegang,0.989576
Changhua,0.982527
Qitaihe,0.974515
Changjiang,0.913508
Qiongzhong,0.913508
