city,distance
Zhengzhou,4.679200
Kaifeng,4.126175
Xuzhou,4.118324
Shanghai,3.943893
Beijing,3.594869
Heze,3.460576
Luoyang,3.226789
Bozhou,3.157559
Xi'an,3.061868
Nanjing,2.998162
Xiuzhou,2.975632
Fuyang,2.694209
Wuhan,2.694209
Qingdao,2.657168
Tianjin,2.657168
Bangbu,2.657168
Puyang,2.617389
Suzhou,2.574306
Zhoukou,2.574306
Hefei,2.527146
Jinan,2.527146
Wuxi,2.527146
Sanmenxia,2.474809
Xinxiang,2.474809
Xinyang,2.474809
Zhenjiang,2.474809
Chuzhou,2.415638
Jiujiang,2.415638
Liaocheng,2.415638
Nanchang,2.415638
Urumqi,2.415638
Hangzhou,2.346961
Hengshui,2.346961
Huainan,2.346961
Xiuqian,2.346961
Zaozhuang,2.346961
Chongqing,2.263978
Huai'an,2.263978
Jining,2.263978
Anyang,2.263978
Lanzhou,2.263978
Nanping,2.263978
Tai'an,2.263978
Xining,2.263978
Changzhou,2.156512
Huaibei,2.156512
Jiaozuo,2.156512
Jinzhou,2.156512
Langfang,2.156512
Shenyang,2.156512
Shenzhen,2.156512
Shijiazhuang,2.156512
Tianshui,2.156512
Weinan,2.156512
Wuwei,2.156512
Xingtai,2.156512
Dezhou,1.994652
Fuzhou,1.994652
Handan,1.994652
Hengyang,1.994652
Huanggang,1.994652
Huangshan,1.994652
Huangshi,1.994652
Ili(Yili),1.994652
Jian,1.994652
Jingdezhen,1.994652
Chengde,1.994652
Chengdou,1.994652
Lhasa,1.994652
Cangzhou,1.994652
Luohe,1.994652
Meizhou,1.994652
Nantong,1.994652
Ningbo,1.994652
Ordos,1.994652
Pingdingshan,1.994652
Baoding,1.994652
Qinhuangdao,1.994652
Shamen,1.994652
Shantou,1.994652
Dali,1.994652
Dandong,1.994652
Taiyuan,1.994652
Datong,1.994652
Xiangxi,1.994652
Xianyang,1.994652
Xuancheng,1.994652
Xuchang,1.994652
Ya'an,1.994652
Zhangzhou,1.994652
Zhumadian,1.994652
Zibo,1.994652
Jiaxing,1.850705
Hong Kong,1.815824
Guangzhou,1.758956
Lianyungang,1.751970
Zhoushan,1.676666
Nanyang,1.654582
Baoji,1.631217
Changsha,1.624904
Huzhou,1.624462
Sanya,1.620403
Dalian,1.614777
Yinchuan,1.604015
Yancheng,1.602763
Shaoxing,1.598729
Linyi,1.598203
Yangzhou,1.581185
Taipei,1.571124
Weifang,1.568001
Jinhua,1.555136
Kunming,1.552248
Changchun,1.545567
Taizhou,1.533869
Yan'an,1.531842
Tangshan,1.529807
Harbin,1.525141
Jiyuan,1.523599
Wenzhou,1.511475
Zhangjiakou,1.505532
Guiyang,1.503990
Hebi,1.500964
Macau,1.482251
Rizhao,1.480640
Turpan,1.479516
Yantai,1.478457
Guilin,1.470628
Zhangjiajie,1.469767
Haikou,1.466586
Changji,1.465676
Hohhot,1.462638
Xiangyang,1.462638
Taizhou,1.459921
Jincheng,1.458574
Tongling,1.457767
Lijiang,1.454594
Wuhu,1.454551
Hanzhong,1.445564
Yichang,1.445196
Alty,1.444503
Haixi,1.439930
Xianning,1.439322
Garze,1.438321
Yuncheng,1.433556
Weihai,1.431860
Changzhi,1.426089
Dongying,1.422243
Binzhou,1.422243
Ankang,1.420471
Shangrao,1.413984
Taoyuan,1.413853
Zhuhai,1.411440
Xiaogan,1.409085
Dazhou,1.404885
Anqing,1.404258
Haibei,1.401631
Huludao,1.401126
Jingzhou,1.398849
Nanning,1.391649
Ma'anshan,1.390218
Lu'an,1.389323
Yulin,1.389299
Jinchang,1.383004
Baotou,1.382686
Yueyang,1.382686
Shangluo,1.381717
Jiuquan,1.378778
