city,distance
Shanghai,5.492210
Huangshan,3.952609
Nanchang,3.860667
Hangzhou,3.799030
Quzhou,3.557512
Jingdezhen,3.480335
Yingtan,3.472808
Jinhua,3.244473
Jiujiang,3.109868
Beijing,3.083169
Jiaxing,2.883816
Guangzhou,2.700231
Suzhou,2.664374
Wuhan,2.575825
Nanjing,2.566962
Nanping,2.510114
Shaoxing,2.456862
Ningbo,2.396377
Changsha,2.355459
Yichun,2.355459
Shenzhen,2.325696
Shamen,2.293489
Xinyu,2.293489
Fuzhou,2.276307
Wuxi,2.276307
Zhuzhou,2.239355
Hong Kong,2.198162
Ganzhou,2.151356
Fuzhou,2.125205
Hefei,2.096714
Huzhou,2.096714
Jian,2.096714
Pingxiang,2.096714
Changzhou,2.065323
Chizhou,2.065323
Qingdao,2.065323
Tianjin,2.065323
Yangzhou,2.065323
Chengdou,2.030233
Nantong,2.030233
Taizhou,2.030233
Wuhu,2.030233
Zhengzhou,2.030233
Guilin,1.990240
Huangshi,1.990240
Sanming,1.990240
Zhangjiajie,1.990240
Zhoushan,1.990240
Ezhou,1.943387
Huanggang,1.943387
Lishui,1.943387
Longyan,1.943387
Ma'anshan,1.943387
Wenzhou,1.943387
Zhenjiang,1.943387
Huizhou,1.886141
Lanzhou,1.886141
Quanzhou,1.886141
Anqing,1.886141
Sanya,1.886141
Shaoguan,1.886141
Shenyang,1.886141
Xi'an,1.886141
Xiangtan,1.886141
Xiangxi,1.886141
Chenzhou,1.886141
Guiyang,1.810957
Hengyang,1.810957
Huai'an,1.810957
Jinan,1.810957
Kunming,1.810957
Lu'an,1.810957
Nanning,1.810957
Deyang,1.810957
Bangbu,1.810957
Tai'an,1.810957
Taipei,1.810957
Tongling,1.810957
Dongguan,1.810957
Xuancheng,1.810957
Xuzhou,1.810957
Chongqing,1.810957
Dalian,1.711357
Enshi,1.695424
Heyuan,1.695424
Hezhou,1.695424
Hohhot,1.695424
Changde,1.695424
Foshan,1.695424
Jingzhou,1.695424
Jining,1.695424
Lhasa,1.695424
Lianyungang,1.695424
Linyi,1.695424
Liuzhou,1.695424
Loudi,1.695424
Luoyang,1.695424
Danzhou,1.695424
Macau,1.695424
Fuyang,1.695424
Ngawa,1.695424
Ningde,1.695424
Pingdingshan,1.695424
Qingyuan,1.695424
Shangluo,1.695424
Shijiazhuang,1.695424
Shiyan,1.695424
Tangshan,1.695424
Urumqi,1.695424
Yanbian,1.695424
Yangjiang,1.695424
Yantai,1.695424
Yiyang,1.695424
Zhanjiang,1.695424
Zhuhai,1.695424
Taizhou,1.663037
Harbin,1.647202
Yancheng,1.606042
Changchun,1.589831
Lijiang,1.587452
Taoyuan,1.572805
Haikou,1.551947
Taiyuan,1.549243
Langfang,1.524850
Baoding,1.492737
Qinhuangdao,1.487949
Yinchuan,1.453650
Weihai,1.447044
Xining,1.439099
Beihai,1.438932
Yichang,1.431183
Chuzhou,1.431005
Zhangzhou,1.430790
Kaohsiung,1.428133
Zhongshan,1.425285
Zhangjiakou,1.407688
Xianning,1.404829
Jiangmen,1.400592
Dali,1.397322
Chengde,1.395944
Diqing,1.388470
Zaozhuang,1.380531
Mianyang,1.379201
New Taipei,1.370609
Weifang,1.368581
Rizhao,1.367995
Weicu,1.365075
Baotou,1.365022
Jieyang,1.364116
Xiangyang,1.356989
Jiuquan,1.355953
Yueyang,1.354558
Zibo,1.352989
Xiaogan,1.351871
Zhaoqing,1.351086
Datong,1.343978
Taichung,1.343254
Shantou,1.339192
Hengshui,1.336679
Huaihua,1.336104
Yongzhou,1.336104
Putian,1.334386
Cangzhou,1.333162
Baoji,1.331816
Kaifeng,1.331816
Xiuqian,1.328145
Hulunbuir,1.326475
Ordos,1.323490
Jinzhou,1.322185
Dehong,1.316142
Garze,1.315886
Leshan,1.315886
Jilin,1.313546
Ili(Yili),1.313099
Dongying,1.308710
Nantou,1.306208
Pingdong,1.304679
Dezhou,1.304679
Jinzhong,1.299956
Gannan,1.298611
Bozhou,1.298383
Liaocheng,1.298383
Wanning,1.296133
Panjin,1.293885
Suihua,1.293316
Haixi,1.292743
Baoshan,1.292167
Xishuangbanna,1.290421
Huludao,1.287829
Huaibei,1.286838
Xinyang,1.286276
Xinzhou,1.286229
Jingmen,1.284035
Huainan,1.283129
Xianyang,1.280580
Xiuzhou,1.279282
Hualien,1.279282
Handan,1.277967
Qionghai,1.271832
Tainan,1.268982
Daqing,1.266791
Jiaozuo,1.264552
Anshan,1.264552
Mudanjiang,1.258324
Yuncheng,1.258324
Tongren,1.257525
Wuzhou,1.257443
Heze,1.256749
Shangqiu,1.256749
Yunlin,1.255884
Dandong,1.255057
Chifeng,1.250930
Qiandongnan,1.250816
Xinxiang,1.249407
New Taipei,1.248310
Anshun,1.245440
Chiayi,1.244554
Chongzuo,1.241763
Changzhi,1.239820
Yibin,1.239820
Luohe,1.237903
Weinan,1.235858
Qiqihar,1.230664
Alty,1.228504
Nyingchi,1.225960
Suizhou,1.225531
Nanyang,1.222877
Jiayuguan,1.221710
Yilan,1.219331
Baishan,1.217066
Xingtai,1.215590
Baoting,1.214425
Nanchong,1.214425
Qiannan,1.214031
Luzhou,1.214031
Zigong,1.214031
Ziyang,1.214031
Zunyi,1.214031
Xilingol,1.213108
Anyang,1.211806
Hsinchu,1.211806
Shanwei,1.207959
Fushun,1.207019
Sansha,1.203607
Penghu,1.203607
Shaoyang,1.202281
Ya'an,1.202166
Ulanqab,1.200785
Meizhou,1.200709
Qinzhou,1.200709
Tianshui,1.200701
Kashgar,1.200701
Keelung,1.199212
Shuozhou,1.197698
Yan'an,1.197698
Maoming,1.197339
Chaozhou,1.196158
Sanmenxia,1.194591
Tacheng,1.193229
Nagqu,1.188847
Taidong,1.186311
Turpan,1.186311
Binzhou,1.184557
Baise,1.182807
Kinmen,1.180940
Shannan,1.180391
Linfen,1.179073
Benxi,1.179073
Liangshanzhou,1.177166
Yichun,1.177166
Tongliao,1.175215
Bayingolin,1.173219
Keramay,1.173219
Xuchang,1.172631
Jiamusi,1.169081
Laiwu,1.166934
Zhongwei,1.166934
Changji,1.165320
Yangquan,1.163532
Yunfu,1.162949
Zhangye,1.162470
Haibei,1.162470
Liaoyang,1.161735
Fangchenggang,1.150138
Yulin,1.150138
Zhumadian,1.148251
Tieling,1.147606
Honghe,1.147434
Daxinganling,1.147434
Zhoukou,1.147434
Meishan,1.147050
Wuwei,1.140522
Dazhou,1.138738
